 	voilà	la	marmite	que	tu	cherchais	</S>
a15	0.371069	0.253408	0.150607	0.091701	0.0649738	0.0447029	0.0235386
a66	0.38811	0.216506	0.133231	0.108952	0.0748345	0.0485473	0.0298187
a87	0.451095	0.24173	0.0833651	0.0500701	0.0478599	0.0768194	0.0490605
a23	0.436793	0.256929	0.119138	0.0745178	0.0480006	0.0395171	0.0251052
a99	0.400068	0.280353	0.124079	0.0798622	0.0517222	0.031161	0.0327551
a83	0.300774	0.226645	0.146333	0.106318	0.0760171	0.0719659	0.0719477
a70	0.366781	0.278827	0.173461	0.0982445	0.0444779	0.0217812	0.0164277
a94	0.182714	0.251112	0.243919	0.166642	0.0904062	0.041873	0.0233351
a70	0.118216	0.174663	0.219883	0.196059	0.143084	0.0967137	0.0513812
a62	0.14539	0.218723	0.228315	0.173114	0.113192	0.0811086	0.0401572
a21	0.144167	0.209649	0.218941	0.16709	0.104294	0.0997284	0.0561305
a47	0.120973	0.163727	0.200106	0.178097	0.112708	0.126934	0.0974548
a21	0.108823	0.136199	0.197349	0.206129	0.149513	0.11805	0.0839376
a12	0.0640797	0.0814035	0.122366	0.151739	0.139422	0.217534	0.223456
a24	0.0312179	0.0386457	0.054049	0.076298	0.104042	0.272494	0.423253
a47	0.0116131	0.0143198	0.0187826	0.0286474	0.0548941	0.231149	0.640594
a31	0.00861566	0.0111124	0.0179495	0.0309286	0.0681782	0.248986	0.61423
a88	0.0044127	0.00544113	0.00876259	0.0174465	0.0559492	0.216014	0.691974
a9	0.0198026	0.0208295	0.0331937	0.0574686	0.122827	0.233594	0.512285
a87	0.219427	0.148404	0.170734	0.184677	0.119357	0.0694244	0.0879767
a23	0.343131	0.179903	0.153984	0.137492	0.0803191	0.0460116	0.0591586
a87	0.164365	0.0889858	0.0778882	0.0863831	0.0803921	0.122433	0.379552
a23	0.0559752	0.0286235	0.0194741	0.0292477	0.0414913	0.179259	0.645929
</S>	0.0870653	0.0578401	0.0392865	0.0509548	0.0573976	0.13892	0.568536
