 	a	six	mois	certains	enfants	marchent	à	quatre	pattes	</S>
a66	0.294332	0.240157	0.128986	0.13854	0.0903532	0.0590431	0.0172306	0.0151824	0.00863701	0.00753782
a87	0.774876	0.131042	0.0295451	0.00930734	0.00524797	0.00538131	0.00565351	0.00925091	0.0117189	0.0179763
a23	0.681881	0.11574	0.0610363	0.0404912	0.0263455	0.0167271	0.00787176	0.00930456	0.0152141	0.0253883
a87	0.48176	0.0795461	0.0455437	0.0351706	0.0453534	0.0455095	0.0346871	0.0439106	0.0596577	0.128861
a23	0.567259	0.110158	0.0626252	0.0336097	0.0390063	0.0345876	0.0285952	0.0345537	0.0368987	0.0527068
a54	0.30113	0.0520486	0.0414181	0.0331385	0.0557309	0.068691	0.0794868	0.0817636	0.0974983	0.189094
a37	0.193774	0.162482	0.276858	0.114779	0.0962991	0.0702387	0.0256859	0.0194693	0.0167298	0.0236831
a92	0.178533	0.139705	0.328969	0.11993	0.0759987	0.0613421	0.0310703	0.0229566	0.0154404	0.026055
a37	0.124056	0.141201	0.315141	0.134725	0.0896324	0.0912124	0.0421608	0.0274352	0.0149457	0.0194906
a6	0.0801328	0.115227	0.315867	0.152902	0.122328	0.0984059	0.0390003	0.0298435	0.0203377	0.0259557
a37	0.0638422	0.103809	0.300265	0.14128	0.104134	0.102325	0.0457836	0.0440948	0.0377287	0.0567381
a6	0.0574181	0.117334	0.301992	0.164246	0.11248	0.102707	0.0414714	0.0364568	0.0281444	0.0377512
a98	0.0331401	0.0776341	0.22949	0.140335	0.0911392	0.108182	0.0661959	0.0790198	0.0707855	0.104077
a47	0.0258589	0.0661155	0.213062	0.156874	0.103009	0.104078	0.0694793	0.0876846	0.0751825	0.0986561
a7	0.0130855	0.0313226	0.0968604	0.134428	0.0937522	0.10249	0.0817418	0.114773	0.121798	0.209749
a79	0.00808307	0.0221789	0.0665364	0.16158	0.156205	0.173236	0.0807198	0.0904994	0.0907493	0.150212
a44	0.0086367	0.0258109	0.0578589	0.1408	0.135689	0.163893	0.0989883	0.112059	0.112501	0.143763
a79	0.00905668	0.0218363	0.0432918	0.14361	0.204975	0.216122	0.0990962	0.0922562	0.0780067	0.0917487
a44	0.00217422	0.006508	0.0179848	0.057675	0.10698	0.151256	0.116351	0.137032	0.174022	0.230019
a79	0.00221148	0.00618109	0.0115641	0.0430782	0.111112	0.182275	0.136259	0.146841	0.15948	0.200999
a47	0.00111633	0.00330803	0.00600456	0.0234475	0.0697129	0.142793	0.129344	0.14963	0.196465	0.278179
a0	0.000162937	0.000481347	0.00109789	0.00736318	0.0300065	0.084866	0.105555	0.158786	0.240645	0.371037
a75	0.000804494	0.00177423	0.00255082	0.00839982	0.0262074	0.0702468	0.0986994	0.156059	0.270108	0.365151
a93	0.000215638	0.000571954	0.000902664	0.00391744	0.0171083	0.0535939	0.0833234	0.133864	0.257718	0.448785
a70	0.000977219	0.00200881	0.0019343	0.00558125	0.0197121	0.050678	0.0834863	0.130046	0.265383	0.440193
a93	0.000725085	0.00166336	0.00189524	0.00534486	0.0130567	0.0312204	0.0581236	0.10527	0.27688	0.505821
a4	0.000454552	0.00114288	0.00151692	0.0046207	0.0124715	0.0306338	0.0580636	0.10084	0.269728	0.520528
a13	0.000404593	0.000965699	0.00100931	0.00330245	0.00733434	0.0170596	0.0392669	0.0824991	0.27828	0.569878
a93	0.000331297	0.000674713	0.000737033	0.00233743	0.00431138	0.00849044	0.0274748	0.0759671	0.308732	0.570944
a4	0.000106598	0.000273285	0.000502394	0.00226774	0.00680051	0.0166682	0.0363515	0.0700527	0.252286	0.614692
a44	0.000126336	0.000328271	0.000497473	0.00215881	0.00473393	0.00965453	0.0252856	0.0602752	0.259655	0.637285
a84	0.000108933	0.000237264	0.000358434	0.00160804	0.00367537	0.00733396	0.0223746	0.0604314	0.275774	0.628098
a82	0.00232097	0.00229645	0.00152461	0.00272976	0.00524274	0.0111414	0.0431938	0.0840717	0.289842	0.557636
a87	0.039614	0.0247037	0.015961	0.0246122	0.0356744	0.0640281	0.102072	0.126658	0.241868	0.32481
a23	0.285326	0.132739	0.0578947	0.0869275	0.070564	0.0793763	0.0576881	0.0641776	0.0800656	0.0852413
a87	0.181364	0.0703811	0.0406579	0.049967	0.0518228	0.0799571	0.0855955	0.0935573	0.134207	0.212489
</S>	0.0413262	0.0192372	0.0112915	0.0131316	0.0181366	0.031951	0.0550724	0.0984256	0.228233	0.483195
