 	cette	femme	est	venue	contracter	une	dette	auprès	de	moi	</S>
a66	0.21244	0.177108	0.179011	0.17982	0.0962368	0.0441319	0.0415122	0.029303	0.0186289	0.0118942	0.00991435
a87	0.33896	0.147926	0.0796763	0.110405	0.0666429	0.0664126	0.0697888	0.03784	0.0293962	0.0254359	0.0275166
a23	0.328368	0.184748	0.167066	0.144757	0.0725258	0.0373552	0.0265103	0.010669	0.00854653	0.00861637	0.0108385
a30	0.345188	0.171034	0.149355	0.138221	0.0643785	0.0407898	0.0326868	0.0158268	0.0121543	0.0115769	0.0187888
a70	0.336357	0.191213	0.175531	0.126766	0.0498274	0.0282042	0.0273041	0.0203937	0.0149501	0.0136345	0.015819
a61	0.557381	0.194263	0.0848348	0.0515624	0.0268754	0.0161114	0.0155937	0.0179188	0.0141508	0.010908	0.0104009
a96	0.474415	0.217565	0.0890785	0.0613643	0.032088	0.0214929	0.0232572	0.0297722	0.0220079	0.015651	0.0133078
a70	0.251576	0.184234	0.106387	0.0998398	0.0713907	0.047945	0.0506766	0.0641377	0.0501975	0.0387576	0.0348576
a90	0.171586	0.171143	0.125355	0.138241	0.116538	0.0689619	0.0531986	0.0519349	0.0402115	0.0320741	0.0307562
a98	0.125598	0.133882	0.106876	0.138962	0.124557	0.076803	0.0562723	0.0605932	0.0555805	0.0580437	0.0628322
a92	0.0951075	0.123261	0.105846	0.141056	0.125225	0.0842673	0.0695232	0.0701534	0.0604105	0.0606418	0.0645084
a56	0.0885123	0.116626	0.121799	0.168367	0.161969	0.0935575	0.0735144	0.0463511	0.0381198	0.0424345	0.0487502
a94	0.0831887	0.112932	0.121605	0.180319	0.199284	0.10346	0.0707002	0.0370061	0.0278369	0.0301852	0.033483
a70	0.0467293	0.0836653	0.105284	0.174253	0.21867	0.129964	0.094841	0.0492977	0.0327691	0.0307069	0.0338196
a90	0.0269343	0.0598661	0.0879483	0.164503	0.230965	0.141293	0.10999	0.0569579	0.0395854	0.0380651	0.0438912
a15	0.0230033	0.0533279	0.0827904	0.150522	0.215781	0.134953	0.115984	0.0653998	0.050129	0.0502535	0.0578572
a98	0.0141203	0.0396702	0.0836803	0.124657	0.176296	0.124293	0.132239	0.0818227	0.0570052	0.0698013	0.0964153
a79	0.0185563	0.0435573	0.0744279	0.117358	0.155342	0.10054	0.115961	0.0822934	0.0726923	0.0943109	0.124961
a37	0.0213991	0.0417609	0.0730367	0.104821	0.153022	0.109327	0.121058	0.0839591	0.0682392	0.0915296	0.131848
a21	0.012073	0.0200755	0.0415276	0.0751863	0.100667	0.0829357	0.0875221	0.0829465	0.0816693	0.153379	0.262018
a92	0.00778565	0.0112821	0.020557	0.0549841	0.0933713	0.0825468	0.0869025	0.0820046	0.115899	0.190618	0.254049
a5	0.0058844	0.00947787	0.0164024	0.0486262	0.082425	0.0746485	0.0912062	0.0837747	0.113715	0.199584	0.274256
a75	0.00677575	0.0103514	0.0161676	0.0427246	0.0674599	0.0670158	0.0829667	0.0918972	0.126956	0.194635	0.293049
a98	0.00288135	0.00440191	0.00723102	0.0221702	0.0408657	0.040346	0.0595531	0.0698847	0.113632	0.239512	0.399522
a79	0.00335481	0.00494056	0.00695013	0.0166876	0.0241887	0.0269556	0.0477022	0.0642397	0.109736	0.245166	0.450078
a7	0.00339833	0.00518858	0.00897112	0.0199152	0.0286071	0.0310987	0.0501864	0.0625663	0.113551	0.248456	0.428061
a37	0.00294315	0.00369924	0.00590376	0.00966514	0.0131996	0.0171224	0.0251378	0.0402996	0.0991803	0.268875	0.513974
a6	0.00262353	0.00321437	0.00426143	0.00664798	0.00901122	0.012276	0.0191973	0.0324674	0.0902245	0.279813	0.540263
a36	0.0017749	0.0023166	0.00217915	0.00381653	0.00536205	0.00843869	0.0149406	0.0331357	0.103688	0.297988	0.526359
a2	0.00278355	0.00304403	0.00285012	0.0030418	0.00344601	0.00505919	0.0100749	0.0220907	0.0654432	0.28232	0.599847
a26	0.037884	0.0262338	0.0195993	0.0158052	0.0120473	0.0172825	0.0338872	0.0561383	0.0872812	0.242138	0.451703
a57	0.114968	0.0757688	0.047517	0.0433713	0.0331634	0.0396849	0.0552374	0.0626954	0.073273	0.159114	0.295207
a97	0.141805	0.0818186	0.0697173	0.0798287	0.0599649	0.0578471	0.0643416	0.0717731	0.0886361	0.120146	0.164122
a87	0.0950199	0.0668256	0.077035	0.127845	0.0820428	0.0749401	0.0775458	0.0703767	0.0907518	0.104382	0.133235
a23	0.0488721	0.0479285	0.0757634	0.154471	0.117631	0.0924395	0.0983323	0.0710583	0.0911995	0.0939849	0.108319
a87	0.0181991	0.0147068	0.00931667	0.0213555	0.0233004	0.0432217	0.0564294	0.0776422	0.172808	0.240566	0.322454
</S>	0.0062109	0.00726007	0.00739353	0.0160444	0.0178245	0.0327897	0.0375861	0.0479111	0.119004	0.262334	0.445642
