 	tiens	ce	livre	</S>
a66	0.526162	0.161253	0.148788	0.163797
a87	0.306849	0.212098	0.258217	0.222835
a97	0.439477	0.24259	0.217469	0.100464
a23	0.412892	0.234725	0.243161	0.109222
a62	0.528355	0.228409	0.184861	0.0583747
a21	0.677877	0.18867	0.109459	0.0239949
a5	0.466932	0.283729	0.206391	0.0429484
a21	0.267047	0.276862	0.300816	0.155276
a5	0.176764	0.234538	0.299081	0.289617
a43	0.0805511	0.111443	0.227726	0.580279
a38	0.0323696	0.0545539	0.146618	0.766459
a24	0.00912051	0.022166	0.107642	0.861072
a9	0.00979278	0.0233395	0.116613	0.850254
a97	0.159642	0.128312	0.18691	0.525135
a27	0.267802	0.221234	0.210661	0.300303
</S>	0.194159	0.167589	0.20821	0.430042
