 	ainsi	se	termine	le	conte	</S>
a87	0.285117	0.261047	0.295516	0.107295	0.0343867	0.016638
a23	0.128801	0.179649	0.408126	0.19886	0.06288	0.0216845
a87	0.181543	0.200335	0.409778	0.149119	0.0358095	0.0234153
a97	0.159408	0.172255	0.346512	0.215538	0.0632133	0.0430737
a62	0.114867	0.157793	0.377076	0.25373	0.0641867	0.0323471
a83	0.431151	0.233536	0.159636	0.0767657	0.0433207	0.0555908
a9	0.301094	0.302409	0.211239	0.106757	0.0478302	0.0306715
a10	0.133587	0.232083	0.221937	0.196918	0.135512	0.0799634
a38	0.0774269	0.155082	0.207409	0.227939	0.203601	0.128542
a21	0.143024	0.245281	0.249599	0.171874	0.111522	0.0787011
a47	0.214695	0.316427	0.285558	0.113257	0.0442013	0.0258609
a88	0.168931	0.283658	0.294289	0.124455	0.0783439	0.0503237
a0	0.138786	0.193378	0.22413	0.162661	0.154364	0.12668
a24	0.0916003	0.14218	0.210894	0.188845	0.193534	0.172947
a88	0.0824435	0.11396	0.204898	0.180452	0.188324	0.229923
a11	0.0392609	0.0520167	0.132834	0.174378	0.258809	0.342702
a70	0.012832	0.0209427	0.0712043	0.134555	0.278997	0.481469
a66	0.0299857	0.0390778	0.0828249	0.129305	0.273629	0.445178
a9	0.00813871	0.0137547	0.0431076	0.107199	0.273656	0.554144
a97	0.0107497	0.019559	0.0615792	0.115675	0.233157	0.55928
a82	0.0142681	0.0402228	0.137917	0.127328	0.201555	0.478709
a3	0.0350341	0.0909337	0.163771	0.1825	0.196678	0.331082
a97	0.0616654	0.125462	0.193302	0.202164	0.196947	0.22046
a3	0.048427	0.112755	0.163985	0.210311	0.230732	0.23379
a38	0.0418974	0.102009	0.125925	0.180934	0.227729	0.321505
a99	0.0161775	0.0595113	0.117502	0.159916	0.236357	0.410536
a97	0.0131832	0.0472572	0.122516	0.135556	0.212869	0.468618
a87	0.0152156	0.0492933	0.126869	0.135864	0.208102	0.464655
</S>	0.0303503	0.071407	0.143386	0.15643	0.208393	0.390033
