 	dans	son	comportement	cet	enfant	est	comme	son	père	</S>
a66	0.186549	0.16551	0.156972	0.169784	0.117538	0.0940191	0.0519955	0.0259907	0.0172163	0.0144235
a87	0.206848	0.170547	0.15784	0.13311	0.100029	0.0873697	0.0525984	0.0335284	0.0282568	0.0298724
a23	0.271583	0.216443	0.167187	0.132511	0.068605	0.0517494	0.0329399	0.0214234	0.0184347	0.0191238
a10	0.265779	0.213898	0.161721	0.125103	0.0629131	0.0443935	0.0304123	0.0234092	0.0296309	0.0427389
a54	0.23942	0.202451	0.160027	0.126275	0.0722059	0.0513895	0.0375106	0.0307536	0.0353633	0.0446035
a36	0.263226	0.207848	0.1521	0.100339	0.0699827	0.0483438	0.0366533	0.0362283	0.0432947	0.0419838
a18	0.191247	0.191662	0.15981	0.112747	0.0815528	0.0609898	0.0502809	0.0478591	0.0577914	0.0460592
a61	0.175244	0.180288	0.143315	0.108637	0.0785417	0.0663787	0.056233	0.0545496	0.0667599	0.0700534
a21	0.178525	0.19797	0.156597	0.115017	0.0777896	0.0633678	0.0505312	0.0471798	0.0552229	0.0578004
a85	0.122617	0.156624	0.145973	0.125261	0.0884119	0.0731167	0.060232	0.061692	0.077872	0.0882008
a15	0.123094	0.153344	0.130502	0.111798	0.0763067	0.064936	0.0529166	0.0600356	0.0978435	0.129225
a79	0.0999069	0.14919	0.148158	0.150132	0.096214	0.0775304	0.0563066	0.0535169	0.0755168	0.0935276
a20	0.0700601	0.0973125	0.109912	0.122301	0.0964516	0.0882275	0.0734854	0.0772216	0.116334	0.148695
a7	0.0308164	0.0404109	0.0576532	0.0861355	0.102545	0.107618	0.104841	0.110118	0.157535	0.202328
a44	0.019313	0.0236489	0.0365557	0.0648498	0.0761204	0.0867041	0.0931298	0.117808	0.199448	0.282422
a15	0.0237742	0.0224226	0.0310652	0.0650258	0.0883802	0.104147	0.103697	0.115334	0.185969	0.260185
a47	0.00691287	0.00684921	0.0108272	0.0236845	0.0488908	0.0667804	0.098488	0.125996	0.23408	0.37749
a15	0.00580675	0.00541784	0.00716671	0.0133421	0.0264779	0.0389642	0.0678824	0.113608	0.259983	0.461351
a6	0.00369521	0.0026909	0.00342349	0.00631234	0.0146894	0.0230762	0.0506837	0.112559	0.299435	0.483435
a37	0.00346474	0.00245625	0.00332694	0.00672119	0.0189626	0.034221	0.0749617	0.144311	0.28701	0.424564
a18	0.00261555	0.00159618	0.00167808	0.00286962	0.00791422	0.0166589	0.0471121	0.121142	0.30464	0.493773
a38	0.00531923	0.00374098	0.00434473	0.0051988	0.00830136	0.0129712	0.0329354	0.101377	0.289246	0.536566
a88	0.0109364	0.00738406	0.00940439	0.00875259	0.0127213	0.0193441	0.0441391	0.109348	0.272655	0.505315
a71	0.00249021	0.00173377	0.00301139	0.00453058	0.0092581	0.0167541	0.0463911	0.125058	0.284752	0.506021
a25	0.0145537	0.00912496	0.0109202	0.0122564	0.0218571	0.0316643	0.0702589	0.144011	0.252465	0.432888
a38	0.071505	0.0406511	0.0414433	0.0382033	0.0472913	0.0560913	0.0803236	0.120378	0.195534	0.308579
a54	0.0442538	0.0281268	0.0321757	0.0282614	0.03237	0.0408193	0.0675478	0.121137	0.222513	0.382795
a36	0.0019736	0.00127126	0.00261362	0.00321481	0.00758155	0.0143821	0.0408	0.111815	0.280376	0.535972
a2	0.0110083	0.00744275	0.00997072	0.00963264	0.0149994	0.0219411	0.0484475	0.113251	0.260831	0.502476
a57	0.0758257	0.0498296	0.0454296	0.0391022	0.0486309	0.0618617	0.0935527	0.136498	0.190801	0.258469
a87	0.198982	0.116144	0.0830093	0.0694413	0.0592284	0.0623733	0.0753112	0.091662	0.108657	0.135192
</S>	0.174059	0.103415	0.0684507	0.0663883	0.0675955	0.0761368	0.0951346	0.11129	0.109488	0.128042
