 	il	est	très	bien	là-bas	</S>
a23	0.338387	0.195433	0.112232	0.0992023	0.105404	0.149341
a87	0.410562	0.21827	0.11475	0.0799016	0.0779292	0.0985874
a23	0.363155	0.245854	0.152257	0.0927318	0.0726416	0.0733605
a79	0.228807	0.15904	0.117407	0.141292	0.160169	0.193284
a20	0.34738	0.214484	0.128826	0.117372	0.0948952	0.0970424
a44	0.397327	0.275677	0.16166	0.0852824	0.0465455	0.0335078
a26	0.348427	0.304253	0.19697	0.0829352	0.0394609	0.0279535
a11	0.314099	0.267579	0.204059	0.109876	0.0592707	0.0451152
a94	0.288662	0.267996	0.216509	0.119262	0.0626773	0.0448938
a76	0.283878	0.278402	0.223563	0.114982	0.0572932	0.0418819
a94	0.278572	0.257012	0.207986	0.121699	0.0742438	0.060487
a58	0.200791	0.193979	0.18946	0.164556	0.128981	0.122233
a38	0.132092	0.128501	0.145826	0.172127	0.182493	0.238961
a41	0.0886913	0.083181	0.0996465	0.155499	0.218094	0.354888
a69	0.0464736	0.0481701	0.0730601	0.159111	0.257487	0.415698
a90	0.0331479	0.0379762	0.0592881	0.134014	0.268893	0.466681
a4	0.0243353	0.0297196	0.0468483	0.112185	0.259457	0.527454
a57	0.0198292	0.0210665	0.026836	0.0602701	0.190383	0.681616
a3	0.00867321	0.0105678	0.0173514	0.0548066	0.19864	0.709961
a87	0.00892052	0.0102612	0.0174675	0.0512185	0.187233	0.7249
</S>	0.0149277	0.0180994	0.0273629	0.0680382	0.226701	0.644871
