 	c'	est	un	homme	bourru	mais	brave	</S>
a23	0.263423	0.26659	0.1683	0.0795576	0.0732095	0.0481937	0.0518502	0.0488758
a87	0.293716	0.277371	0.124893	0.0753318	0.0441539	0.0613302	0.0549293	0.0682743
a23	0.289644	0.23947	0.11645	0.0916782	0.0622741	0.057952	0.0660776	0.0764538
a87	0.319528	0.306273	0.135461	0.0696527	0.0399611	0.0370858	0.0354	0.056638
a23	0.328374	0.252079	0.143002	0.0998971	0.0587131	0.0391383	0.0340161	0.0447806
a87	0.314738	0.312561	0.149978	0.0686991	0.0475281	0.0325068	0.0301224	0.0438657
a23	0.314071	0.243405	0.162394	0.0984458	0.0598912	0.0357114	0.0329777	0.0531041
a40	0.34206	0.237374	0.137123	0.0812449	0.0631887	0.0437913	0.0424028	0.0528156
a30	0.317143	0.289239	0.172607	0.0772434	0.048468	0.03543	0.0307466	0.0291219
a2	0.28682	0.271618	0.245626	0.132641	0.0402819	0.010658	0.00638351	0.00597167
a26	0.191262	0.198118	0.218578	0.159468	0.105944	0.0448583	0.0363996	0.0453725
a35	0.107186	0.123305	0.159838	0.146267	0.120536	0.0887945	0.0929173	0.161156
a76	0.193788	0.200142	0.226593	0.169822	0.0989328	0.0383673	0.0328876	0.0394679
a94	0.233197	0.227603	0.220852	0.17776	0.0912217	0.0235573	0.0137519	0.0120571
a24	0.200366	0.200396	0.221024	0.19722	0.114125	0.0294086	0.017867	0.0195932
a41	0.132196	0.14564	0.185609	0.198656	0.177149	0.0663523	0.0472947	0.0471027
a14	0.0884941	0.105376	0.174622	0.188064	0.222208	0.0911436	0.0644401	0.0656512
a35	0.0798037	0.0986932	0.135709	0.160833	0.243102	0.113852	0.0802865	0.0877199
a14	0.0476582	0.0563988	0.0851873	0.112085	0.271347	0.16907	0.130715	0.127539
a30	0.0692192	0.0832821	0.100526	0.109752	0.214643	0.173962	0.127189	0.121427
a2	0.0394855	0.0517155	0.0706462	0.0913866	0.142845	0.174524	0.176763	0.252634
a57	0.00934883	0.0115966	0.0216855	0.0456682	0.168296	0.172456	0.277658	0.293291
a87	0.0179402	0.0230633	0.0270462	0.0543221	0.14475	0.199287	0.281857	0.251735
a23	0.0509919	0.068374	0.0868085	0.104517	0.151753	0.185494	0.18768	0.164382
a83	0.0318513	0.0459029	0.0599011	0.0770482	0.189161	0.240493	0.207667	0.147975
a38	0.0294391	0.0391014	0.0430792	0.0658052	0.123243	0.18753	0.231136	0.280666
a35	0.043378	0.0395308	0.0573909	0.0848208	0.137913	0.171859	0.234405	0.230703
a2	0.0232896	0.0212952	0.0303782	0.0515827	0.12936	0.189107	0.27039	0.284597
a30	0.0291378	0.0260997	0.034605	0.0646376	0.113252	0.150106	0.221783	0.360378
a14	0.0371157	0.0375402	0.053952	0.0896958	0.1453	0.174241	0.198881	0.263274
a35	0.0270052	0.0241259	0.0306965	0.0462303	0.11336	0.159999	0.271108	0.327475
a26	0.0244255	0.0230443	0.0290156	0.0419785	0.109499	0.17091	0.265655	0.335472
a61	0.011206	0.0115704	0.0171313	0.0276819	0.0788529	0.143974	0.256355	0.453228
a35	0.00592351	0.00635969	0.00974956	0.0168572	0.0578706	0.156797	0.312602	0.433841
a75	0.00532954	0.0059946	0.010134	0.0174656	0.0700881	0.151206	0.292087	0.447694
a14	0.00258769	0.0029804	0.00413957	0.00800455	0.0429834	0.127443	0.342652	0.469209
a37	0.00538955	0.00645878	0.00852135	0.0146873	0.0621018	0.140095	0.332889	0.429858
a75	0.00224674	0.00201829	0.00215198	0.00333568	0.0133646	0.0641459	0.260826	0.651911
a14	0.00190329	0.00204606	0.00225948	0.00421613	0.0233966	0.0903493	0.32923	0.5466
a30	0.00358154	0.00334912	0.00330112	0.00578704	0.0285909	0.100091	0.33155	0.52375
a2	0.00465525	0.00408383	0.0034142	0.00483575	0.019678	0.0905074	0.287969	0.584856
a57	0.0198082	0.0173075	0.0153152	0.016062	0.0567161	0.107028	0.289791	0.477972
a87	0.0138026	0.0112029	0.0180637	0.0331315	0.113174	0.109256	0.287679	0.41369
</S>	0.0154668	0.0138069	0.0211099	0.0305923	0.132057	0.136296	0.288014	0.362657
