 	je	dois	à	tout	prix	te	frapper	car	tu	me	prends	pour	rien	</S>
a66	0.13306	0.14265	0.156187	0.131993	0.120938	0.112918	0.0757574	0.0419431	0.0311627	0.0199774	0.0118004	0.00710036	0.00699122	0.00752078
a87	0.27193	0.134401	0.135863	0.09121	0.0717607	0.0620675	0.0323559	0.0300421	0.0280565	0.0237193	0.0217084	0.0237441	0.0310687	0.0420727
a23	0.21697	0.114984	0.125343	0.0997351	0.077157	0.0898214	0.0596273	0.0483107	0.0415387	0.0280132	0.0213153	0.0212395	0.0243659	0.0315786
a83	0.271134	0.101186	0.102875	0.0704604	0.0716286	0.0589428	0.0390122	0.0507034	0.0483784	0.0389185	0.0326511	0.0289787	0.0306927	0.0544382
a54	0.114581	0.113639	0.123312	0.0961579	0.084747	0.0608253	0.0588247	0.0569812	0.0506685	0.0449085	0.0404782	0.0388728	0.0457602	0.070244
a7	0.118333	0.126193	0.127827	0.130808	0.0859789	0.0472843	0.0606208	0.0522066	0.0432646	0.0409451	0.0392668	0.0365816	0.039531	0.0511599
a93	0.131151	0.131735	0.152813	0.149831	0.0970193	0.0381234	0.0436441	0.0380901	0.0295096	0.0308891	0.0316649	0.0328919	0.0374406	0.0551976
a70	0.122378	0.112746	0.133264	0.144036	0.0982036	0.0500516	0.0570511	0.0528378	0.0408237	0.0374945	0.0343234	0.0311849	0.0339847	0.0516213
a50	0.117507	0.105688	0.122941	0.135305	0.102788	0.0628365	0.0655147	0.0683196	0.0506119	0.0429691	0.0349351	0.029319	0.0280017	0.0332636
a88	0.0642173	0.0712496	0.0864849	0.108898	0.0926756	0.058184	0.0733255	0.0930585	0.0689998	0.0623183	0.0542671	0.052394	0.0521407	0.0617869
a75	0.0481527	0.0702603	0.0923119	0.13353	0.120012	0.0686893	0.082132	0.0940742	0.0646696	0.0531916	0.0403569	0.0389861	0.0408119	0.0528221
a21	0.0313254	0.0497227	0.0692473	0.100287	0.0957837	0.0562407	0.0817183	0.100104	0.0806271	0.0739982	0.0576952	0.0561316	0.0598356	0.087283
a61	0.0343708	0.057331	0.0765542	0.113015	0.105557	0.0865302	0.107397	0.110337	0.0842304	0.0687627	0.0483792	0.0372359	0.0340779	0.0362224
a34	0.0202714	0.035691	0.0520642	0.0906204	0.100478	0.083595	0.113284	0.129046	0.0997662	0.0855594	0.0615691	0.0453001	0.0397989	0.0429561
a44	0.0165082	0.0286407	0.0438092	0.0847129	0.102027	0.085059	0.117348	0.134886	0.102964	0.089386	0.0642891	0.0463791	0.0398927	0.0440985
a11	0.0131649	0.0231914	0.033389	0.0610177	0.0800225	0.072356	0.111593	0.143869	0.110513	0.102118	0.0796067	0.0593826	0.0501003	0.0596766
a75	0.0123992	0.0219148	0.0327387	0.0553607	0.0792952	0.0883416	0.114725	0.162522	0.120324	0.093823	0.0618059	0.0454983	0.0465741	0.0646777
a37	0.0082526	0.0118691	0.0139716	0.0232197	0.0307419	0.0345265	0.0727367	0.118369	0.104899	0.11716	0.124034	0.119447	0.102749	0.118023
a75	0.00835901	0.0128239	0.0164195	0.0293647	0.0447533	0.0474893	0.0818937	0.164589	0.129218	0.121441	0.0962728	0.0730229	0.0713869	0.102966
a92	0.00559919	0.00852492	0.00988881	0.0175325	0.026323	0.0324179	0.0623307	0.125709	0.110742	0.122182	0.128842	0.114964	0.105032	0.129911
a25	0.00373541	0.00580854	0.00673422	0.012296	0.0195061	0.0247365	0.0525626	0.128449	0.119161	0.134078	0.140496	0.117946	0.105578	0.128912
a79	0.000885139	0.00166312	0.00212563	0.00438276	0.00846191	0.0115522	0.0414581	0.127538	0.107281	0.119165	0.131952	0.134633	0.126394	0.182509
a7	0.00082342	0.0012288	0.00151426	0.00324954	0.00708063	0.010831	0.0370498	0.13314	0.121669	0.138328	0.149404	0.134619	0.112204	0.148858
a75	0.0019982	0.00272886	0.00307768	0.00456276	0.00783651	0.0109786	0.0265576	0.0854267	0.0906304	0.106635	0.130463	0.134142	0.144497	0.250466
a47	0.00119704	0.00152333	0.00174216	0.00310319	0.0055111	0.00822483	0.022251	0.0676194	0.0729398	0.0940537	0.127328	0.155073	0.180724	0.25871
a92	0.000856202	0.00131874	0.00168502	0.00306361	0.00601458	0.00811558	0.0249056	0.0875068	0.0863468	0.105259	0.129382	0.137723	0.153377	0.254446
a79	0.000937503	0.00130316	0.00145065	0.00256217	0.00457566	0.00617535	0.0186163	0.0576447	0.0647028	0.0894681	0.132335	0.165238	0.195964	0.259028
a44	0.000587717	0.000865061	0.00101715	0.00207866	0.00411698	0.00605574	0.0184175	0.0560748	0.0614258	0.0757698	0.118283	0.162845	0.194904	0.297559
