 	cette	affaire	sera	traitée	aujourd'	hui	et	celle-ci	un	autre	jour	</S>
a87	0.115501	0.095483	0.148802	0.166632	0.117338	0.0937646	0.0936003	0.103365	0.0331687	0.0142889	0.00968336	0.00837351
a10	0.220119	0.127049	0.071027	0.0771164	0.066643	0.068859	0.0587916	0.0774572	0.0554121	0.0516924	0.0626868	0.0631465
a87	0.193594	0.110216	0.143019	0.120307	0.0798692	0.0625674	0.0491423	0.0451772	0.0329704	0.0387443	0.0522669	0.0721268
a10	0.232009	0.146713	0.19722	0.117016	0.0634777	0.0443123	0.0368167	0.0364199	0.0290541	0.0305557	0.0297779	0.0366277
a87	0.295846	0.190291	0.187075	0.100382	0.0504136	0.0393393	0.0305641	0.030718	0.0228171	0.0198582	0.0152637	0.0174322
a23	0.300315	0.195895	0.156864	0.104306	0.0521887	0.0435655	0.0335472	0.0317272	0.0244902	0.0222321	0.0163678	0.0185018
a50	0.207197	0.183119	0.149097	0.0822912	0.0624243	0.0559089	0.0371254	0.0348941	0.034159	0.041662	0.0494348	0.0626866
a34	0.338607	0.314173	0.144434	0.0698021	0.0250984	0.0154746	0.0106638	0.0113723	0.0113305	0.0149647	0.0208303	0.0232489
a90	0.346206	0.273114	0.154066	0.0720549	0.038404	0.0258644	0.0192453	0.016157	0.0119572	0.0124947	0.0143464	0.0160897
a15	0.191677	0.169516	0.166985	0.105313	0.083172	0.0591069	0.0409124	0.0343458	0.0289001	0.03351	0.0393069	0.0472551
a98	0.13142	0.149242	0.170913	0.119482	0.10136	0.0705304	0.0496834	0.0426419	0.0336014	0.036266	0.0436961	0.051164
a92	0.158837	0.170982	0.161067	0.107452	0.0932158	0.0676535	0.0511652	0.042336	0.0281819	0.0280949	0.039767	0.0512482
a37	0.136939	0.143667	0.163602	0.102848	0.114653	0.0905751	0.0698611	0.0489002	0.0262705	0.0223097	0.0322598	0.0481146
a12	0.0857721	0.107352	0.178601	0.120134	0.129705	0.109045	0.0873336	0.0615585	0.0333482	0.0245061	0.02702	0.0356238
a61	0.0695815	0.0836669	0.168148	0.115885	0.143655	0.132605	0.109586	0.0742441	0.0311532	0.0198249	0.0226671	0.0289839
a47	0.0465874	0.0552211	0.157265	0.117845	0.153152	0.151842	0.127045	0.0865674	0.0371566	0.0214876	0.0208079	0.0250225
a32	0.0344409	0.0361862	0.127863	0.116566	0.158568	0.16159	0.14219	0.102856	0.0471455	0.0246917	0.0224385	0.0254642
a11	0.0215188	0.0238643	0.105347	0.10817	0.181939	0.17328	0.149428	0.0942651	0.0429185	0.0273124	0.0310793	0.0408777
a62	0.0206001	0.0206898	0.0799996	0.0831975	0.186251	0.195408	0.162381	0.100593	0.0473198	0.0290384	0.0311732	0.0433482
a34	0.0308733	0.0287664	0.0765327	0.0790868	0.182213	0.203261	0.166102	0.100278	0.0449815	0.0266145	0.025967	0.0353242
a98	0.0239234	0.0224839	0.0586647	0.0656333	0.183415	0.212338	0.173407	0.106196	0.0494383	0.0304495	0.0307383	0.043313
a44	0.0253101	0.021516	0.0446531	0.0436292	0.157185	0.218148	0.173378	0.0929701	0.0512298	0.0431604	0.0506568	0.0781641
a84	0.011186	0.0103919	0.0293293	0.0306163	0.142778	0.223647	0.18072	0.105454	0.0679012	0.0521959	0.0556196	0.0901608
a98	0.0120438	0.0108314	0.0313655	0.0293776	0.125046	0.233839	0.18986	0.0995744	0.0698079	0.0496528	0.0544764	0.094125
a44	0.0241446	0.0189119	0.0360324	0.0337875	0.110697	0.168483	0.14228	0.0769999	0.0619463	0.0689668	0.0956494	0.162101
a58	0.0223233	0.0177582	0.0315212	0.030852	0.102123	0.169994	0.152706	0.0847257	0.0684709	0.0737355	0.0946443	0.151146
a2	0.0141317	0.0117933	0.0272905	0.0253941	0.0952908	0.168308	0.133966	0.0733725	0.0690942	0.0755533	0.100506	0.2053
a57	0.0154025	0.0119658	0.0225594	0.0278797	0.0830306	0.128574	0.100716	0.0814591	0.0837635	0.0770482	0.123057	0.244544
a87	0.0515184	0.0249505	0.0325963	0.0402357	0.0826778	0.114826	0.111504	0.0895854	0.0840658	0.0775591	0.104638	0.185843
a23	0.0828013	0.0450568	0.0492383	0.0950402	0.0907857	0.0866382	0.0808306	0.104023	0.112816	0.0882383	0.0736835	0.0908484
a87	0.0230151	0.0116346	0.0333623	0.0443485	0.0646785	0.069495	0.0694118	0.0730526	0.0779456	0.107395	0.158658	0.267003
a23	0.012586	0.00793693	0.0253753	0.0422237	0.0591095	0.0622228	0.0637895	0.0944857	0.11089	0.132013	0.164955	0.224413
a83	0.00738489	0.00521092	0.0134524	0.0216232	0.0284924	0.0311292	0.034659	0.059045	0.0823854	0.14098	0.229979	0.345659
