 	le	père	de	ngala	a	aménagé	une	place	dans	sa	maison	pour	offrir	des	sacrifices	aux	esprits	des	morts	</S>
a87	0.0796452	0.0590492	0.0457979	0.038871	0.0360665	0.031406	0.0221895	0.0214139	0.0269524	0.0327854	0.0324863	0.0370067	0.0376086	0.0841646	0.111796	0.115164	0.0949876	0.0576457	0.024235	0.0107289
a23	0.215447	0.104211	0.079616	0.0626964	0.0530896	0.0621866	0.0324899	0.0321774	0.0245044	0.0207905	0.0190603	0.0261459	0.0479138	0.0547608	0.0422052	0.0401837	0.0222968	0.0189976	0.0191709	0.0220566
a87	0.0856134	0.0630757	0.0653824	0.0703278	0.0634714	0.0762898	0.0753159	0.0700805	0.0435364	0.0359052	0.0328606	0.0318029	0.0367284	0.0372086	0.0367894	0.0367477	0.0279336	0.0365782	0.0371006	0.0372515
a23	0.101615	0.0730072	0.0759465	0.0796161	0.0564085	0.0505204	0.0455896	0.028993	0.0270272	0.0246505	0.0255377	0.0242391	0.0274139	0.0521878	0.0698658	0.0783583	0.063222	0.0484977	0.0283429	0.0189604
a54	0.0979255	0.0729516	0.071181	0.0688808	0.0599354	0.0583658	0.0414849	0.0253547	0.0220795	0.0215729	0.0204618	0.0242088	0.0345222	0.047173	0.0656907	0.0810769	0.0508732	0.0601445	0.042386	0.0337308
a30	0.19986	0.163827	0.0862081	0.0586021	0.0770343	0.0839643	0.0530429	0.0537527	0.0279553	0.0221404	0.0157058	0.0162211	0.0156087	0.0169058	0.0194329	0.0152441	0.0203379	0.0115981	0.0160739	0.0264845
a41	0.113416	0.11866	0.0761564	0.0591351	0.0920143	0.0974891	0.0578182	0.0495133	0.0271266	0.0233074	0.0204221	0.0233381	0.0228666	0.0236979	0.0293115	0.025292	0.0418622	0.0360312	0.0316692	0.0308725
a96	0.0905624	0.0877885	0.0648882	0.0572679	0.0848513	0.112829	0.0848819	0.0720174	0.0392597	0.0326468	0.0303808	0.032715	0.0300745	0.0292287	0.040712	0.0306796	0.0419558	0.0184121	0.0107226	0.00812581
a75	0.0829217	0.0983166	0.0931891	0.0940756	0.100131	0.0999048	0.0862668	0.054499	0.0352744	0.0278831	0.0283406	0.026423	0.0247109	0.0227063	0.0302461	0.0241906	0.0396538	0.0150605	0.00818756	0.00801837
a14	0.0462622	0.0618646	0.076605	0.0892362	0.0996353	0.0903713	0.101684	0.0768579	0.056008	0.0469186	0.0461443	0.0399641	0.0337291	0.0286732	0.0320258	0.0195921	0.0244765	0.0106069	0.00937859	0.0099667
a6	0.0449767	0.0545409	0.0753114	0.0852284	0.0860678	0.0873846	0.0891515	0.0744834	0.0587255	0.0497166	0.0483008	0.0459477	0.0410201	0.0384646	0.0432655	0.0282468	0.0227879	0.00887905	0.00843172	0.00906917
a85	0.0308496	0.0341641	0.057184	0.0743066	0.0698514	0.0649602	0.0838909	0.071616	0.0760631	0.0723404	0.0705988	0.063446	0.0550408	0.0462492	0.0440431	0.020629	0.0213763	0.0098358	0.0127975	0.0207574
a41	0.0241618	0.0258356	0.0436671	0.057639	0.0555942	0.054349	0.0749263	0.0792971	0.0807019	0.0795538	0.0757912	0.0695821	0.0562982	0.0509889	0.0538853	0.0289673	0.0300793	0.0128826	0.017183	0.0286163
a66	0.0205425	0.0193112	0.0287789	0.0367691	0.034362	0.0369121	0.0461485	0.0603669	0.0756425	0.0868393	0.0851488	0.0909121	0.0743204	0.0597723	0.0570515	0.0271544	0.0316623	0.0159765	0.0372168	0.0751119
a62	0.0258488	0.0207415	0.0280035	0.0382553	0.0326773	0.0456129	0.0466813	0.0374242	0.0522788	0.062751	0.0706647	0.0859624	0.104704	0.0775754	0.066578	0.0303039	0.0385779	0.0218662	0.0369885	0.0765041
a83	0.0293173	0.0240417	0.031031	0.0421846	0.0380267	0.0520435	0.0491745	0.0412499	0.0501969	0.0568214	0.0626425	0.0786532	0.105311	0.0873657	0.0719119	0.0312053	0.0386666	0.0204705	0.0295954	0.0600898
a93	0.0152883	0.0117792	0.0143289	0.0201785	0.0218684	0.0458521	0.0388775	0.0369102	0.0482518	0.0514101	0.0511524	0.0643531	0.116162	0.0903123	0.0659382	0.0389304	0.0471509	0.0452925	0.0636297	0.112334
a70	0.0225089	0.0174873	0.0222775	0.0294973	0.0302606	0.0415514	0.0350567	0.0381478	0.0477583	0.0531246	0.0522354	0.0703271	0.126911	0.0991852	0.0666321	0.0358225	0.0557807	0.0389985	0.0390224	0.0774149
