 	il	s'	est	arrêté	en	ammont	du	fleuve	</S>
a23	0.289154	0.19192	0.103614	0.070379	0.0771473	0.0843665	0.0682526	0.0549596	0.0602066
a30	0.234769	0.171806	0.116048	0.0785739	0.0902532	0.0915893	0.0617917	0.0690189	0.0861494
a20	0.221965	0.178535	0.131528	0.101287	0.109527	0.0990418	0.0538394	0.046683	0.0575938
a35	0.250974	0.309924	0.202414	0.107546	0.0573503	0.0381539	0.0157414	0.00950159	0.00839424
a11	0.274309	0.344196	0.225762	0.091783	0.0369202	0.0163392	0.00477123	0.00320658	0.00271251
a76	0.190223	0.243931	0.245337	0.157818	0.0894956	0.0408633	0.0139583	0.0100071	0.00836678
a44	0.232561	0.210207	0.20578	0.148181	0.104629	0.0527641	0.0207556	0.0138429	0.0112791
a57	0.210978	0.190708	0.205131	0.15521	0.121289	0.0609789	0.0246189	0.0165135	0.0145731
a38	0.114596	0.123444	0.164333	0.166494	0.174862	0.122733	0.05718	0.0408073	0.0355503
a30	0.100375	0.121803	0.165334	0.155493	0.177897	0.140568	0.0622852	0.0421231	0.0341201
a35	0.159788	0.176505	0.177548	0.131841	0.131297	0.108826	0.0524647	0.0357877	0.025943
a75	0.140158	0.139027	0.142842	0.115946	0.130928	0.14207	0.078458	0.0634116	0.0471598
a30	0.0770313	0.0761551	0.0930993	0.102932	0.135579	0.157218	0.134724	0.12412	0.099141
a57	0.0303996	0.0322246	0.0438068	0.0576803	0.11589	0.199216	0.183154	0.18601	0.151618
a87	0.00397434	0.00594542	0.0075522	0.0099918	0.0273306	0.0950114	0.153723	0.289303	0.407169
a23	0.00774588	0.0110333	0.0186506	0.030394	0.063842	0.15352	0.169919	0.244692	0.300204
a87	0.0176899	0.0259949	0.0377345	0.045713	0.0929531	0.200578	0.188633	0.192127	0.198576
</S>	0.0117405	0.0146659	0.020943	0.0279999	0.0582019	0.151715	0.206343	0.2383	0.270091
