 	mon	enfant	est	tenu	responsable	pour	tout	ce	qui	se	passe	dans	ce	village	</S>
a82	0.153141	0.0998335	0.0751039	0.0803711	0.102707	0.0527	0.0538866	0.0758269	0.0771415	0.0459509	0.059608	0.0433984	0.0281449	0.0267998	0.0253869
a84	0.189282	0.0668615	0.0409126	0.0509379	0.0841215	0.0638712	0.0733915	0.101632	0.105718	0.060585	0.0534271	0.037665	0.0230036	0.023972	0.024619
a82	0.167028	0.0960751	0.0758884	0.087801	0.119246	0.0679346	0.0561243	0.0688853	0.0712788	0.0388911	0.0315152	0.0254715	0.021249	0.0312613	0.0413512
a10	0.147322	0.107202	0.0971162	0.0991126	0.115509	0.0558525	0.04625	0.0550293	0.0570298	0.0394495	0.034051	0.0303646	0.0280676	0.0387574	0.0488861
a87	0.182346	0.110949	0.0891601	0.0591972	0.0622352	0.0434974	0.0433383	0.0561126	0.0637764	0.0530368	0.0430646	0.0415001	0.037733	0.0507512	0.0633018
a23	0.149044	0.0643708	0.0483799	0.0497145	0.0654935	0.0487606	0.0598306	0.07252	0.0868109	0.0777601	0.0644381	0.0533042	0.0453014	0.0553721	0.0588994
a79	0.176089	0.0966207	0.0666279	0.0289703	0.0321836	0.0377599	0.0414448	0.0516137	0.0611169	0.0709129	0.0614596	0.0592905	0.0533683	0.0714881	0.0910542
a20	0.301737	0.203575	0.124236	0.0418081	0.0411923	0.0299532	0.0255912	0.0326622	0.0364571	0.0308	0.0259419	0.0213418	0.0187017	0.0288824	0.03712
a36	0.344478	0.217469	0.145453	0.0490709	0.0424617	0.0272331	0.022295	0.024363	0.0232773	0.0194749	0.0159692	0.0133398	0.0119584	0.0189944	0.0241626
a6	0.211526	0.182636	0.164288	0.0698588	0.0542883	0.0340413	0.0291927	0.0261573	0.0244107	0.0248041	0.0229519	0.0241985	0.0254923	0.0454158	0.0607385
a56	0.18452	0.203919	0.208193	0.0868308	0.0613731	0.0377465	0.0295251	0.028188	0.02389	0.0204914	0.0170609	0.0171939	0.0178018	0.02845	0.0348167
a36	0.149414	0.18116	0.192277	0.107392	0.0715164	0.0456105	0.0343216	0.0337692	0.027996	0.0226617	0.0195022	0.0199698	0.0214153	0.0334277	0.039567
a27	0.0647351	0.107237	0.146065	0.14015	0.106063	0.0556595	0.0459208	0.0442051	0.0384227	0.0337656	0.0302704	0.0310058	0.0356701	0.0551792	0.0656512
a11	0.0601369	0.103402	0.146387	0.174337	0.120097	0.0533649	0.0375615	0.0356409	0.0309918	0.0262893	0.0261803	0.0269834	0.0325131	0.05376	0.0723555
a90	0.053999	0.0983624	0.142987	0.196363	0.145124	0.0654365	0.041555	0.0401797	0.0331513	0.0249286	0.0256698	0.0209772	0.0232322	0.0366991	0.0513349
a4	0.0450976	0.0891633	0.128061	0.141146	0.116388	0.0742789	0.0569557	0.0552147	0.0468152	0.0384044	0.0391268	0.0295559	0.0311861	0.0472076	0.061399
a58	0.0419672	0.0756998	0.109181	0.130423	0.108692	0.0796838	0.0641827	0.0651939	0.0538592	0.0432076	0.0438736	0.0330946	0.0343405	0.0510215	0.0655804
