 	son	enfant	a	grandi	</S>
a66	0.53759	0.244638	0.0973012	0.0631649	0.0573052
a87	0.540784	0.276088	0.105397	0.0522748	0.0254567
a23	0.586726	0.245371	0.0784146	0.0517923	0.0376961
a99	0.501964	0.222065	0.111265	0.0880931	0.076613
a4	0.38017	0.21146	0.138831	0.139594	0.129945
a20	0.335316	0.290643	0.206026	0.0972515	0.0707633
a4	0.290489	0.309439	0.240408	0.100619	0.0590446
a44	0.125453	0.19835	0.312576	0.248525	0.115097
a53	0.0825376	0.118564	0.235639	0.359984	0.203275
a69	0.0833399	0.113449	0.206856	0.343792	0.252564
a4	0.0880811	0.118734	0.210403	0.311111	0.271671
a70	0.0486259	0.0683104	0.140181	0.339322	0.403561
a4	0.0120855	0.021494	0.0794622	0.313332	0.573626
a70	0.00782299	0.0149232	0.0637851	0.260116	0.653352
a44	0.00520369	0.0113395	0.0528208	0.249102	0.681534
a66	0.00508448	0.0120198	0.0513645	0.209454	0.722077
a9	0.0156996	0.019071	0.0437962	0.203844	0.717589
a97	0.0442951	0.0379267	0.0627563	0.173607	0.681414
a9	0.310829	0.156261	0.104833	0.124149	0.303929
a87	0.383864	0.206167	0.117287	0.0958015	0.19688
a23	0.377952	0.241875	0.152481	0.103644	0.124048
a87	0.360006	0.210643	0.171957	0.10375	0.153645
</S>	0.270808	0.20604	0.209617	0.114937	0.198598
