 	ce	poisson	a	beaucoup	d'	arêtes	</S>
a23	0.368356	0.183513	0.0978203	0.0569176	0.0673237	0.0694201	0.156649
a10	0.443722	0.179292	0.120718	0.0823351	0.0575941	0.0481773	0.0681621
a11	0.329336	0.202883	0.151089	0.101114	0.0706052	0.0667798	0.0781931
a20	0.278071	0.19768	0.134781	0.0918503	0.0736986	0.0968918	0.127028
a54	0.40622	0.319935	0.140612	0.0567932	0.0332378	0.0214608	0.0217412
a73	0.347464	0.325093	0.196283	0.0697393	0.0317067	0.0165525	0.013162
a94	0.287946	0.285901	0.23102	0.11123	0.0471824	0.0235295	0.0131925
a76	0.292424	0.277718	0.232536	0.109465	0.0476185	0.0250639	0.0151758
a20	0.271139	0.220736	0.196096	0.128901	0.0841714	0.0602529	0.0387042
a84	0.213361	0.193934	0.197919	0.149483	0.111962	0.0775663	0.0557759
a40	0.171198	0.18236	0.192793	0.157346	0.12506	0.0938291	0.077413
a73	0.116552	0.114884	0.131147	0.130005	0.159519	0.190591	0.157303
a26	0.101191	0.10689	0.136409	0.165043	0.165982	0.162659	0.161826
a24	0.073223	0.0718126	0.0910074	0.132636	0.206887	0.216218	0.208216
a32	0.0463175	0.0423208	0.0512359	0.0795803	0.163557	0.267616	0.349372
a25	0.0583005	0.0486355	0.0505415	0.0696266	0.131987	0.243849	0.397059
a53	0.0441484	0.0385255	0.041617	0.0626214	0.128578	0.258427	0.426083
a94	0.0449339	0.0450299	0.0549545	0.0821074	0.138104	0.268961	0.36591
a76	0.0207763	0.0195528	0.0238276	0.0410183	0.0834092	0.230136	0.58128
a41	0.0293079	0.0296587	0.0389502	0.0653008	0.115466	0.243412	0.477904
a94	0.0169196	0.0190511	0.0268309	0.0516433	0.100214	0.233814	0.551528
a98	0.0160351	0.0162155	0.0217053	0.0447372	0.0844685	0.210326	0.606512
a73	0.0146158	0.0142702	0.0185556	0.0356801	0.0767179	0.206276	0.633884
a84	0.0212836	0.017329	0.0204399	0.0411722	0.0825929	0.206515	0.610667
a53	0.00566327	0.00427585	0.00513893	0.0142098	0.04094	0.201364	0.728408
a69	0.0275902	0.0157479	0.0146025	0.0276042	0.0617687	0.195939	0.656747
a90	0.0273475	0.0164501	0.0147474	0.0270771	0.0562783	0.154631	0.703469
a75	0.0265862	0.0144158	0.0143422	0.0274175	0.0518437	0.154371	0.711024
a41	0.0289784	0.0148566	0.013356	0.0243394	0.0468487	0.145723	0.725898
a27	0.035035	0.0229477	0.0197397	0.038145	0.0808223	0.19749	0.60582
a25	0.0118944	0.00906162	0.0104867	0.0290186	0.0670765	0.216396	0.656066
a87	0.0376044	0.0275189	0.0251849	0.0509505	0.0905455	0.193273	0.574923
</S>	0.035074	0.0343199	0.0319887	0.0535301	0.0974652	0.175454	0.572168
