 	a	ongondza	les	gens	ne	peuvent	pas	me	prendre	pour	un	faible	parce	que	j'	y	ai	construit	une	petite	maison	</S>
a85	0.0843217	0.0702779	0.0539899	0.0511219	0.0520353	0.0536523	0.0536983	0.051883	0.0534863	0.0620382	0.0642483	0.0571401	0.0718009	0.0609672	0.0593458	0.0366357	0.0293722	0.0129111	0.00687127	0.00514462	0.00483511	0.00422296
a87	0.0557291	0.0461228	0.0250133	0.022583	0.0226528	0.024463	0.028116	0.0306414	0.0465861	0.0722482	0.0913522	0.085551	0.0871006	0.072537	0.0817457	0.0587003	0.0508594	0.0247158	0.021009	0.0190464	0.0178098	0.0154172
a23	0.0636929	0.0740116	0.053031	0.0454251	0.0396392	0.0345386	0.0287346	0.0249991	0.0227121	0.0291205	0.0311053	0.0285027	0.0254938	0.0249309	0.0318583	0.0407604	0.045341	0.0356628	0.0552416	0.0807384	0.0977646	0.0866954
a87	0.0817907	0.118041	0.0659231	0.0398801	0.0305966	0.0271327	0.0245928	0.0236789	0.0243591	0.031587	0.0371788	0.0387138	0.0330931	0.0295056	0.0400349	0.0405236	0.0462154	0.0322945	0.0362904	0.0501593	0.0714162	0.076993
a10	0.0464169	0.0696034	0.0373723	0.0240676	0.0218029	0.0241529	0.0270063	0.0278661	0.0296593	0.0404565	0.0465598	0.0510353	0.0499314	0.0493785	0.0666647	0.0609665	0.0758979	0.051454	0.0474893	0.0482633	0.0524465	0.0515087
a87	0.0512964	0.071517	0.0408298	0.0285565	0.0257441	0.026652	0.0295077	0.0292576	0.0299364	0.0402427	0.0470383	0.0514868	0.0489528	0.0503344	0.0659174	0.0656719	0.079726	0.0510765	0.0456994	0.042534	0.0420644	0.0359579
a57	0.0920414	0.0792028	0.0414387	0.0241594	0.0186764	0.0164833	0.0167676	0.0172443	0.020462	0.027292	0.0354093	0.0418707	0.0408705	0.0433537	0.0613553	0.0648281	0.0809298	0.062398	0.0602824	0.0562618	0.0545592	0.0441132
a10	0.0805378	0.0795036	0.0408244	0.0227342	0.0175798	0.0156926	0.017316	0.0193702	0.0255207	0.033127	0.0453863	0.0535889	0.0530046	0.0521528	0.0711269	0.0705703	0.0851981	0.0598942	0.0508155	0.0417752	0.037527	0.026754
a11	0.0601106	0.0650084	0.0401628	0.0260073	0.0221923	0.0216341	0.0239228	0.0243093	0.0283329	0.0372774	0.0486556	0.0497534	0.0527641	0.0505097	0.0691826	0.0676095	0.086194	0.0571724	0.0497065	0.044827	0.0429855	0.0316819
a90	0.136041	0.12198	0.0758932	0.0375891	0.0280352	0.0261855	0.0252013	0.0232272	0.0231794	0.0368827	0.0398605	0.0402195	0.0339815	0.033018	0.0335744	0.0318078	0.0371283	0.0279051	0.0361064	0.0442731	0.0545231	0.0533877
a56	0.166713	0.166721	0.10424	0.0581893	0.0471026	0.0423832	0.0358372	0.0311283	0.0263327	0.031725	0.0304458	0.0291224	0.0249393	0.0236708	0.021532	0.0178002	0.0176303	0.0132786	0.0169757	0.0227368	0.0308947	0.0406007
a96	0.125924	0.140669	0.106985	0.0717643	0.065531	0.0634118	0.0525143	0.0430807	0.0348314	0.039067	0.0350449	0.0308913	0.0247244	0.021727	0.0166093	0.0127607	0.0113379	0.00900952	0.0121045	0.0179405	0.0257902	0.0382818
a90	0.0706454	0.108422	0.103477	0.0883589	0.0880137	0.0858425	0.0690359	0.0577301	0.0466272	0.0459622	0.0395174	0.0321451	0.0268396	0.0232074	0.0167635	0.0131016	0.0112298	0.00832666	0.00965263	0.0128508	0.0173346	0.0249158
a75	0.0448602	0.087293	0.102619	0.097721	0.0970924	0.0913512	0.0728732	0.0609126	0.0480205	0.0454806	0.0388481	0.0327351	0.0277035	0.0241984	0.0176334	0.013963	0.0122851	0.00926752	0.010757	0.0142871	0.0195235	0.0305745
a56	0.0587627	0.0827734	0.0930671	0.093797	0.0945026	0.0931571	0.0804765	0.0673335	0.0529894	0.0488789	0.0401228	0.0333613	0.0247252	0.0188078	0.0125712	0.00906555	0.00777829	0.00701113	0.00904914	0.0135487	0.0209728	0.0372479
a75	0.0529624	0.0914357	0.104625	0.100773	0.102488	0.0999379	0.0819247	0.0668131	0.0516527	0.0475645	0.0391085	0.0311325	0.024564	0.0190324	0.0122308	0.00840538	0.00661539	0.00549321	0.00658568	0.00950234	0.0135262	0.0236268
a44	0.0360183	0.0636469	0.076884	0.0856957	0.0880522	0.0886114	0.0794567	0.0715976	0.0599508	0.0579932	0.0489699	0.043766	0.0340049	0.0262693	0.0162732	0.011044	0.00905945	0.00846792	0.010301	0.0154754	0.0239418	0.0445203
a98	0.0247453	0.060671	0.0767802	0.0934836	0.0972578	0.0976679	0.0861425	0.0794424	0.0660943	0.0625577	0.0511429	0.0399561	0.0335628	0.0275977	0.0171191	0.0115009	0.00929639	0.00720451	0.00811485	0.0107778	0.0144142	0.0244703
a85	0.0179905	0.0364956	0.0484325	0.0687795	0.0769152	0.0851048	0.0826469	0.0821998	0.0709726	0.072418	0.0583366	0.0527368	0.0419532	0.0355537	0.0220087	0.0141695	0.0118884	0.0100652	0.0119979	0.0180719	0.0282472	0.0530155
a37	0.0245676	0.0393507	0.0523734	0.0671914	0.0727794	0.078915	0.0749158	0.0728357	0.0652855	0.0664206	0.0550467	0.0571599	0.0439141	0.0375717	0.0267033	0.0181921	0.0154716	0.0133645	0.0134877	0.0183738	0.0293667	0.0567127
a56	0.0203254	0.0357623	0.0448859	0.0739669	0.0869038	0.0978828	0.0926347	0.0888714	0.0778615	0.0786591	0.0628599	0.0524789	0.0420552	0.0351202	0.0199792	0.012005	0.00928319	0.00715116	0.00822481	0.0108683	0.0149464	0.0272739
a4	0.0198867	0.0297867	0.0347203	0.058894	0.0753082	0.0909916	0.0900855	0.0914714	0.0838208	0.0876025	0.0686315	0.0567147	0.0435907	0.0368336	0.0198088	0.0130814	0.0100902	0.00799574	0.00918613	0.0129422	0.0195089	0.0390487
a44	0.012881	0.0205048	0.0213425	0.0364953	0.0522345	0.0739968	0.0857751	0.0980502	0.0977438	0.102713	0.0812271	0.0671813	0.0519152	0.0447753	0.0238354	0.0162853	0.0133266	0.0109978	0.0121268	0.0147527	0.0208933	0.0409464
a90	0.0112575	0.0182003	0.0187022	0.031265	0.0457218	0.0679863	0.0820045	0.0965167	0.0967108	0.101051	0.0807287	0.0657455	0.0533305	0.0468743	0.0261671	0.0188028	0.0160374	0.0136047	0.0142071	0.0172176	0.0256782	0.0521904
a57	0.00797813	0.0116199	0.0129353	0.0243779	0.0394725	0.0678176	0.0885446	0.105648	0.107507	0.113842	0.0883109	0.0717145	0.0547864	0.0475153	0.0246744	0.0172222	0.0145037	0.0119209	0.0121407	0.0140406	0.0204981	0.0429294
a9	0.00600251	0.010928	0.012698	0.0240139	0.0381811	0.0626774	0.0863434	0.103295	0.102124	0.103313	0.0828529	0.0626273	0.0578372	0.051794	0.0292897	0.020291	0.0181585	0.0155497	0.0152884	0.0169652	0.0252848	0.0544844
a53	0.0026527	0.00533513	0.00636606	0.014123	0.0270317	0.0515361	0.0816925	0.117272	0.151649	0.139915	0.110708	0.0656286	0.0575755	0.041382	0.018943	0.0123711	0.00920119	0.00826374	0.00971927	0.0125233	0.0193049	0.0368058
a4	0.00748588	0.00956538	0.0120897	0.0224043	0.0358542	0.059681	0.0796508	0.0936932	0.0955446	0.104298	0.0824755	0.0639786	0.0559278	0.0499022	0.0316274	0.0223056	0.0233526	0.0193817	0.0209647	0.0219633	0.0312214	0.0566327
