 	les	hommes	d'	ongondza	sont	en	train	de	pêcher	au	harpon	au	vouma	</S>
a10	0.0666117	0.0560266	0.0642852	0.0666793	0.0990758	0.102942	0.140856	0.172785	0.121804	0.051258	0.0272801	0.0133594	0.00885246	0.00818488
a87	0.116581	0.0715643	0.0462241	0.0750925	0.0680608	0.0721609	0.0993751	0.114015	0.0981533	0.0609777	0.0492845	0.0340809	0.039876	0.0545546
a23	0.157037	0.118861	0.0923679	0.0882687	0.0756791	0.0584308	0.0712117	0.0649649	0.059823	0.0437696	0.0353647	0.0338712	0.0396981	0.060652
a40	0.123348	0.091994	0.0625175	0.0776758	0.0738954	0.0724509	0.0910817	0.0920665	0.0842719	0.0686108	0.052405	0.0369724	0.0328315	0.0398789
a47	0.254572	0.207753	0.0849357	0.0368955	0.0455092	0.0618404	0.0728501	0.0706477	0.0463409	0.0346922	0.0234379	0.0202906	0.0194557	0.0207794
a44	0.256894	0.22167	0.108948	0.0523266	0.0476829	0.0569872	0.067328	0.0577932	0.0346805	0.0237677	0.0183507	0.017251	0.01696	0.0193612
a98	0.193163	0.20263	0.107643	0.0598918	0.0620154	0.0764443	0.088667	0.0744807	0.041894	0.0286272	0.0198417	0.0148643	0.0138666	0.0159715
a44	0.115639	0.144413	0.115756	0.0948389	0.0936828	0.0991558	0.105703	0.0824072	0.0411488	0.0252875	0.0194612	0.0169695	0.0203506	0.0251873
a90	0.108606	0.143929	0.132415	0.100379	0.101449	0.100699	0.108769	0.0798265	0.036264	0.0209423	0.0158608	0.0135877	0.0165772	0.0206944
a25	0.102654	0.120715	0.122757	0.0913644	0.0938194	0.0958832	0.104713	0.0814157	0.0416412	0.0265848	0.021729	0.0219016	0.031903	0.0429188
a94	0.0916183	0.111499	0.143349	0.110626	0.0997694	0.0940021	0.0977757	0.0800553	0.0430976	0.0263404	0.0206291	0.0200675	0.0267173	0.0344534
a83	0.070983	0.0906936	0.133009	0.132273	0.126372	0.107108	0.108559	0.0824412	0.0386991	0.0234938	0.0189943	0.0169749	0.0217182	0.028682
a90	0.053495	0.0696074	0.116544	0.130386	0.136557	0.11174	0.108573	0.078818	0.0392339	0.0284775	0.0260711	0.0256943	0.0328841	0.0419176
a92	0.0477993	0.0563452	0.0945811	0.114347	0.122723	0.108853	0.112776	0.0907388	0.0530869	0.0415869	0.0339674	0.0308472	0.0404476	0.0519011
a70	0.0422748	0.0496262	0.0724258	0.0884121	0.105481	0.100451	0.109959	0.0913844	0.0572669	0.0500641	0.0475465	0.0469973	0.0623824	0.0757292
a75	0.023343	0.0276334	0.0475688	0.0983029	0.136181	0.12583	0.128202	0.110981	0.0673533	0.0517965	0.0416062	0.0364575	0.0461824	0.0585614
a44	0.0325762	0.0414453	0.051284	0.0676911	0.0895591	0.0880132	0.0928079	0.0788566	0.0526893	0.0523678	0.0581614	0.0668864	0.102658	0.125004
a90	0.021289	0.0243635	0.0351996	0.0651603	0.0998434	0.100027	0.104154	0.102825	0.0793442	0.0767699	0.0684207	0.0613186	0.0740202	0.0872645
a44	0.0245753	0.0288208	0.0352405	0.0597605	0.094686	0.0950778	0.0940891	0.0890661	0.0675283	0.0732082	0.0727386	0.0683129	0.0893377	0.107558
a98	0.0153971	0.0177873	0.0250307	0.0494041	0.0778141	0.0800775	0.0769898	0.0783225	0.0720635	0.0917221	0.0984618	0.0890896	0.104179	0.123661
a44	0.0234713	0.0240648	0.0266439	0.0391226	0.059282	0.06562	0.0675323	0.068277	0.0575409	0.0720018	0.0818064	0.0935927	0.144871	0.176173
a98	0.0119191	0.0121638	0.0153983	0.0323705	0.0528151	0.0579729	0.0538724	0.0523002	0.0537138	0.0961891	0.121185	0.114504	0.145897	0.179699
