 	je	l'	ai	payé	pour	le	travail	qu'	il	a	fait	</S>
a66	0.3135	0.163778	0.102704	0.0774393	0.0643705	0.0629385	0.0754256	0.065457	0.0317528	0.0186759	0.0124802	0.0114784
a87	0.252529	0.140271	0.101789	0.073123	0.053086	0.0573691	0.0740661	0.0652443	0.0331629	0.0349415	0.0461511	0.0682663
a23	0.315981	0.233814	0.161482	0.114094	0.0448643	0.027426	0.0191488	0.0158282	0.0121976	0.0143493	0.0174829	0.0233309
a87	0.277961	0.226575	0.15254	0.110863	0.0565062	0.0428165	0.026638	0.0162733	0.0120057	0.0166801	0.0234288	0.0377114
a23	0.291729	0.205697	0.135664	0.097626	0.0568066	0.0481892	0.0348167	0.0242635	0.0181196	0.0223395	0.0273967	0.0373519
a13	0.268366	0.161062	0.108634	0.0912621	0.069482	0.0554367	0.0377079	0.0273515	0.0258373	0.0360761	0.0489737	0.0698115
a31	0.246959	0.160868	0.120809	0.145387	0.10175	0.0562829	0.0268873	0.0192178	0.0197089	0.0272527	0.0327862	0.0420926
a61	0.201941	0.199281	0.161629	0.177061	0.119289	0.0611417	0.0269514	0.0127435	0.0091138	0.00979802	0.0100981	0.0109522
a43	0.115418	0.153366	0.153802	0.20365	0.173972	0.0965574	0.0359421	0.015741	0.0117339	0.0127885	0.0132187	0.0138105
a56	0.0661601	0.100409	0.127385	0.185973	0.221957	0.150682	0.0596446	0.024782	0.0165158	0.0160024	0.0154506	0.0150387
a75	0.0499509	0.0710651	0.101246	0.158048	0.248346	0.19683	0.0761463	0.0284076	0.0164358	0.0167963	0.017584	0.019144
a92	0.0263979	0.0372849	0.0622113	0.0973605	0.204966	0.217677	0.123521	0.0724591	0.0406916	0.0363688	0.0383408	0.0427214
a12	0.0339632	0.0428909	0.0688498	0.0958652	0.194635	0.195405	0.130779	0.0820017	0.0454281	0.0375083	0.0357511	0.0369223
a75	0.0357391	0.0351932	0.0516512	0.056686	0.150526	0.197709	0.172343	0.103995	0.0541498	0.0455434	0.0467239	0.0497408
a5	0.0108074	0.0120305	0.0173194	0.0183352	0.0641273	0.146391	0.208801	0.1904	0.112994	0.0789497	0.0692226	0.0706218
a12	0.0234731	0.0204103	0.0220613	0.0172927	0.0439468	0.101302	0.191573	0.187329	0.119227	0.0892642	0.0872648	0.0968567
a18	0.0131113	0.0100726	0.00938512	0.00655127	0.0168432	0.0430605	0.141022	0.217339	0.189951	0.128977	0.107655	0.116033
a31	0.00909791	0.00695555	0.00580775	0.0044248	0.00980772	0.0214249	0.0678978	0.158027	0.194046	0.181744	0.167446	0.173321
a21	0.00535414	0.00398128	0.00331613	0.00249218	0.00701509	0.0179201	0.0556166	0.147832	0.214725	0.201245	0.176813	0.163689
a56	0.00194048	0.00141648	0.00121308	0.000946773	0.00229124	0.00692546	0.0290832	0.109714	0.216735	0.231708	0.199893	0.198133
a44	0.00196884	0.00149772	0.00121436	0.000926637	0.00251329	0.00672964	0.0217614	0.0740041	0.167671	0.221721	0.241108	0.258885
a57	0.00119401	0.000876749	0.000666646	0.000514286	0.00130383	0.00305697	0.00847666	0.0348546	0.114116	0.196834	0.27541	0.362696
a82	0.00220565	0.00147049	0.00130427	0.00120071	0.00173583	0.00267672	0.00538728	0.0210908	0.0806356	0.163301	0.282007	0.436985
a87	0.0269207	0.0174486	0.0163287	0.0154616	0.0178381	0.0214264	0.0330122	0.0603859	0.119082	0.157174	0.215588	0.299333
a23	0.190109	0.159164	0.131055	0.0914929	0.0537029	0.0421994	0.0382321	0.0521174	0.0588702	0.058684	0.0598844	0.064489
a99	0.0622554	0.0411439	0.0277035	0.0173387	0.0106777	0.0113411	0.0191655	0.060702	0.148377	0.202251	0.200532	0.198511
a97	0.041371	0.0262832	0.0190762	0.0148219	0.0145249	0.0196094	0.0404091	0.0810195	0.13991	0.190718	0.211376	0.200881
</S>	0.00671487	0.00477403	0.00390926	0.00365452	0.00511392	0.0089185	0.0250456	0.0624578	0.129483	0.204195	0.265178	0.280555
