 	le	chien	aboie	</S>
a23	0.385982	0.274721	0.235818	0.10348
a38	0.658693	0.189797	0.0821469	0.0693637
a70	0.618982	0.216561	0.0788061	0.085651
a38	0.735534	0.195776	0.0455137	0.0231767
a30	0.663616	0.2317	0.0680991	0.0365841
a35	0.512168	0.31064	0.128376	0.0488163
a66	0.549936	0.306851	0.109384	0.0338294
a75	0.422263	0.338574	0.1857	0.0534627
a41	0.358877	0.306581	0.244072	0.0904695
a35	0.31632	0.309688	0.261479	0.112513
a14	0.21784	0.299422	0.329779	0.152959
a73	0.164715	0.263148	0.352017	0.22012
a57	0.0992751	0.205512	0.404188	0.291025
a76	0.0330278	0.0741444	0.311023	0.581805
a35	0.05153	0.0828867	0.292318	0.573265
a90	0.060907	0.087274	0.305487	0.546332
a94	0.0404407	0.0654525	0.298936	0.595171
a83	0.0486034	0.063899	0.253235	0.634263
a2	0.0452281	0.0583643	0.229146	0.667262
a57	0.129008	0.133919	0.282362	0.454712
a87	0.123689	0.166222	0.31218	0.397909
a23	0.075101	0.132882	0.319818	0.4722
a87	0.158858	0.195248	0.329836	0.316059
</S>	0.153029	0.218373	0.324093	0.304505
