 	la	réunion	est	à	sa	fin	</S>
a66	0.513552	0.18806	0.113791	0.0637641	0.0422111	0.037395	0.0412261
a87	0.385222	0.217733	0.17129	0.0918188	0.0533657	0.0481655	0.0324041
a23	0.381147	0.296959	0.209066	0.0591527	0.0210487	0.0192655	0.013361
a83	0.237577	0.305932	0.256628	0.0983601	0.0417928	0.0347968	0.0249139
a88	0.338944	0.270603	0.207668	0.0942611	0.041089	0.0277451	0.0196891
a61	0.38946	0.281524	0.162336	0.0797387	0.038779	0.0296668	0.0184959
a12	0.157446	0.196082	0.283507	0.195883	0.0784295	0.0601079	0.0285455
a96	0.102373	0.11801	0.205518	0.227806	0.148437	0.125334	0.0725225
a93	0.0944066	0.0982309	0.149917	0.201231	0.183201	0.159988	0.113025
a94	0.079101	0.0578589	0.0809958	0.145871	0.232017	0.218666	0.18549
a11	0.0148998	0.0122535	0.0176751	0.038971	0.139528	0.252453	0.524219
a24	0.00979812	0.00611371	0.00762344	0.0158209	0.0663749	0.161232	0.733037
a88	0.0179802	0.0133024	0.0170707	0.0330741	0.0818802	0.153705	0.682987
a9	0.0291074	0.0206472	0.0284882	0.0476032	0.0943545	0.170121	0.609678
a87	0.187957	0.132865	0.116757	0.102016	0.110057	0.133301	0.217047
a23	0.286194	0.220313	0.153532	0.0781464	0.0624536	0.0747767	0.124584
a87	0.254828	0.244725	0.118517	0.0642337	0.0604526	0.0895994	0.167645
</S>	0.1053	0.108584	0.0628824	0.0600364	0.108581	0.197674	0.356943
