 	il	emplit	la	bouteille	de	vin	</S>
a85	0.366136	0.30032	0.170985	0.0723224	0.0351726	0.0266164	0.0284483
a87	0.222015	0.192818	0.2936	0.142454	0.0670796	0.0400091	0.042024
a23	0.305954	0.283212	0.117782	0.0560947	0.0587004	0.0670505	0.111207
a18	0.22999	0.383993	0.163612	0.055343	0.0421933	0.0457253	0.0791438
a41	0.423447	0.244529	0.156168	0.0675753	0.0424142	0.0341768	0.0316895
a35	0.526388	0.247404	0.132121	0.0447475	0.0220179	0.015803	0.0115183
a43	0.526705	0.258236	0.122001	0.0436198	0.0214202	0.0156233	0.0123943
a75	0.461466	0.25003	0.139137	0.0637735	0.0352117	0.0278925	0.0224886
a41	0.329013	0.248594	0.197981	0.0902613	0.0514263	0.0412133	0.0415108
a94	0.233698	0.210699	0.228215	0.129859	0.076486	0.0615587	0.0594836
a14	0.17499	0.110697	0.170821	0.160906	0.122681	0.115734	0.144171
a41	0.11391	0.0881232	0.20161	0.220189	0.149188	0.115212	0.111768
a24	0.057573	0.041628	0.134916	0.247589	0.217959	0.15773	0.142605
a35	0.0163259	0.0149728	0.0382089	0.120811	0.25724	0.25552	0.296922
a30	0.0191226	0.0142255	0.0319271	0.112059	0.276211	0.268088	0.278367
a14	0.02523	0.0288639	0.0534542	0.126197	0.238288	0.250863	0.277104
a35	0.0106847	0.0143305	0.0291245	0.100117	0.2555	0.288303	0.30194
a76	0.0102747	0.00932783	0.0209283	0.0798664	0.24126	0.313329	0.325014
a56	0.00616604	0.0061644	0.0202733	0.0819035	0.246742	0.330716	0.308035
a61	0.0100575	0.0115346	0.0281312	0.0724232	0.196407	0.29802	0.383426
a98	0.00587128	0.00605678	0.0131895	0.0387166	0.158446	0.313964	0.463755
a71	0.00331828	0.00335328	0.0108257	0.0396983	0.165884	0.314527	0.462394
a9	0.00446778	0.00235868	0.00609022	0.0225907	0.102623	0.271637	0.590232
a99	0.00589071	0.00235787	0.00511236	0.0194191	0.0908366	0.224385	0.651998
a87	0.00307661	0.00172069	0.00439521	0.0175895	0.0946939	0.223741	0.654783
</S>	0.00369584	0.00372556	0.00846821	0.0335342	0.172322	0.26098	0.517274
