 	je	sens	l'	odeur	du	poisson	pourri	</S>
a66	0.308631	0.236334	0.173606	0.135014	0.0772441	0.0381812	0.0203263	0.0106638
a87	0.569791	0.182661	0.0964391	0.0800191	0.0287259	0.0141363	0.0157373	0.0124905
a23	0.510673	0.225093	0.118867	0.0716054	0.0301637	0.0142625	0.0127823	0.0165534
a99	0.304751	0.170741	0.142696	0.144715	0.0657765	0.0513587	0.0578547	0.062107
a83	0.173007	0.197012	0.186372	0.186204	0.0707832	0.0558446	0.0581259	0.0726516
a54	0.372049	0.224311	0.146367	0.132713	0.0548492	0.032598	0.0189554	0.0181572
a5	0.286236	0.190677	0.146553	0.181364	0.107462	0.0548401	0.0198483	0.0130203
a12	0.197264	0.215158	0.180314	0.194528	0.100462	0.0754389	0.022954	0.0138815
a96	0.133709	0.182934	0.199756	0.229233	0.14615	0.0769446	0.0192602	0.0120138
a93	0.0966046	0.168089	0.198421	0.232071	0.169906	0.0861567	0.0291928	0.019559
a90	0.0772171	0.165502	0.196097	0.230924	0.193658	0.0868668	0.0288812	0.0208542
a56	0.0726678	0.151823	0.170498	0.196322	0.210927	0.107232	0.0489434	0.0415879
a21	0.0839401	0.159496	0.172695	0.180132	0.188059	0.101109	0.0608102	0.0537589
a5	0.0387482	0.0855245	0.119408	0.151365	0.208367	0.153891	0.125188	0.117509
a43	0.0198053	0.0480168	0.0880342	0.114751	0.211902	0.187034	0.173206	0.157249
a34	0.022239	0.0442513	0.0892463	0.111288	0.213924	0.23208	0.157234	0.129737
a37	0.0162608	0.0341787	0.0685846	0.088637	0.200562	0.238602	0.192549	0.160625
a34	0.0153241	0.0274714	0.052758	0.063225	0.14261	0.225681	0.242085	0.230845
a47	0.0153394	0.0236141	0.0444553	0.0512615	0.109951	0.210762	0.288479	0.256138
a62	0.0128907	0.0237596	0.0444308	0.0485671	0.0964837	0.185276	0.278889	0.309703
a47	0.00606879	0.0103348	0.0221079	0.0277025	0.0663951	0.157767	0.314598	0.395026
a31	0.00549475	0.0098528	0.0168923	0.016315	0.0271239	0.0781941	0.236078	0.610049
a88	0.00238659	0.0039565	0.00750323	0.008865	0.0190461	0.0565014	0.20549	0.696251
a90	0.00146885	0.00268918	0.00473484	0.00444324	0.00644443	0.0217849	0.128127	0.830307
a25	0.000965499	0.00212952	0.00456704	0.00502682	0.0108093	0.0339371	0.133884	0.808681
a79	0.000423467	0.00089808	0.00215684	0.00233109	0.00587511	0.0241407	0.132114	0.832061
a0	0.00122212	0.00208322	0.00409353	0.00456372	0.0119188	0.0346242	0.150303	0.791191
a96	0.000738328	0.00107342	0.00184159	0.00172574	0.003682	0.0126363	0.082922	0.895381
a18	0.00138545	0.00292541	0.00515649	0.00447123	0.00659097	0.0193448	0.0895484	0.870577
a71	0.00739336	0.0086072	0.0122684	0.0101492	0.0131815	0.0361983	0.16478	0.747422
a9	0.0396036	0.0281616	0.032102	0.0287399	0.0361895	0.0633046	0.200174	0.571724
a87	0.185233	0.0825925	0.073039	0.06509	0.0768111	0.10064	0.175318	0.241277
a23	0.368878	0.201091	0.134249	0.101482	0.0711483	0.042687	0.0394466	0.0410181
a99	0.246645	0.0999024	0.0636894	0.0513314	0.0656309	0.0568326	0.0971803	0.318788
a87	0.125534	0.0502957	0.0420503	0.0437017	0.0841305	0.0823974	0.14773	0.424161
</S>	0.0287265	0.0206271	0.0260388	0.0319631	0.0736741	0.0918415	0.197388	0.529741
