 	il	est	venu	pour	la	construction	du	village	</S>
a85	0.235658	0.256151	0.245139	0.154636	0.0488835	0.0187973	0.0154937	0.0131764	0.0120654
a66	0.126247	0.174395	0.247731	0.292266	0.113005	0.023588	0.00876384	0.00639442	0.00760952
a87	0.184896	0.19355	0.206154	0.175085	0.0913255	0.0455057	0.0243823	0.028187	0.0509152
a23	0.263112	0.247086	0.192699	0.136702	0.0757639	0.0316675	0.0147774	0.0128208	0.0253713
a79	0.224974	0.247621	0.17939	0.125702	0.0687156	0.0314176	0.0213887	0.0290999	0.0716918
a98	0.150881	0.229284	0.241879	0.228323	0.09684	0.0199828	0.00806295	0.00884418	0.0159034
a5	0.103067	0.137232	0.172934	0.249151	0.202084	0.0721742	0.0250718	0.0178446	0.0204414
a21	0.0582309	0.067192	0.103405	0.204378	0.263869	0.189713	0.0529121	0.0312148	0.0290856
a12	0.0601072	0.0729291	0.115164	0.2229	0.246179	0.179387	0.0489256	0.0300655	0.0243419
a47	0.0768188	0.0870675	0.119865	0.217133	0.207931	0.173725	0.0511221	0.0353418	0.0309968
a88	0.094629	0.101208	0.129375	0.186567	0.158106	0.146867	0.0613838	0.0551341	0.0667304
a75	0.0464529	0.035578	0.0411043	0.0824369	0.132379	0.21404	0.155079	0.140428	0.152502
a56	0.0101412	0.0095234	0.0107638	0.0196671	0.0627421	0.225371	0.237329	0.20546	0.219002
a98	0.0140386	0.0093472	0.00786196	0.0129475	0.0447996	0.14674	0.22929	0.264926	0.270049
a6	0.00294197	0.0021133	0.00185645	0.00413873	0.0157503	0.0504904	0.168538	0.31757	0.436601
a7	0.00130282	0.000765674	0.000493127	0.000709061	0.0022849	0.00806025	0.0665189	0.286106	0.633759
a44	0.00246945	0.00142734	0.000963478	0.000941319	0.00155139	0.00398598	0.0517927	0.296653	0.640216
a57	0.00274361	0.0020084	0.0018273	0.00198153	0.0031838	0.00819136	0.066812	0.288455	0.624797
a82	0.0202939	0.0161789	0.0176368	0.0107924	0.00785336	0.00936909	0.053356	0.237959	0.62656
a87	0.219149	0.146657	0.0808553	0.0346301	0.0226534	0.0269232	0.0602519	0.130055	0.278825
a23	0.338967	0.279138	0.187062	0.0765555	0.0321959	0.0228518	0.0210725	0.0192893	0.0228679
a87	0.135531	0.0887187	0.0558996	0.0295142	0.0296469	0.0454289	0.112444	0.231359	0.271458
a23	0.0115382	0.00773164	0.00576114	0.00468625	0.0102615	0.0329458	0.110555	0.340709	0.475811
</S>	0.0131635	0.00816939	0.0066013	0.00710304	0.0152417	0.0383028	0.123622	0.325451	0.462345
