 	ils	jettent	les	arêtes	dans	la	poubelle	</S>
a30	0.282011	0.291545	0.128265	0.0935542	0.0798289	0.049776	0.0415869	0.0334326
a99	0.273271	0.191223	0.0941156	0.0806123	0.0846713	0.0996128	0.101179	0.0753157
a87	0.29919	0.255957	0.0813636	0.0552265	0.0440145	0.0447724	0.0927579	0.126718
a99	0.20849	0.202931	0.122407	0.0996267	0.0837712	0.0747475	0.102656	0.105371
a98	0.233538	0.277599	0.0776706	0.0680237	0.0734639	0.0667132	0.0988636	0.104128
a44	0.393589	0.169473	0.0666577	0.05633	0.0512491	0.0604836	0.0951517	0.107066
a98	0.359834	0.161385	0.0829678	0.0619572	0.054539	0.0642639	0.101725	0.113328
a47	0.267048	0.205631	0.11267	0.0776076	0.0592541	0.0566698	0.100898	0.120222
a44	0.221444	0.18094	0.102423	0.0703166	0.060283	0.0664309	0.133053	0.165111
a26	0.222359	0.213027	0.135852	0.0999742	0.0689683	0.0557103	0.0944694	0.10964
a98	0.19889	0.233148	0.165871	0.123224	0.0770161	0.0514088	0.0703119	0.0801299
a73	0.198632	0.249153	0.188408	0.121719	0.0689708	0.0431791	0.0552005	0.0747387
a44	0.174624	0.232518	0.183756	0.128413	0.070986	0.0447726	0.0677046	0.0972256
a84	0.167536	0.242488	0.184954	0.129674	0.0681156	0.0417295	0.0630804	0.102422
a44	0.0947986	0.242641	0.205535	0.14645	0.0709513	0.0410521	0.0772515	0.121321
a90	0.0743867	0.227944	0.202424	0.150718	0.0766985	0.0432324	0.0828995	0.141696
a92	0.0740307	0.133046	0.125864	0.103706	0.0863501	0.0812063	0.137354	0.258443
a27	0.0489112	0.0692166	0.0611644	0.0495043	0.0486764	0.0661035	0.197422	0.459002
a10	0.0407347	0.100637	0.127326	0.0979823	0.0805016	0.0707794	0.169485	0.312555
a75	0.0235317	0.0861777	0.101209	0.0793331	0.0667492	0.0702031	0.19445	0.378346
a5	0.0364591	0.0605058	0.0574665	0.0425629	0.0427567	0.0540318	0.190295	0.515922
a18	0.0784348	0.0927892	0.0820127	0.0598576	0.0529018	0.0621694	0.183453	0.388382
a75	0.0111609	0.020209	0.0229626	0.0170427	0.020052	0.0391403	0.218324	0.651108
a85	0.0197688	0.0267588	0.0210187	0.0164535	0.0202948	0.0378488	0.21815	0.639707
a6	0.0153417	0.0204597	0.0171255	0.0168305	0.02252	0.04428	0.254123	0.60932
a79	0.00375882	0.00753953	0.0104008	0.010417	0.0152713	0.0372618	0.250059	0.665291
a36	0.00452677	0.00958309	0.0117643	0.0101715	0.0150379	0.0363634	0.250415	0.662138
a2	0.00344117	0.0065909	0.00643485	0.00570661	0.0108074	0.034356	0.270856	0.661807
a87	0.0455631	0.0490582	0.0410358	0.0419207	0.0465001	0.0716416	0.238159	0.466122
a23	0.0952659	0.084966	0.0795064	0.0903413	0.129844	0.12814	0.182738	0.209199
a87	0.0394482	0.0315006	0.0308832	0.0453254	0.101181	0.163972	0.264328	0.323362
a23	0.0127443	0.0162992	0.0100754	0.0153068	0.0441068	0.109269	0.304434	0.487765
a87	0.0154691	0.0171564	0.0137288	0.022103	0.0599604	0.130355	0.315397	0.42583
</S>	0.0159518	0.0156275	0.00744284	0.0139419	0.0461595	0.122434	0.325695	0.452748
