 	l'	enfant	a	sali	l'	habit	avec	le	jus	de	de	tswiteke	</S>
a87	0.146581	0.124469	0.10827	0.163022	0.0945234	0.107109	0.0871419	0.0821638	0.0525184	0.0131656	0.00663781	0.00667933	0.00771757
a23	0.463675	0.19953	0.102816	0.074442	0.0166846	0.0114269	0.00898939	0.01679	0.0275424	0.0146316	0.0130496	0.0179626	0.0324599
a83	0.163973	0.11734	0.108795	0.0954719	0.0392198	0.0286096	0.0217382	0.0263012	0.0234325	0.0408726	0.0581909	0.130453	0.145603
a54	0.251598	0.184366	0.144634	0.103967	0.04552	0.0344809	0.0224007	0.023919	0.0280112	0.0356098	0.0314309	0.0423036	0.0517582
a6	0.259902	0.173445	0.141167	0.0867768	0.0395825	0.0261965	0.0188886	0.0216449	0.0358062	0.0662097	0.0475583	0.0432569	0.0395661
a37	0.149289	0.150875	0.154735	0.103013	0.0663685	0.0486917	0.0371241	0.0273895	0.0269188	0.0481472	0.0543372	0.0641911	0.0689191
a61	0.139537	0.161781	0.190885	0.123742	0.087166	0.0549375	0.0443725	0.0288541	0.0237959	0.0363728	0.0337868	0.0339138	0.0408554
a66	0.190912	0.163034	0.166351	0.105091	0.089353	0.0685739	0.0584387	0.0367593	0.026883	0.0301979	0.0203623	0.0190362	0.0250075
a61	0.110614	0.11861	0.135888	0.126298	0.127164	0.11786	0.0949397	0.0547716	0.0312312	0.0288336	0.0213831	0.0165015	0.0159056
a47	0.0875138	0.108635	0.13302	0.122419	0.13626	0.130867	0.116593	0.0718753	0.031892	0.0198186	0.0144242	0.013342	0.01334
a96	0.0972144	0.116455	0.14241	0.118054	0.132587	0.120904	0.107643	0.0646272	0.0321223	0.0234999	0.0169982	0.0134931	0.0139906
a0	0.0540197	0.0726417	0.10129	0.11683	0.148479	0.147762	0.130145	0.0905513	0.0492256	0.0274103	0.0207766	0.020877	0.0199927
a75	0.0354654	0.0448224	0.0674068	0.100614	0.155023	0.172392	0.172006	0.109878	0.047056	0.0274412	0.0209473	0.0230261	0.0239217
a25	0.0552042	0.0641076	0.0688198	0.0784227	0.100553	0.111343	0.101206	0.0707063	0.0548898	0.0480158	0.057939	0.0799487	0.108844
a69	0.0437611	0.056351	0.0707024	0.107416	0.134153	0.134731	0.128686	0.0853828	0.0574687	0.04109	0.0351423	0.0497842	0.0553312
a54	0.0184285	0.0196387	0.0225926	0.0322143	0.0580635	0.110428	0.13815	0.122743	0.075547	0.0540382	0.060716	0.114584	0.172856
a98	0.0248982	0.0274623	0.0257445	0.0264333	0.0358015	0.0629426	0.0669907	0.0583228	0.0512688	0.0705611	0.0954571	0.191954	0.262163
a47	0.0231388	0.0232972	0.0218059	0.0230443	0.0371477	0.0722476	0.0781329	0.067924	0.0506674	0.065545	0.0901577	0.206348	0.240544
a85	0.0213573	0.0190145	0.0185792	0.0240334	0.0362348	0.0704981	0.0831603	0.0832206	0.0605194	0.0523717	0.0652142	0.203085	0.262711
a92	0.0162744	0.0152704	0.0146028	0.016328	0.0278374	0.049817	0.0573231	0.0557544	0.0537851	0.0690391	0.100265	0.255044	0.268659
a79	0.0216031	0.0194371	0.0188271	0.0173016	0.0251416	0.037457	0.0429477	0.0440902	0.0523922	0.0737463	0.0974812	0.247066	0.302509
a98	0.0149248	0.0141189	0.013969	0.0160186	0.0250442	0.0355038	0.0383651	0.0449398	0.0586201	0.0808304	0.103845	0.263117	0.290703
a92	0.0119606	0.0105038	0.010271	0.0115817	0.0164733	0.0286506	0.0330195	0.0434613	0.0629888	0.0835598	0.0928992	0.27918	0.31545
a85	0.0317943	0.0236587	0.0218129	0.0199353	0.0255324	0.0356294	0.0383404	0.0422351	0.0568724	0.0865178	0.0904147	0.245837	0.28142
a92	0.0202381	0.0164737	0.01484	0.0138754	0.0158284	0.0194295	0.0196224	0.024965	0.0400668	0.0647609	0.0902179	0.301473	0.358209
a37	0.0146199	0.012285	0.0122967	0.0113589	0.0138601	0.0152877	0.0165604	0.0196886	0.03568	0.0862496	0.113409	0.305621	0.343084
a43	0.00452613	0.00399917	0.00446087	0.00513786	0.00720234	0.00912983	0.00947218	0.0123567	0.0235854	0.0717744	0.118212	0.335053	0.39509
a24	0.00304569	0.00253588	0.0023573	0.00237427	0.00258549	0.00417512	0.00488146	0.00659742	0.0142394	0.036568	0.079846	0.210422	0.630372
a0	0.00582436	0.00446477	0.00374783	0.00399285	0.00399138	0.0063852	0.00627119	0.00857335	0.0184818	0.0512309	0.0868381	0.205539	0.59466
a10	0.0127029	0.00722986	0.00526229	0.00538707	0.00372789	0.00734439	0.00703102	0.0108367	0.0215408	0.0604122	0.103061	0.20267	0.552794
a87	0.079922	0.0525991	0.0356955	0.0375581	0.0157246	0.0230434	0.0189672	0.0291922	0.0581588	0.124164	0.13116	0.163179	0.230637
a23	0.133082	0.0832446	0.064348	0.0658648	0.0298816	0.0338272	0.0332413	0.0486278	0.109962	0.125612	0.0831406	0.0825465	0.106622
a87	0.0175843	0.00910526	0.00731169	0.00752656	0.00415249	0.00548146	0.0057196	0.00977911	0.0379361	0.137658	0.138333	0.270432	0.348981
</S>	0.00349569	0.0021716	0.00224047	0.00346045	0.00231837	0.0025887	0.00228429	0.00321842	0.0129334	0.0784675	0.115288	0.314185	0.457349
