 	où	est	ton	chat	montre-le	moi	</S>
a66	0.396631	0.308502	0.18518	0.0743368	0.0255227	0.00670255	0.00312539
a87	0.42852	0.285119	0.156098	0.0875457	0.0283522	0.00853917	0.00582628
a23	0.364312	0.278749	0.228293	0.0735023	0.0284652	0.0137144	0.0129647
a83	0.283177	0.257731	0.294179	0.0787131	0.0307591	0.0259363	0.0295043
a54	0.333842	0.237675	0.173343	0.101788	0.0590292	0.0461094	0.048213
a15	0.23537	0.230451	0.201176	0.186563	0.0855497	0.0343153	0.0265765
a76	0.137888	0.152706	0.203857	0.265924	0.169992	0.048073	0.02156
a94	0.151637	0.134953	0.16794	0.242365	0.202151	0.0659869	0.0349669
a90	0.177681	0.165238	0.217581	0.186736	0.134429	0.0599857	0.0583498
a98	0.133915	0.115963	0.1407	0.175	0.217892	0.114612	0.101918
a92	0.07719	0.0708981	0.0860509	0.135275	0.23751	0.201814	0.191262
a56	0.0794394	0.0763804	0.111285	0.192937	0.270193	0.142604	0.127161
a93	0.0775651	0.0775178	0.114818	0.1992	0.273314	0.136051	0.121534
a70	0.0525596	0.0527806	0.07223	0.138429	0.275228	0.21317	0.195603
a66	0.0285577	0.0291433	0.0360106	0.0610312	0.179067	0.302433	0.363757
a47	0.0424855	0.0438767	0.0600889	0.114135	0.187786	0.198011	0.353617
a88	0.0508694	0.049218	0.0642748	0.112051	0.15141	0.22727	0.344906
a9	0.0238026	0.0212963	0.0233881	0.0420001	0.0883833	0.256324	0.544806
a99	0.0436056	0.0386173	0.0453427	0.0676307	0.0991445	0.257236	0.448423
a87	0.0778721	0.056796	0.0606701	0.0670495	0.0866795	0.234063	0.41687
a23	0.159618	0.104867	0.0819081	0.0665916	0.111904	0.207907	0.267203
a79	0.0400727	0.0246127	0.0244563	0.0394511	0.154576	0.337472	0.379359
a37	0.00159038	0.00111693	0.00168264	0.0147453	0.130004	0.38935	0.461511
a12	0.00074501	0.000517451	0.000624342	0.00488731	0.051224	0.29237	0.649632
a43	0.0035081	0.00246845	0.00303862	0.00965384	0.0571071	0.29936	0.624864
a21	0.00454431	0.00382606	0.00520959	0.0107445	0.0462407	0.269167	0.660268
a12	0.00465875	0.00371135	0.00426566	0.00522558	0.0247476	0.25516	0.702231
a75	0.00483034	0.00366614	0.00354966	0.00410165	0.0198199	0.214657	0.749376
a79	0.0011058	0.000988242	0.000936717	0.0014812	0.0112622	0.185457	0.798769
a7	0.000651697	0.000628417	0.00054693	0.00127042	0.00872258	0.159936	0.828244
a84	0.000518973	0.000425393	0.000360742	0.000846268	0.00678428	0.156479	0.834585
a87	0.0615933	0.0375169	0.0330426	0.0445622	0.105154	0.215822	0.502308
a23	0.320009	0.202905	0.155501	0.120748	0.0679767	0.0603439	0.0725172
a87	0.0798872	0.049467	0.0369995	0.0342267	0.0575681	0.219691	0.52216
</S>	0.0145788	0.00769243	0.00460033	0.00595131	0.0238953	0.176277	0.767005
