 	la	vipère	a	mordu	un	cabri	dans	la	plaine	</S>
a66	0.308205	0.283422	0.167505	0.0803159	0.0407342	0.0233816	0.0201772	0.0233828	0.0281582	0.0247174
a87	0.410682	0.290525	0.159491	0.0546933	0.0213882	0.0228735	0.0177217	0.00865864	0.00774262	0.00622343
a83	0.487497	0.272428	0.162322	0.029343	0.0101939	0.00744319	0.00723299	0.00719845	0.00782865	0.00851247
a9	0.393873	0.302334	0.139773	0.041184	0.0276227	0.0234516	0.0150273	0.0142771	0.0188849	0.0235731
a38	0.370173	0.206463	0.0951859	0.046447	0.0436966	0.0501837	0.0404165	0.036224	0.0516444	0.059566
a93	0.272001	0.170877	0.11334	0.084112	0.0822547	0.0823832	0.0562002	0.0401036	0.0581117	0.0406167
a56	0.279969	0.179475	0.141807	0.117182	0.108608	0.0828736	0.0350879	0.018998	0.0197555	0.0162442
a96	0.189013	0.167963	0.144182	0.130792	0.129235	0.123338	0.0482901	0.0226427	0.0234229	0.0211208
a62	0.122964	0.112428	0.111932	0.148678	0.143177	0.1674	0.0745688	0.0374204	0.0407679	0.0406634
a88	0.101063	0.081665	0.0737539	0.105973	0.105271	0.176176	0.12661	0.0691979	0.0834346	0.0768555
a75	0.126661	0.054726	0.0443695	0.0655132	0.0702717	0.140973	0.140159	0.113312	0.126076	0.117938
a92	0.078114	0.0245513	0.0197959	0.0468085	0.0581965	0.0951052	0.150216	0.135548	0.16736	0.224304
a37	0.0433618	0.0129523	0.0088071	0.0165327	0.0228394	0.0457304	0.138783	0.198881	0.239976	0.272137
a56	0.0391107	0.00908787	0.00622397	0.0109453	0.0150054	0.0253885	0.0866092	0.197912	0.291722	0.317995
a61	0.0197	0.00417004	0.00313535	0.00439645	0.00537892	0.0113399	0.0477643	0.15172	0.341511	0.410885
a0	0.0059187	0.00148791	0.00140626	0.00203859	0.00252597	0.00630294	0.0268824	0.11637	0.313031	0.524036
a75	0.00538359	0.0012327	0.000927785	0.00278822	0.00416894	0.00983936	0.0230929	0.0864326	0.28205	0.584084
a25	0.00123092	0.000268219	0.000226385	0.000512356	0.000856094	0.00268464	0.0131928	0.0576877	0.245634	0.677706
a92	0.000576808	0.00012869	9.11779e-05	0.000198472	0.000323808	0.00145015	0.00881253	0.0421468	0.241533	0.704739
a56	0.000473904	0.000107975	8.31968e-05	0.000164117	0.000279028	0.00099649	0.00714805	0.0476398	0.256197	0.68691
a44	0.000730871	9.55821e-05	7.37641e-05	0.000197496	0.000320088	0.00112875	0.00779716	0.0555932	0.250632	0.683431
a53	0.000985799	0.000167652	0.000204943	0.000872703	0.00140919	0.00439731	0.0204005	0.0803868	0.275022	0.616153
a4	0.0014143	0.000222648	0.000225615	0.000946841	0.00215908	0.00854159	0.0399326	0.133091	0.304711	0.508755
a57	0.00324142	0.000330818	0.000338426	0.00170561	0.00370869	0.0135201	0.0510676	0.141036	0.291602	0.493449
a82	0.0194392	0.00254754	0.00207079	0.00834223	0.017602	0.0349249	0.0753257	0.127651	0.25197	0.460127
a87	0.316565	0.0919229	0.118893	0.0784664	0.0493005	0.0432635	0.0539458	0.0548151	0.0744958	0.118332
a23	0.281204	0.100181	0.155137	0.1792	0.0928359	0.0508313	0.0419499	0.031604	0.0335507	0.0335064
a99	0.192251	0.0851362	0.0931113	0.0858223	0.0396571	0.0294323	0.0444518	0.0706039	0.134566	0.224968
a87	0.0714612	0.0205694	0.0166583	0.0152459	0.0117263	0.00978549	0.0186548	0.0657458	0.242765	0.527388
a97	0.0200259	0.00684506	0.00535124	0.0047692	0.00424347	0.00537317	0.0148376	0.0639606	0.282729	0.591865
</S>	0.0546676	0.023791	0.0210043	0.017607	0.0175331	0.0263798	0.0569034	0.115593	0.266323	0.400198
