 	son	grand	frère	l'	a	obligé	de	répudier	sa	femme	</S>
a84	0.227456	0.128414	0.0933173	0.110962	0.135697	0.123728	0.0851649	0.0506384	0.0208099	0.0132112	0.0106018
a10	0.290413	0.116679	0.085885	0.0654543	0.0851636	0.0775576	0.0729267	0.0566746	0.0400611	0.0451304	0.0640547
a82	0.361265	0.177802	0.109257	0.0779737	0.0825931	0.0621811	0.0316959	0.0188654	0.0172946	0.0237531	0.0373196
a27	0.355188	0.193525	0.0978966	0.0759747	0.0858117	0.0655565	0.0320024	0.0200263	0.020334	0.023218	0.0304659
a38	0.295964	0.17892	0.105267	0.0900248	0.10204	0.0720596	0.0405874	0.0261087	0.0267334	0.0290442	0.0332501
a15	0.276118	0.155805	0.112717	0.0961768	0.0830411	0.0705117	0.0484885	0.0380298	0.0394487	0.0415883	0.0380749
a92	0.198588	0.173108	0.126596	0.116473	0.0942149	0.0729793	0.0444292	0.0330683	0.0374522	0.0484755	0.0546164
a21	0.109976	0.134897	0.136355	0.173072	0.154767	0.12309	0.0544544	0.0285589	0.0264883	0.0289773	0.0293659
a25	0.0942123	0.121589	0.136908	0.191093	0.188039	0.173812	0.0444329	0.0159392	0.0113706	0.0109739	0.0116303
a98	0.0975963	0.122968	0.139743	0.166418	0.157689	0.151705	0.0587809	0.0309427	0.0221393	0.02357	0.0284478
a47	0.064682	0.0906907	0.121208	0.153659	0.168138	0.160737	0.0807789	0.0508983	0.0342801	0.0343992	0.0405291
a36	0.0806689	0.11117	0.136704	0.150861	0.141601	0.0956702	0.0511161	0.0408395	0.0414333	0.0587332	0.0912022
a37	0.0773733	0.115356	0.158338	0.154252	0.123116	0.0674886	0.0388694	0.0352938	0.0446712	0.0712127	0.114028
a41	0.0683637	0.0961982	0.14698	0.160357	0.135197	0.0796868	0.0499746	0.0411646	0.0448184	0.067583	0.109678
a12	0.0262624	0.0408994	0.0690302	0.0803712	0.101681	0.0721332	0.0824033	0.0946549	0.0951096	0.128977	0.208478
a56	0.0429809	0.048254	0.0622441	0.077766	0.113822	0.0881416	0.112599	0.107767	0.0849115	0.102845	0.15867
a90	0.0340677	0.0431801	0.0606886	0.0832723	0.123311	0.0870362	0.116681	0.115245	0.0945876	0.1018	0.14013
a98	0.0189715	0.0246253	0.0363286	0.04613	0.0717321	0.0411648	0.0928623	0.148042	0.151552	0.156025	0.212566
a37	0.0177218	0.021451	0.0292068	0.0327438	0.0510074	0.0322128	0.0687671	0.111491	0.153522	0.188243	0.293633
a12	0.0107262	0.0118874	0.0169453	0.0196382	0.0280605	0.0160779	0.0358601	0.0689951	0.126337	0.22525	0.440222
a94	0.00798317	0.00939142	0.0140325	0.0164517	0.0237024	0.0105322	0.0299645	0.0751618	0.156518	0.264984	0.391278
