 	cet	enfant	hurlait	dans	la	maison	</S>
a66	0.27458	0.109454	0.128578	0.123729	0.136583	0.131199	0.0958781
a87	0.288083	0.139407	0.165116	0.155136	0.115092	0.0845431	0.0526238
a10	0.401817	0.157678	0.211096	0.0913509	0.0550378	0.0516305	0.0313896
a87	0.410996	0.157457	0.208219	0.0980796	0.0534133	0.0418088	0.030026
a97	0.364515	0.165443	0.220973	0.109975	0.0592321	0.0455084	0.0343538
a87	0.358799	0.143354	0.218693	0.132093	0.0695064	0.0470743	0.0304803
a97	0.32381	0.156978	0.235238	0.139754	0.0694698	0.0444841	0.0302658
a30	0.333594	0.125568	0.206513	0.156323	0.0892469	0.0580276	0.0307271
a53	0.356762	0.146216	0.212054	0.141323	0.0738071	0.0434626	0.0263757
a93	0.430157	0.286427	0.118422	0.0620693	0.0398515	0.0330933	0.0299795
a90	0.180858	0.234026	0.141603	0.115794	0.111181	0.122061	0.0944765
a53	0.211054	0.253625	0.130874	0.100079	0.0929909	0.113342	0.0980351
a69	0.15471	0.203915	0.124756	0.101442	0.108474	0.149866	0.156837
a44	0.138175	0.186262	0.131509	0.109701	0.112717	0.154806	0.166829
a94	0.073486	0.120304	0.133772	0.12328	0.137354	0.198174	0.21363
a93	0.0629465	0.101177	0.133495	0.123543	0.137605	0.210542	0.230692
a54	0.0450558	0.0725297	0.124764	0.118824	0.140864	0.234731	0.263232
a56	0.0522526	0.0934843	0.146046	0.153375	0.170174	0.198438	0.18623
a70	0.0138465	0.0294295	0.0676457	0.0910054	0.153617	0.289522	0.354934
a62	0.00745746	0.016236	0.0454819	0.0805636	0.163513	0.307897	0.378851
a12	0.00198343	0.00365784	0.0120596	0.0295182	0.114796	0.340114	0.497871
a98	0.0011969	0.00268189	0.00989034	0.0283522	0.12581	0.340831	0.491238
a11	0.00221323	0.00467246	0.0110861	0.0294569	0.121049	0.287055	0.544467
a0	0.000405927	0.000791476	0.00232118	0.00855224	0.0775486	0.270305	0.640076
a56	0.00231779	0.00320077	0.0072465	0.0187675	0.0849513	0.206456	0.677061
a70	0.00195556	0.00305429	0.00597473	0.0171842	0.0767924	0.195074	0.699965
a83	0.00296806	0.00454595	0.00916015	0.0223667	0.0838808	0.185445	0.691634
a38	0.00362742	0.00568417	0.0116997	0.0268691	0.0874206	0.186651	0.678048
a50	0.00664356	0.00963008	0.0190658	0.0284457	0.0778375	0.180604	0.677773
a83	0.00427153	0.00627423	0.0135019	0.0275371	0.0820871	0.18766	0.678669
a9	0.0070538	0.00900269	0.0180007	0.0272475	0.0764962	0.197437	0.664762
a99	0.0129293	0.0111282	0.019689	0.0276422	0.0822454	0.212522	0.633844
a10	0.0318763	0.0218178	0.0374178	0.0460351	0.104737	0.227307	0.530809
a87	0.0467222	0.0328357	0.0635648	0.0738584	0.134942	0.24993	0.398147
</S>	0.0679346	0.0436937	0.0786749	0.0963679	0.157098	0.240525	0.315706
