 	ce	fer-ci	est	rouillé	</S>
a10	0.451521	0.210107	0.137731	0.116418	0.084223
a62	0.204768	0.162349	0.145979	0.208307	0.278596
a47	0.599016	0.161066	0.0963238	0.0715707	0.0720234
a88	0.761959	0.144159	0.0581848	0.0213856	0.0143106
a21	0.823173	0.115741	0.0410274	0.0127522	0.00730713
a47	0.825704	0.115285	0.033334	0.014848	0.0108294
a96	0.520519	0.261856	0.132993	0.0489511	0.0356811
a21	0.353461	0.282561	0.217654	0.0883911	0.0579328
a61	0.396912	0.277992	0.162544	0.0976025	0.0649498
a75	0.166526	0.257705	0.295545	0.179162	0.101062
a85	0.116125	0.228114	0.289722	0.215044	0.150995
a73	0.106831	0.203681	0.256865	0.224905	0.207718
a2	0.0472398	0.106247	0.204232	0.299577	0.342704
a84	0.0250208	0.0565676	0.119555	0.25245	0.546407
a53	0.0294924	0.0498279	0.127155	0.248674	0.544851
a94	0.0222371	0.0363423	0.10961	0.295459	0.536352
a98	0.00826605	0.0193528	0.0701568	0.244411	0.657813
a44	0.00923294	0.0222859	0.0769574	0.258963	0.632561
a57	0.00924966	0.0180188	0.0611349	0.224012	0.687585
a87	0.00357401	0.0081395	0.0340558	0.191841	0.76239
a23	0.0167187	0.0458338	0.123038	0.257228	0.557182
a87	0.0290041	0.0702686	0.161166	0.260363	0.479198
a10	0.0382515	0.0690593	0.146052	0.249195	0.497442
a87	0.0680189	0.0992567	0.155957	0.230401	0.446366
a23	0.109043	0.122736	0.144237	0.206468	0.417515
a99	0.0457151	0.0914033	0.144599	0.228296	0.489987
a97	0.0248107	0.0595373	0.130858	0.238813	0.545981
a87	0.0464271	0.0956058	0.153869	0.221351	0.482747
</S>	0.0489494	0.0804637	0.121639	0.223862	0.525086
