 	le	féticheur	lui	a	exigé	un	sacrifice	avant	de	lui	donner	les	attributs	de	la	sorcellerie	</S>
a15	0.0508697	0.05365	0.0550225	0.0825332	0.115991	0.15461	0.16199	0.0710636	0.0539716	0.0586525	0.0638458	0.0424363	0.0230758	0.00552114	0.00297041	0.00184417	0.00195273
a66	0.226887	0.147637	0.0926017	0.11131	0.121156	0.120268	0.0604395	0.0185212	0.0126047	0.0127518	0.0162055	0.0132265	0.0150587	0.00770454	0.00695805	0.00649789	0.0101722
a87	0.455603	0.172478	0.0890046	0.0586839	0.0557797	0.0475203	0.0345989	0.0126426	0.00783136	0.00903327	0.0121687	0.00959236	0.00832348	0.00456434	0.0049109	0.00625301	0.0110114
a23	0.319985	0.165361	0.107918	0.0754232	0.070909	0.0498101	0.0302728	0.0153248	0.0155899	0.0228599	0.0334212	0.0301799	0.0283392	0.00879351	0.00765048	0.00737522	0.0107869
a13	0.284119	0.121185	0.0920817	0.0626993	0.0463396	0.024118	0.0151842	0.0144832	0.0183562	0.025628	0.035761	0.0435963	0.0583845	0.0454142	0.0389088	0.0325664	0.0411751
a54	0.147351	0.0663288	0.0581385	0.0574497	0.0475861	0.0343363	0.0390047	0.0430895	0.0423155	0.0458432	0.0521281	0.0612135	0.079873	0.072125	0.0580239	0.0438181	0.0513746
a92	0.0767333	0.0608104	0.0449985	0.0547266	0.0562816	0.0523107	0.10549	0.10557	0.0544554	0.0419898	0.0460883	0.0446132	0.0582836	0.0688186	0.0586054	0.0363656	0.0338595
a37	0.0857173	0.0891582	0.0779609	0.105003	0.102941	0.0899615	0.11195	0.0866552	0.045778	0.0296565	0.0288236	0.0258286	0.0303826	0.0315281	0.0260067	0.0168435	0.0158056
a85	0.111398	0.0829185	0.0897103	0.106169	0.0975797	0.0757163	0.0753234	0.0728549	0.0471729	0.0360071	0.0432334	0.0346256	0.0374131	0.0298065	0.0249071	0.017897	0.0172665
a6	0.030379	0.039615	0.0451588	0.0662101	0.0797593	0.0703646	0.0964046	0.102807	0.0737371	0.0570116	0.0585954	0.0546749	0.0472754	0.0468127	0.0463484	0.0398243	0.0450216
a7	0.0776367	0.0723111	0.071415	0.0816495	0.0869392	0.0769933	0.0804779	0.0807473	0.0566493	0.0402767	0.0428972	0.0387741	0.03462	0.0389259	0.0409289	0.0383737	0.0403841
a75	0.0492674	0.0663293	0.0797042	0.0949629	0.0967224	0.0809184	0.077885	0.0948443	0.0699238	0.0480704	0.0476444	0.0375349	0.0287819	0.0274366	0.028989	0.031682	0.0393032
