 	ibara	est	en	train	d'	aiguiser	la	machette	</S>
a66	0.230356	0.174312	0.142651	0.119898	0.13019	0.0894417	0.0619022	0.0306425	0.0206062
a87	0.200731	0.169812	0.140034	0.11629	0.123013	0.100535	0.0794292	0.0395232	0.0306324
a23	0.280156	0.23742	0.193103	0.130842	0.0885239	0.0372862	0.0150169	0.00856002	0.00909217
a38	0.280293	0.23539	0.178566	0.130338	0.0908147	0.0403243	0.0162726	0.0115359	0.0164651
a71	0.272001	0.21141	0.16753	0.124592	0.0898617	0.0458315	0.0258178	0.0277789	0.0351766
a54	0.244522	0.169144	0.148221	0.132357	0.111996	0.0662736	0.0471289	0.0391157	0.0412414
a6	0.160373	0.117315	0.126338	0.131693	0.111297	0.0963401	0.0903172	0.0852928	0.0810342
a79	0.0869399	0.0779717	0.0878034	0.0971377	0.103095	0.109995	0.138041	0.153576	0.145441
a75	0.084516	0.0852305	0.103034	0.11185	0.112413	0.128587	0.124225	0.124491	0.125654
a85	0.076482	0.078299	0.0925635	0.107611	0.108953	0.126908	0.125959	0.132664	0.150561
a6	0.0787233	0.0847795	0.101313	0.123182	0.121092	0.138675	0.117218	0.109755	0.125263
a0	0.0731188	0.0827122	0.101401	0.130741	0.131695	0.135416	0.118132	0.109258	0.117527
a56	0.0409676	0.0487321	0.0577838	0.0884081	0.103272	0.125878	0.130674	0.162223	0.24206
a90	0.0405749	0.0464001	0.0518973	0.0857998	0.112327	0.144393	0.141235	0.16024	0.217133
a69	0.0307803	0.0396424	0.0516167	0.1003	0.127951	0.164581	0.151043	0.147767	0.186319
a58	0.0195337	0.02328	0.0317567	0.0701288	0.0926629	0.143349	0.157942	0.194796	0.266551
a15	0.00695185	0.0068821	0.00951197	0.0196122	0.0245221	0.049215	0.0806391	0.249456	0.553209
a79	0.0131924	0.0133226	0.0160559	0.0315911	0.0374403	0.0653928	0.0867675	0.225627	0.51061
a26	0.00797122	0.00890848	0.0112531	0.0261792	0.0345733	0.0633708	0.0959393	0.254785	0.497019
a82	0.00544652	0.00533658	0.00731903	0.0151546	0.0187225	0.0338902	0.0683647	0.258234	0.587532
a10	0.0756083	0.0797314	0.0862808	0.121402	0.126022	0.104579	0.0948225	0.129102	0.182452
a87	0.106624	0.10764	0.118105	0.150948	0.144637	0.123107	0.0836716	0.0782985	0.0869691
a23	0.105495	0.101199	0.11254	0.142117	0.132475	0.127688	0.0982936	0.088708	0.0914836
a97	0.0628021	0.0639297	0.0758865	0.129153	0.130684	0.152218	0.118344	0.121746	0.145237
a87	0.0251804	0.0262423	0.0305587	0.0649993	0.079844	0.118432	0.113254	0.186238	0.355251
a23	0.0511978	0.0522815	0.0589586	0.105255	0.119584	0.131221	0.106016	0.137169	0.238317
a87	0.0295695	0.0300245	0.0369414	0.0793435	0.0942254	0.155308	0.141596	0.173768	0.259223
a97	0.0360344	0.0373744	0.0411863	0.0860093	0.094977	0.13163	0.1323	0.17507	0.265418
</S>	0.0815986	0.0770758	0.0771972	0.117773	0.103182	0.123517	0.091699	0.116198	0.211759
