 	il	s'	approche	du	lit	</S>
a23	0.52017	0.243088	0.0799452	0.0416996	0.0476481	0.0674491
a85	0.497981	0.216444	0.0918358	0.0537133	0.0613502	0.0786756
a87	0.333489	0.21928	0.151934	0.0816808	0.0899553	0.123661
a23	0.312042	0.231117	0.167586	0.0926768	0.0872566	0.109322
a79	0.173091	0.111602	0.104221	0.110344	0.20802	0.292721
a20	0.417394	0.284984	0.112268	0.0511986	0.0653354	0.0688202
a73	0.34971	0.355378	0.180697	0.0591104	0.031712	0.0233919
a26	0.285288	0.346512	0.246356	0.0749858	0.0290634	0.0177955
a38	0.238716	0.302832	0.289803	0.0977411	0.0427332	0.0281748
a24	0.208136	0.272008	0.304422	0.117254	0.0577961	0.040384
a41	0.212196	0.251053	0.267669	0.149935	0.0745338	0.0446129
a37	0.207772	0.20314	0.246327	0.173766	0.101391	0.0676039
a75	0.181008	0.15442	0.233831	0.190002	0.134145	0.106593
a41	0.159169	0.115113	0.15423	0.207303	0.197448	0.166736
a18	0.060683	0.0482263	0.0875018	0.234718	0.301749	0.267123
a75	0.0546458	0.0348615	0.049371	0.125184	0.307216	0.428722
a41	0.0608972	0.0452136	0.0620181	0.163465	0.317226	0.35118
a5	0.0186462	0.0144693	0.029472	0.118488	0.348767	0.470157
a35	0.0372595	0.0304111	0.0454524	0.105467	0.277589	0.503821
a90	0.0139158	0.0108766	0.0267073	0.0880288	0.291859	0.568612
a98	0.0214509	0.0160074	0.0332998	0.0880377	0.262686	0.578519
a13	0.0315521	0.0203318	0.0369709	0.0985172	0.260486	0.552142
a38	0.0126974	0.00604447	0.0126481	0.0502628	0.242235	0.676112
a47	0.0167462	0.0102623	0.0150773	0.0561242	0.220099	0.681691
a62	0.0166762	0.00972775	0.0174684	0.0643805	0.227068	0.66468
a88	0.0156951	0.00840439	0.0158112	0.0641483	0.242289	0.653652
a71	0.0119831	0.00737173	0.0141874	0.0598645	0.223648	0.682945
a25	0.0225933	0.0139034	0.0202335	0.0726398	0.218485	0.652145
a87	0.0173937	0.0125912	0.0188345	0.0696252	0.205186	0.676369
</S>	0.0124804	0.0159843	0.0177869	0.0520761	0.191128	0.710544
