 	la	vase	du	protoptère	est	pérenne	</S>
a15	0.192867	0.203624	0.114587	0.211752	0.217349	0.0495093	0.0103121
a66	0.269938	0.265256	0.109665	0.109949	0.107373	0.0810413	0.0567779
a10	0.384323	0.325657	0.0746079	0.0722027	0.0861639	0.0336672	0.0233778
a62	0.305081	0.318256	0.100705	0.105227	0.114215	0.042414	0.014102
a47	0.367096	0.246002	0.0896257	0.130917	0.110198	0.0368442	0.0193163
a88	0.287654	0.191318	0.15739	0.186954	0.137385	0.032156	0.0071427
a93	0.261668	0.235296	0.199745	0.165349	0.115898	0.0184821	0.00356209
a56	0.171498	0.194023	0.255013	0.228097	0.132349	0.015658	0.00336266
a75	0.20327	0.218277	0.253774	0.197011	0.11443	0.0112111	0.00202683
a47	0.238007	0.204837	0.226763	0.211973	0.0983502	0.0156647	0.004405
a75	0.263184	0.2206	0.191716	0.184437	0.114423	0.0180636	0.00757698
a35	0.290812	0.191467	0.166383	0.190442	0.118684	0.0296875	0.0125231
a76	0.238772	0.157936	0.138436	0.214917	0.16211	0.0562547	0.0315733
a73	0.149565	0.101825	0.092581	0.184594	0.146044	0.149286	0.176104
a7	0.088919	0.0852697	0.094112	0.169766	0.227126	0.175455	0.159353
a41	0.10091	0.075864	0.0892679	0.179273	0.169777	0.141189	0.243719
a5	0.0935537	0.0682331	0.0734334	0.153223	0.191103	0.195372	0.225082
a61	0.126887	0.0721248	0.0727331	0.195067	0.236606	0.170105	0.126477
a75	0.119945	0.0655885	0.0658179	0.142694	0.203072	0.252278	0.150605
a25	0.098988	0.0396107	0.0292869	0.0647544	0.119257	0.236125	0.411978
a44	0.059068	0.0329754	0.0283429	0.0515603	0.128575	0.322599	0.376879
a58	0.0420197	0.0195013	0.0158373	0.0300023	0.0756639	0.313385	0.503591
a75	0.0338892	0.0147128	0.0128324	0.0219665	0.0398206	0.174478	0.7023
a85	0.0550504	0.0180262	0.0129627	0.0284709	0.051546	0.200674	0.63327
a36	0.0323972	0.0120846	0.00795373	0.0172188	0.0355542	0.184516	0.710275
a27	0.0155578	0.00598179	0.00422735	0.00758416	0.0139104	0.095875	0.856863
a75	0.00662173	0.00340564	0.0025333	0.00462024	0.00937844	0.0741817	0.899259
a47	0.00864943	0.00284565	0.00191133	0.00379747	0.00744774	0.0705451	0.904803
a36	0.00514409	0.00199705	0.00178703	0.00405813	0.0110695	0.115863	0.860081
a2	0.00560958	0.0029773	0.0021303	0.00317672	0.00540167	0.061097	0.919607
a57	0.0536667	0.0186075	0.0134817	0.0274829	0.0380197	0.205216	0.643525
a10	0.151022	0.0879973	0.0502126	0.0469127	0.054585	0.13765	0.471621
a87	0.136399	0.099773	0.0760902	0.0723742	0.0926006	0.14987	0.372893
a23	0.139245	0.12816	0.110109	0.102509	0.125453	0.129371	0.265153
a99	0.0913857	0.0542939	0.0251043	0.0229336	0.0273356	0.093645	0.685302
a87	0.102365	0.0713718	0.0316197	0.0317832	0.0324147	0.100731	0.629714
a97	0.0392835	0.0316605	0.0222868	0.0254992	0.0288195	0.0845807	0.76787
</S>	0.151147	0.172541	0.117442	0.0886095	0.0691008	0.0776075	0.323552
