 	mes	parents	paternels	se	sont	accordés	avec	ma	famille	maternelle	</S>
a87	0.146196	0.124939	0.0830383	0.133106	0.251762	0.0820026	0.070715	0.0454587	0.0259458	0.018661	0.0181752
a23	0.375531	0.226802	0.177839	0.0655198	0.0812344	0.0116205	0.00794706	0.00872321	0.00809818	0.0142767	0.0224081
a87	0.222226	0.130948	0.088285	0.0697549	0.118009	0.0943537	0.0396826	0.0318295	0.0293471	0.0519115	0.123653
a23	0.33626	0.214065	0.103608	0.0872564	0.0957787	0.0619766	0.0212422	0.0168691	0.0163932	0.0208038	0.0257465
a96	0.31456	0.212112	0.0821424	0.0716752	0.113189	0.0356693	0.0153655	0.0185922	0.0246367	0.0460031	0.0660546
a75	0.142606	0.131399	0.169035	0.204626	0.206036	0.075569	0.0181842	0.0146801	0.0130396	0.0127011	0.0121239
a6	0.140794	0.115996	0.193077	0.139046	0.168975	0.136848	0.0206195	0.0200988	0.0280747	0.0240107	0.0124611
a37	0.0528287	0.0541678	0.176898	0.14423	0.174438	0.210026	0.0376377	0.0340288	0.0496309	0.041973	0.0241405
a85	0.123756	0.129825	0.194273	0.086825	0.122246	0.191938	0.0331108	0.024992	0.0365972	0.0353756	0.0210621
a6	0.0641297	0.0493282	0.143516	0.120219	0.127839	0.231299	0.0675929	0.0508413	0.052847	0.0502716	0.0421166
a37	0.077293	0.0539037	0.174057	0.120251	0.115712	0.221525	0.067865	0.0443963	0.0411503	0.0428724	0.0409742
a85	0.0833407	0.0553281	0.161156	0.153741	0.17285	0.212462	0.0605402	0.0304095	0.0212885	0.0213191	0.0275647
a6	0.0271062	0.0180469	0.0642368	0.077915	0.0654058	0.174069	0.127031	0.120339	0.103371	0.106653	0.115827
a61	0.030597	0.0175476	0.0640209	0.108074	0.0944881	0.186328	0.134521	0.0873614	0.0702674	0.0827654	0.124029
a96	0.027481	0.0191631	0.0643939	0.102133	0.107276	0.168503	0.144378	0.100015	0.0710209	0.0696536	0.125982
a62	0.0147301	0.00778487	0.0150691	0.0267015	0.0340909	0.0904643	0.197047	0.188858	0.148135	0.106892	0.170228
a83	0.00470324	0.0023499	0.00471076	0.00896585	0.0100455	0.0357402	0.191864	0.221818	0.206716	0.137761	0.175326
a66	0.00440092	0.00215563	0.00449856	0.00856822	0.0100356	0.0247096	0.126529	0.187935	0.228103	0.210567	0.192497
a75	0.0046109	0.00265464	0.00595959	0.0121596	0.0154412	0.0285954	0.0853266	0.133944	0.19132	0.241608	0.27838
a21	0.000828657	0.000373022	0.000429274	0.00112672	0.00141193	0.00325861	0.0224342	0.0848179	0.175505	0.288076	0.421739
a75	0.000922493	0.000393059	0.00048364	0.00137236	0.00130973	0.00322079	0.0217145	0.0725809	0.185867	0.324911	0.387225
a93	0.000157949	6.26292e-05	8.8825e-05	0.000249629	0.00029229	0.0010062	0.00970899	0.0469205	0.149227	0.361284	0.431002
a70	0.000212412	8.64836e-05	0.000211539	0.000500721	0.00045483	0.00132079	0.0116253	0.0405362	0.1129	0.272877	0.559275
a93	0.000203928	9.85478e-05	0.000242379	0.000630709	0.000628614	0.0016529	0.0110412	0.0348152	0.0973971	0.297963	0.555326
a70	0.00011987	5.02281e-05	0.00014498	0.000265151	0.000251273	0.000739071	0.00715022	0.0293135	0.0832882	0.276286	0.602391
a13	0.000134875	4.18607e-05	0.000100048	0.000212869	0.00022211	0.00113677	0.00736422	0.0264537	0.0742982	0.303874	0.586161
a9	0.000257483	5.42313e-05	0.000134483	0.000358749	0.000480131	0.00395036	0.0243448	0.0606457	0.13895	0.334457	0.436367
a99	0.00552111	0.0022367	0.00304344	0.00591834	0.00691748	0.0210226	0.0776131	0.111138	0.177996	0.250947	0.337646
a87	0.0433674	0.0242629	0.032777	0.0552781	0.041002	0.0521003	0.0750067	0.0848113	0.136063	0.210824	0.244507
a23	0.223965	0.125625	0.100435	0.101597	0.0786622	0.0600579	0.0543814	0.0529149	0.0624851	0.0646672	0.0752098
a87	0.0762932	0.0374679	0.0371542	0.0152524	0.0103016	0.00952376	0.0157775	0.0342288	0.0789641	0.261956	0.423081
</S>	0.00740342	0.00389049	0.0038157	0.00309129	0.00218768	0.0026386	0.00446412	0.0122047	0.0403929	0.232313	0.687598
