 	le	ronflement	de	notre	grand	père	me	fait	peur	</S>
a66	0.304622	0.173471	0.113999	0.14154	0.1106	0.073602	0.0425014	0.0177654	0.0108472	0.0110525
a87	0.440664	0.215381	0.102222	0.0861128	0.0581276	0.0348756	0.0256648	0.0144066	0.0104565	0.0120892
a23	0.524858	0.292009	0.0870564	0.0389356	0.0171773	0.0111287	0.00770863	0.00556012	0.00576943	0.00979673
a87	0.46824	0.312515	0.0840939	0.0362012	0.0166157	0.0124042	0.0123131	0.0118806	0.0159841	0.0297521
a23	0.437275	0.312103	0.0928594	0.0486672	0.0254283	0.0183789	0.0171049	0.01433	0.0151274	0.0187253
a61	0.353799	0.28208	0.0920453	0.0554128	0.0337746	0.0296283	0.0311651	0.0311342	0.0386638	0.0522966
a37	0.323724	0.314243	0.0971443	0.0713025	0.0487976	0.033676	0.0312045	0.0253999	0.0257696	0.0287381
a70	0.338679	0.392882	0.11286	0.0619699	0.0297072	0.0186881	0.0133768	0.00864476	0.00971858	0.0134735
a93	0.208529	0.356523	0.182676	0.102214	0.0513485	0.0350939	0.0227802	0.0133753	0.0125427	0.0149181
a56	0.17923	0.263624	0.186095	0.126281	0.0755954	0.0560516	0.0397494	0.0230601	0.0221606	0.0281535
a79	0.140036	0.21411	0.184795	0.150648	0.103141	0.0764011	0.0517748	0.0261983	0.0236565	0.0292396
a43	0.076407	0.147051	0.195883	0.192636	0.140186	0.105302	0.0617448	0.0287887	0.024045	0.0279566
a61	0.094026	0.177476	0.223174	0.181859	0.117798	0.0845188	0.04814	0.0247108	0.0221619	0.0261352
a75	0.0563425	0.111212	0.222937	0.208167	0.138715	0.101434	0.0589299	0.0325265	0.0318694	0.0378659
a85	0.0158217	0.0325081	0.0982307	0.161014	0.169129	0.171134	0.128839	0.078138	0.0704059	0.0747792
a6	0.00697358	0.0175686	0.0829396	0.138128	0.156083	0.175449	0.141658	0.102383	0.0915504	0.0872665
a85	0.00886464	0.02358	0.113949	0.187364	0.191497	0.160503	0.11262	0.0660403	0.0625895	0.0729926
a6	0.00462621	0.0123126	0.0594495	0.124119	0.159753	0.167247	0.141593	0.107394	0.109844	0.113662
a56	0.00599953	0.0141471	0.0657777	0.138179	0.179301	0.168725	0.143779	0.0970729	0.0912366	0.0957822
a43	0.0106669	0.0146882	0.0519671	0.115455	0.168617	0.201145	0.171082	0.102714	0.0786303	0.0850343
a31	0.0121374	0.0148588	0.032684	0.0652655	0.110207	0.156321	0.174856	0.154963	0.122831	0.155878
a62	0.01164	0.0150985	0.0271227	0.0558952	0.103087	0.154289	0.193707	0.189225	0.143264	0.106671
a88	0.0148825	0.0225433	0.0281174	0.0461627	0.0727028	0.105784	0.150551	0.190753	0.196381	0.172123
a75	0.00995924	0.0164486	0.0198738	0.0304027	0.0456588	0.0659855	0.112693	0.19218	0.240546	0.266252
a85	0.00133285	0.00186935	0.0043661	0.00959975	0.0211159	0.0435218	0.0932291	0.176138	0.276534	0.372293
a5	0.000936122	0.0015642	0.00405456	0.00897122	0.0195147	0.0405824	0.0812538	0.154596	0.278409	0.410119
a61	0.00210567	0.00281771	0.0059543	0.0121423	0.0226903	0.0392961	0.0698698	0.133156	0.282377	0.429591
a18	0.00321485	0.00334665	0.00465057	0.00794502	0.0148831	0.0308068	0.0619249	0.133679	0.273901	0.465648
a21	0.00407572	0.00585551	0.00584349	0.00912395	0.012756	0.0139465	0.028905	0.0979497	0.28783	0.533714
a61	0.00463383	0.00622631	0.00571179	0.00927199	0.0129719	0.0144839	0.030078	0.0990337	0.314427	0.503162
a75	0.00113914	0.0016096	0.00199654	0.00380765	0.00619306	0.00818889	0.0202984	0.0792169	0.288325	0.589225
a79	0.000244212	0.000297037	0.000693843	0.00139315	0.00323516	0.00718949	0.0197783	0.0727498	0.280088	0.614331
a7	0.0002189	0.000254659	0.000649206	0.00128128	0.00286558	0.00652074	0.0174592	0.0636255	0.252525	0.6546
a44	0.00154846	0.00180985	0.0023299	0.00359637	0.00574841	0.00759552	0.0178524	0.0637262	0.250842	0.644951
a90	0.000690784	0.000881971	0.0015893	0.002742	0.00474905	0.00688792	0.0158574	0.0542056	0.248285	0.664111
a44	0.000208011	0.000266699	0.000616018	0.00124976	0.00261371	0.00476554	0.0124362	0.0491195	0.239927	0.688798
a37	0.00049218	0.000682312	0.00137895	0.00303169	0.00565841	0.00784919	0.0170304	0.0555106	0.247743	0.660623
a18	0.00098747	0.00134009	0.002803	0.00564371	0.0106422	0.0133744	0.0266564	0.0770614	0.280041	0.581451
a82	0.00383989	0.00457149	0.00694185	0.0112443	0.0176149	0.0223118	0.0342766	0.0792007	0.266328	0.55367
a87	0.055639	0.0495119	0.0520561	0.0546271	0.0589538	0.0575368	0.0604467	0.0915837	0.201075	0.31857
a23	0.14032	0.0894732	0.0785711	0.0710187	0.0686747	0.064174	0.0617682	0.0869324	0.149118	0.18995
a87	0.168958	0.0870724	0.0513073	0.0436799	0.0444069	0.0555862	0.060356	0.0911607	0.152827	0.244645
</S>	0.0523698	0.0332846	0.0298603	0.0365426	0.0504775	0.0739641	0.0861778	0.111107	0.173982	0.352234
