 	il	brave	le	danger	</S>
a23	0.208731	0.208269	0.189316	0.172867	0.220817
a85	0.259456	0.169749	0.151883	0.13684	0.282071
a87	0.351259	0.267142	0.151723	0.0923608	0.137515
a23	0.423902	0.267245	0.161975	0.0686389	0.078239
a79	0.355626	0.23727	0.176875	0.0826408	0.147588
a20	0.417738	0.257223	0.156729	0.0746084	0.0937016
a30	0.466855	0.302073	0.160486	0.0455418	0.025044
a35	0.425412	0.330494	0.175937	0.0502958	0.0178614
a30	0.445042	0.289915	0.173167	0.0647894	0.0270877
a73	0.295787	0.289598	0.231986	0.125376	0.0572526
a11	0.26762	0.269899	0.226981	0.141569	0.0939311
a38	0.282426	0.271079	0.230687	0.137061	0.0787482
a94	0.290126	0.2595	0.196672	0.15487	0.0988317
a43	0.231375	0.209882	0.189851	0.200495	0.168397
a11	0.154866	0.171408	0.180676	0.235782	0.257268
a75	0.120244	0.137999	0.155372	0.232234	0.35415
a35	0.0515117	0.0755853	0.118206	0.346819	0.407879
a30	0.0195058	0.0287933	0.0575807	0.310939	0.583181
a2	0.0262496	0.0309147	0.0615074	0.248437	0.632891
a57	0.0173857	0.0185257	0.0402781	0.195008	0.728802
a38	0.0156223	0.0137252	0.0345636	0.268751	0.667338
a24	0.0202116	0.0158003	0.0402725	0.246369	0.677346
a32	0.00838354	0.00954376	0.0233069	0.137795	0.820971
a75	0.0124535	0.0168174	0.0337034	0.174339	0.762687
a41	0.00979649	0.0131522	0.0314339	0.181212	0.764405
a26	0.00323217	0.00433209	0.0156004	0.12494	0.851895
a24	0.0079005	0.0063916	0.0202299	0.140068	0.82541
a25	0.0101801	0.0091673	0.0253823	0.133399	0.821871
a75	0.0183892	0.0143202	0.0314074	0.14987	0.786013
a41	0.00799669	0.00714119	0.0161129	0.0999777	0.868772
a35	0.00580328	0.0064457	0.0199776	0.125639	0.842135
a41	0.00705601	0.00721984	0.01905	0.107323	0.859351
a27	0.00675435	0.00668758	0.0194716	0.1173	0.849786
a32	0.0147543	0.011883	0.031709	0.161007	0.780647
a24	0.0115546	0.00844037	0.0227563	0.132321	0.824927
a9	0.0173891	0.0143179	0.0321694	0.144889	0.791235
a87	0.0328822	0.0264819	0.0562671	0.200967	0.683402
</S>	0.0364897	0.0286647	0.0527814	0.254628	0.627436
