 	il	a	fait	une	brûlure	de	cigarette	</S>
a23	0.251673	0.199925	0.111377	0.0838417	0.081178	0.0839173	0.0813025	0.106786
a54	0.307	0.183767	0.11834	0.0937386	0.0887722	0.0780558	0.07479	0.0555374
a73	0.182559	0.173243	0.155979	0.134606	0.106423	0.0968126	0.0770892	0.0732887
a37	0.33279	0.288526	0.194159	0.0932025	0.0475259	0.022291	0.0128482	0.00865723
a34	0.255662	0.237464	0.173614	0.10417	0.0904372	0.0575654	0.0463927	0.0346936
a62	0.269964	0.24803	0.186173	0.108082	0.0897127	0.04946	0.0293948	0.0191835
a88	0.192629	0.189197	0.168181	0.12048	0.124353	0.0892071	0.0663463	0.0496067
a71	0.113867	0.107029	0.116662	0.117101	0.140722	0.14579	0.150408	0.10842
a38	0.101738	0.0868197	0.0892981	0.102637	0.123137	0.157652	0.17973	0.158989
a34	0.0722454	0.0638723	0.0751269	0.0950246	0.120389	0.159771	0.212729	0.200841
a47	0.0433042	0.0428046	0.0624585	0.0891381	0.126888	0.184397	0.249452	0.201557
a83	0.0612832	0.0550041	0.067156	0.0859566	0.114012	0.155201	0.226781	0.234607
a9	0.0319149	0.0301757	0.0425231	0.0669203	0.0993555	0.157028	0.292606	0.279476
a38	0.0070553	0.0076158	0.0108336	0.0263393	0.0520509	0.124465	0.289231	0.482409
a21	0.00308702	0.00333433	0.00568564	0.0155361	0.0327435	0.0952522	0.277072	0.567289
a47	0.00749234	0.00789462	0.0115458	0.0231676	0.0357336	0.0897623	0.244283	0.58012
a18	0.0039408	0.00480817	0.00859703	0.0206017	0.0334705	0.0891381	0.265272	0.574171
a25	0.00301046	0.00385249	0.00679812	0.0209214	0.0412795	0.106863	0.293223	0.524052
a87	0.00525436	0.00591854	0.00930102	0.0215946	0.0410495	0.10928	0.297343	0.51026
a23	0.0893012	0.0657012	0.0476022	0.0660445	0.0733802	0.140062	0.211631	0.306278
a87	0.094512	0.0639522	0.0537749	0.0726604	0.0758864	0.114875	0.177117	0.347222
</S>	0.0453715	0.0393002	0.0422781	0.0739289	0.0808823	0.132287	0.211158	0.374793
