 	quand	une	bataille	est	annulée	tout	le	monde	se	dit	grand	guerrier	</S>
a66	0.117435	0.115035	0.117098	0.140197	0.112015	0.129309	0.0999331	0.0867293	0.0444416	0.0151221	0.00807962	0.00680805	0.00779914
a87	0.227086	0.142761	0.0798373	0.0895515	0.145745	0.128469	0.0816896	0.0536163	0.0232696	0.00819656	0.00611679	0.00557354	0.00808816
a23	0.178271	0.15862	0.105082	0.0980897	0.141064	0.117402	0.0817109	0.0458116	0.0228109	0.0114734	0.0115143	0.0121528	0.0159978
a3	0.182511	0.152687	0.129326	0.118558	0.219315	0.085324	0.0451801	0.0145909	0.00706738	0.00562141	0.00765077	0.0142434	0.0179248
a99	0.192732	0.165252	0.136216	0.108878	0.188091	0.0936133	0.0544974	0.0222505	0.00990675	0.00565964	0.00616078	0.00776548	0.00897726
a97	0.257145	0.191396	0.114436	0.090557	0.161897	0.0797489	0.0436844	0.020503	0.0103881	0.00648261	0.00719878	0.00796825	0.00859444
a87	0.296554	0.204627	0.109269	0.0829667	0.120973	0.0667134	0.0428419	0.0260119	0.0140913	0.00906659	0.00943108	0.00903301	0.00842093
a23	0.308479	0.194644	0.0957013	0.0801094	0.121858	0.0663191	0.0432734	0.0268451	0.0157558	0.0105134	0.01103	0.0117507	0.013721
a99	0.289254	0.187464	0.116056	0.076673	0.120551	0.0482385	0.0314485	0.0196885	0.0162036	0.0164508	0.0218741	0.0292873	0.0268112
a83	0.236275	0.165114	0.134022	0.088777	0.107717	0.0661146	0.0493586	0.0375821	0.0268412	0.0211364	0.0231876	0.0249998	0.0188746
a75	0.18094	0.118379	0.112693	0.0729793	0.111667	0.0899494	0.068775	0.0608985	0.0467797	0.0387852	0.0356081	0.0364363	0.0261103
a79	0.130286	0.103179	0.109323	0.0788878	0.103958	0.0853553	0.0696573	0.0579634	0.0448976	0.0477004	0.0554306	0.0691601	0.0442009
a12	0.0764601	0.0854919	0.111706	0.0984188	0.110595	0.10032	0.0867759	0.0760271	0.0633371	0.0556661	0.0463038	0.0541879	0.0347104
a18	0.0841512	0.0891417	0.123502	0.11369	0.1371	0.127595	0.0968126	0.0697769	0.0439409	0.0275765	0.0224581	0.0376145	0.026641
a94	0.0733839	0.0921443	0.127005	0.119193	0.120855	0.106486	0.0909236	0.0599936	0.0398459	0.0325222	0.0349388	0.0566381	0.0460714
a90	0.0669927	0.0834423	0.109938	0.108589	0.108255	0.113549	0.102098	0.0778937	0.0461078	0.0336592	0.0352188	0.0607669	0.0534889
a98	0.0442186	0.0682742	0.103084	0.107729	0.0804605	0.10133	0.100866	0.0941568	0.0730198	0.0425822	0.0385543	0.07566	0.0700649
a92	0.025609	0.0479555	0.0748186	0.0830948	0.0512594	0.073615	0.0926557	0.097861	0.101855	0.0742485	0.0601433	0.107197	0.109687
a37	0.0449296	0.0727335	0.105363	0.115804	0.0637391	0.0829033	0.0961558	0.0963765	0.0713013	0.0425388	0.0446073	0.0798375	0.0837103
a41	0.0362385	0.0682437	0.107608	0.127926	0.0673345	0.0920132	0.0980874	0.0917186	0.064784	0.04028	0.042741	0.0858546	0.0771707
a12	0.0088351	0.0183719	0.0348901	0.0484282	0.0173756	0.0297201	0.0478432	0.0757807	0.0973395	0.0911882	0.102616	0.204751	0.222861
a94	0.0115513	0.019771	0.0335123	0.0458583	0.0177837	0.0285961	0.0448913	0.0649557	0.100204	0.0972948	0.111523	0.215751	0.208308
a18	0.0103729	0.017737	0.0309267	0.0492455	0.0146807	0.0291916	0.0549487	0.0644919	0.080706	0.0788285	0.103407	0.228351	0.237113
a40	0.0196616	0.0325913	0.0475294	0.0736739	0.0229721	0.0350592	0.0518227	0.0555566	0.0593151	0.0563339	0.0842924	0.179176	0.282016
a47	0.00248937	0.0032975	0.00414686	0.00513625	0.00239837	0.00351934	0.00669794	0.0127328	0.0354068	0.0708612	0.146459	0.321108	0.385747
a36	0.00200904	0.00278061	0.0036129	0.0044832	0.00163126	0.00215945	0.00393158	0.00789542	0.023668	0.0518363	0.096507	0.284826	0.514659
a98	0.00524764	0.00783901	0.00950078	0.0121423	0.00486681	0.00532338	0.00610981	0.00784829	0.0133667	0.0303095	0.118797	0.337071	0.441578
a47	0.00066016	0.000977664	0.0010824	0.00128272	0.00045939	0.000613326	0.00115568	0.00244376	0.0100321	0.0411817	0.132344	0.332787	0.474981
a6	0.000501148	0.000601122	0.000534093	0.000559623	0.000201108	0.000218158	0.000406379	0.000931465	0.00423084	0.0217717	0.0946342	0.313246	0.562164
a37	0.000269428	0.000371235	0.000404111	0.000495211	0.000133022	0.000159265	0.000320599	0.000702733	0.00373753	0.0241133	0.112469	0.353674	0.50315
a26	0.000912757	0.00115101	0.00113816	0.00143554	0.00032266	0.000527193	0.00110244	0.00167921	0.00609273	0.0335795	0.154307	0.353916	0.443836
a82	0.00188919	0.00222393	0.00173674	0.00219175	0.0010045	0.0015619	0.00239036	0.00438786	0.010837	0.0339155	0.123225	0.305002	0.509634
a87	0.0749011	0.075414	0.035438	0.0350259	0.0248805	0.0332926	0.0380196	0.058529	0.0654142	0.0807841	0.118073	0.152946	0.207282
a23	0.132543	0.138289	0.0694901	0.0663183	0.0576624	0.0600259	0.0542882	0.0755516	0.076003	0.0706223	0.0637702	0.0677261	0.0677102
a87	0.0249547	0.0230786	0.0104042	0.00882419	0.0101641	0.0156825	0.0174747	0.0253151	0.0416299	0.0888854	0.166832	0.266023	0.300732
a23	0.00466	0.00463747	0.0024296	0.0023951	0.00200603	0.00277846	0.00390539	0.00691734	0.0162399	0.0533592	0.147916	0.360429	0.392326
</S>	0.00734446	0.00876113	0.00605865	0.00646225	0.00553855	0.0105129	0.0123644	0.0163546	0.0249537	0.0554507	0.136936	0.319672	0.389591
