 	il	taille	un	banc	dans	du	bois	</S>
a85	0.297892	0.105488	0.10777	0.122864	0.113679	0.0857963	0.0853384	0.0811719
a87	0.190483	0.106597	0.102277	0.0705917	0.0751988	0.0881275	0.156532	0.210193
a10	0.355218	0.176267	0.106275	0.0420137	0.0497406	0.0588622	0.0900058	0.121618
a87	0.279873	0.118238	0.0507841	0.0156197	0.0295495	0.0561597	0.165947	0.283828
a23	0.251216	0.124093	0.0657694	0.0304234	0.0564356	0.0889731	0.159536	0.223553
a79	0.221093	0.070135	0.0296324	0.0145265	0.0383761	0.0735717	0.220843	0.331823
a20	0.257246	0.0827325	0.034139	0.0225015	0.044617	0.0704879	0.180091	0.308185
a94	0.385977	0.174473	0.0991867	0.0542428	0.0651768	0.0634187	0.0723945	0.0851303
a30	0.310602	0.215903	0.151098	0.0651749	0.0625381	0.0587202	0.0625673	0.0733959
a14	0.253036	0.199486	0.187996	0.101516	0.0740771	0.059788	0.055797	0.0683034
a2	0.273422	0.203173	0.182171	0.118565	0.0770417	0.0504729	0.0438253	0.0513292
a57	0.170899	0.139675	0.135137	0.122011	0.0940832	0.0826208	0.103419	0.152155
a20	0.142772	0.138051	0.147909	0.119937	0.0814631	0.0744265	0.10731	0.188132
a0	0.218449	0.177865	0.168447	0.156078	0.0924138	0.061517	0.0579593	0.0672709
a27	0.182542	0.145479	0.136323	0.163411	0.139355	0.0834415	0.0684628	0.0809859
a61	0.160137	0.172408	0.195822	0.180757	0.117894	0.0611277	0.0481719	0.0636836
a66	0.115572	0.127812	0.176351	0.225109	0.146409	0.0753848	0.0573178	0.0760433
a71	0.118478	0.136123	0.180519	0.200919	0.13787	0.0779469	0.0591583	0.0889854
a38	0.119601	0.113902	0.157235	0.221547	0.148249	0.0835922	0.0635412	0.0923332
a53	0.0775725	0.0689423	0.0885037	0.196873	0.171758	0.115425	0.107586	0.17334
a76	0.0503454	0.0460544	0.0604083	0.159959	0.181137	0.152606	0.134735	0.214754
a94	0.0358745	0.0350403	0.0492782	0.153722	0.19025	0.177573	0.148822	0.20944
a98	0.0326036	0.0331581	0.0440741	0.115972	0.151695	0.170323	0.186257	0.265918
a71	0.0242143	0.0217881	0.0308106	0.140655	0.177548	0.196485	0.182323	0.226176
a53	0.0258467	0.0217219	0.0257317	0.0815465	0.109199	0.151862	0.241792	0.3423
a69	0.0221685	0.0163014	0.0173062	0.061952	0.0819441	0.135235	0.259403	0.40569
a94	0.0151793	0.0102609	0.0109501	0.0357199	0.0535398	0.111493	0.285226	0.477631
a53	0.0131547	0.0092441	0.00871444	0.0234946	0.0409449	0.0926033	0.296876	0.514968
a76	0.0209647	0.0161982	0.015217	0.0344901	0.0477566	0.0939374	0.266874	0.504562
a94	0.0150543	0.00909247	0.00894761	0.0221969	0.0445643	0.107752	0.315073	0.47732
a15	0.0159348	0.0145696	0.0150189	0.0354005	0.0487977	0.0945591	0.278697	0.497023
a41	0.0110721	0.00856328	0.00829447	0.0182398	0.0329489	0.081854	0.302657	0.53637
a32	0.00667613	0.00459803	0.00457554	0.0129144	0.0291327	0.0896944	0.322179	0.53023
a24	0.00907357	0.00719483	0.0065366	0.0147916	0.0291796	0.0766454	0.297854	0.558725
a88	0.0103125	0.00801901	0.00685387	0.0135037	0.0249295	0.0661987	0.29586	0.574323
a71	0.0130293	0.0134243	0.0122358	0.0235607	0.0330836	0.0732999	0.279061	0.552306
a10	0.0105207	0.0106026	0.0100472	0.020826	0.034033	0.0827398	0.301974	0.529257
a87	0.00728671	0.00602437	0.00590569	0.0176922	0.0430706	0.115556	0.300251	0.504214
</S>	0.00686179	0.00543941	0.00579624	0.0224857	0.0598229	0.133033	0.275416	0.491144
