 	c'	est	vraiment	toi	qui	te	prosterne	devant	le	chef	traditionnel	</S>
a66	0.165934	0.148941	0.127886	0.105103	0.09472	0.0856322	0.0721538	0.0710069	0.0493606	0.0384016	0.0239751	0.0168861
a87	0.124221	0.137686	0.136005	0.118578	0.113032	0.12037	0.0723368	0.0521215	0.042435	0.0362803	0.0266859	0.0202477
a23	0.269877	0.227294	0.150372	0.0832514	0.0650259	0.0482339	0.0288606	0.0279349	0.0268776	0.0276773	0.0258549	0.0187406
a30	0.190538	0.185631	0.147948	0.103381	0.0885022	0.0588269	0.0270727	0.0358821	0.0323183	0.0395092	0.0427881	0.047602
a13	0.124082	0.130897	0.116712	0.0860345	0.0976713	0.0835381	0.0546592	0.0742938	0.0623408	0.0589468	0.0574089	0.053416
a93	0.10292	0.100362	0.0940484	0.096121	0.122214	0.114006	0.0789428	0.0937326	0.0739248	0.0527833	0.042936	0.0280087
a34	0.101939	0.125428	0.107499	0.118714	0.126705	0.112573	0.0681507	0.0732098	0.0520999	0.0429453	0.041968	0.0287679
a93	0.0822606	0.11025	0.100353	0.131427	0.139739	0.131644	0.0771678	0.0755037	0.0460198	0.0351305	0.0397737	0.0307311
a34	0.0573318	0.07519	0.0761988	0.112053	0.133712	0.146897	0.107405	0.0991404	0.0565339	0.0437454	0.0499254	0.0418672
a75	0.0645999	0.0740525	0.0773961	0.0913946	0.125274	0.1557	0.12088	0.10316	0.0544137	0.0448756	0.0468824	0.041371
a21	0.0377726	0.0469765	0.0672764	0.10235	0.132346	0.158948	0.112717	0.0955166	0.0676525	0.0626488	0.0569606	0.0588345
a12	0.0735672	0.0649827	0.0732509	0.062307	0.0644854	0.0896628	0.0926785	0.107428	0.0841515	0.089848	0.0960957	0.101542
a47	0.0644372	0.0433348	0.0448609	0.035832	0.0333407	0.0491067	0.0642301	0.0968172	0.109486	0.143529	0.154162	0.160864
a34	0.0602883	0.0424647	0.0357869	0.0285433	0.019546	0.0232268	0.0285108	0.0507136	0.0943081	0.17383	0.212851	0.229931
a56	0.013543	0.00766161	0.00652688	0.00518562	0.00459032	0.00766632	0.0134996	0.031163	0.0778899	0.195757	0.294178	0.342338
a44	0.00911082	0.00573629	0.00466237	0.003931	0.00318624	0.00490028	0.00745363	0.0169478	0.0467919	0.160035	0.30956	0.427685
a57	0.00416777	0.00269618	0.00226975	0.00236916	0.00211763	0.00347862	0.00535645	0.0129143	0.0369254	0.140336	0.304214	0.483155
a9	0.0075229	0.00426217	0.00315944	0.00258931	0.00310397	0.00631926	0.0106271	0.0196597	0.0460931	0.146532	0.28703	0.4631
a87	0.170461	0.100313	0.0688585	0.0634882	0.054094	0.0467453	0.0320301	0.0444231	0.0532159	0.079602	0.108787	0.177982
a23	0.206123	0.167956	0.128033	0.102925	0.0854907	0.0769442	0.0462518	0.0360532	0.0349045	0.0370864	0.037879	0.0403537
a87	0.179618	0.126366	0.0845531	0.0687542	0.0493661	0.0420805	0.0250432	0.0251083	0.0409984	0.0852845	0.120422	0.152406
</S>	0.0546576	0.0355395	0.0220935	0.0244423	0.0173641	0.0184391	0.0117682	0.0127372	0.0346675	0.103566	0.271385	0.393341
