 	j'	ai	abattu	l'	arbre	yanza	dans	la	forêt	</S>
a38	0.314171	0.178718	0.116782	0.0891009	0.0827972	0.0714112	0.0623931	0.0450666	0.0226441	0.016917
a82	0.261805	0.183056	0.118684	0.0874818	0.0872042	0.0949505	0.0740782	0.0484334	0.0244154	0.019892
a10	0.27024	0.250997	0.158204	0.104964	0.0899251	0.0706151	0.0205205	0.0129953	0.00913628	0.0124034
a82	0.344991	0.25601	0.149329	0.0862684	0.0700314	0.0606532	0.0129639	0.00788396	0.00516515	0.00670395
a87	0.397033	0.263643	0.140711	0.0748786	0.0477071	0.0414427	0.0128253	0.00864647	0.00590945	0.00720303
a23	0.384417	0.255312	0.144416	0.0816315	0.0536074	0.0475082	0.014047	0.00848119	0.00517526	0.00540463
a18	0.431995	0.211343	0.118645	0.0748881	0.0522429	0.0410951	0.0261274	0.0166393	0.0131144	0.01391
a83	0.311803	0.165729	0.140047	0.117196	0.0862611	0.0742152	0.0345693	0.0250119	0.0216924	0.0234755
a18	0.286581	0.182623	0.182884	0.137948	0.06977	0.0469753	0.0338979	0.0215956	0.0189754	0.0187493
a38	0.216654	0.156494	0.149394	0.124	0.0797659	0.0645368	0.0683615	0.0517488	0.0441935	0.0448515
a93	0.210705	0.168723	0.166085	0.136794	0.0867803	0.0641639	0.0557601	0.0408461	0.0346422	0.0355007
a44	0.142351	0.127266	0.129354	0.125635	0.11548	0.11119	0.0790493	0.0577437	0.0536037	0.0583283
a70	0.124727	0.122048	0.124176	0.118841	0.120572	0.130261	0.0811681	0.0582326	0.0557145	0.0642594
a83	0.0487885	0.0597254	0.071251	0.0898459	0.136837	0.191222	0.114	0.0879194	0.0838082	0.116602
a50	0.0499336	0.0596745	0.0760903	0.102331	0.149681	0.197777	0.108817	0.0799387	0.0720457	0.10371
a96	0.0275868	0.0332745	0.0470815	0.0707276	0.13778	0.218235	0.118749	0.0941582	0.0885563	0.16385
a83	0.0233607	0.0275802	0.0427342	0.0730602	0.141043	0.220412	0.124567	0.0962603	0.0863943	0.164588
a70	0.0200076	0.0206994	0.0327969	0.0636446	0.122657	0.188573	0.137305	0.11545	0.10176	0.197107
a66	0.0148476	0.0136135	0.0232105	0.0545061	0.110926	0.172008	0.149822	0.141072	0.115449	0.204546
a0	0.010319	0.00860346	0.0143418	0.031174	0.0639846	0.108438	0.136008	0.163734	0.153326	0.310071
a38	0.00438314	0.0032312	0.004942	0.0107483	0.0230846	0.0493392	0.0993752	0.187737	0.216113	0.401047
a54	0.00643858	0.00415285	0.00545301	0.0101853	0.0167945	0.0364257	0.0946316	0.203305	0.251697	0.370916
a44	0.00724352	0.00423402	0.00525037	0.0110659	0.0203937	0.0397029	0.0477081	0.127091	0.217846	0.519465
a57	0.0075525	0.00399056	0.00439994	0.00777691	0.0106712	0.0173621	0.0321873	0.107966	0.238123	0.569971
a4	0.00665437	0.00326128	0.00307475	0.00536089	0.00691463	0.0103981	0.0239964	0.0905149	0.277641	0.572184
a57	0.006728	0.00367532	0.00465036	0.00869976	0.00929715	0.0120373	0.0240441	0.0866101	0.269403	0.574855
a82	0.00597311	0.00377546	0.00437787	0.00793587	0.0106418	0.0151537	0.0191727	0.0684791	0.255174	0.609316
a87	0.0579171	0.0367905	0.0301253	0.0328526	0.0278781	0.0241861	0.0231343	0.0577287	0.203854	0.505533
a23	0.206433	0.149314	0.111731	0.0996793	0.0589099	0.0337943	0.0266058	0.0424626	0.0973875	0.173682
a87	0.196785	0.136166	0.104451	0.105868	0.0770331	0.0470939	0.0379963	0.0621723	0.109774	0.12266
a23	0.140825	0.106329	0.0890261	0.105593	0.0830411	0.0515125	0.0430925	0.0769971	0.145367	0.158217
a97	0.138323	0.0967669	0.0740568	0.0772364	0.0648891	0.0528848	0.0789622	0.123587	0.145644	0.14765
</S>	0.145153	0.109625	0.0848503	0.0994371	0.0863861	0.0634152	0.0745388	0.0990256	0.12208	0.115488
