 	le	soleil	va	bientôt	se	coucher	</S>
a66	0.420375	0.211084	0.15016	0.0875922	0.0586409	0.0518422	0.0203065
a87	0.270906	0.176104	0.179758	0.151565	0.116544	0.0843157	0.0208078
a23	0.408921	0.249686	0.163279	0.0679133	0.0572262	0.0364441	0.01653
a50	0.4182	0.308932	0.172685	0.0451028	0.0267352	0.0159896	0.012355
a83	0.297634	0.204226	0.1272	0.0591537	0.0962757	0.133223	0.0822875
a75	0.349168	0.250388	0.153071	0.0659563	0.0690627	0.0789661	0.0333877
a85	0.172906	0.182518	0.184699	0.123516	0.139627	0.140048	0.0566862
a5	0.131825	0.158266	0.184059	0.16261	0.150336	0.137511	0.0753936
a21	0.214446	0.197525	0.176413	0.109771	0.102677	0.135719	0.0634493
a12	0.207733	0.18451	0.169467	0.114178	0.0868622	0.144703	0.0925467
a47	0.199577	0.180977	0.161242	0.13217	0.0974961	0.130464	0.0980731
a61	0.137979	0.138146	0.121728	0.118654	0.105853	0.161056	0.216584
a75	0.0673973	0.06443	0.0530565	0.0782346	0.119716	0.225576	0.391589
a25	0.0145213	0.0121046	0.00990145	0.0219593	0.0908397	0.25836	0.592314
a79	0.00851687	0.00595773	0.00475137	0.00771013	0.0361723	0.18094	0.755952
a15	0.00371077	0.00222049	0.00193638	0.00382166	0.0295006	0.164344	0.794466
a7	0.0047759	0.00263541	0.00226836	0.00377374	0.0209617	0.117919	0.847666
a84	0.0085987	0.00484766	0.00419736	0.00615702	0.031336	0.145933	0.79893
a87	0.126415	0.0947576	0.112764	0.0787926	0.0817942	0.133225	0.372251
a23	0.275751	0.20327	0.184676	0.0945868	0.0772473	0.0884989	0.07597
a87	0.183012	0.138585	0.131692	0.0826813	0.10501	0.132059	0.22696
</S>	0.0391047	0.0282891	0.026446	0.0189076	0.0461322	0.151291	0.68983
