 	le	mur	de	notre	maison	est	tombé	</S>
a87	0.34102	0.192042	0.126925	0.0877363	0.0634503	0.0615031	0.0628541	0.0644695
a23	0.314029	0.0922028	0.076479	0.0845008	0.092158	0.0970766	0.123029	0.120525
a87	0.43458	0.152314	0.0815107	0.0511013	0.0435601	0.0509175	0.0736127	0.112404
a10	0.340666	0.139181	0.073297	0.0508938	0.0496668	0.06851	0.11187	0.165915
a87	0.298208	0.133515	0.0868308	0.0604541	0.0554251	0.073644	0.11332	0.178603
a79	0.213762	0.116237	0.0832717	0.0623501	0.0613697	0.0934139	0.147704	0.221891
a5	0.336688	0.118711	0.0787606	0.0568816	0.0616886	0.0737932	0.105968	0.167509
a66	0.52289	0.196896	0.103757	0.0504363	0.0335571	0.0254959	0.0278139	0.0391531
a98	0.252929	0.178171	0.138801	0.0979347	0.0881284	0.0731368	0.07527	0.0956296
a47	0.192874	0.155043	0.1239	0.105759	0.102329	0.0927249	0.10198	0.125389
a5	0.166739	0.154475	0.135963	0.119946	0.11073	0.0923726	0.0977852	0.121989
a18	0.194538	0.205842	0.154706	0.122083	0.0990519	0.0734488	0.0699741	0.0803555
a21	0.137239	0.161647	0.128885	0.133836	0.122346	0.0937703	0.0979334	0.124344
a85	0.152181	0.174188	0.124045	0.124898	0.121133	0.0979595	0.095524	0.110072
a37	0.149158	0.125889	0.0734754	0.0736717	0.0969517	0.131199	0.155939	0.193716
a11	0.161103	0.166906	0.0991028	0.0801888	0.0812129	0.103195	0.131828	0.176464
a21	0.0986151	0.109267	0.0817483	0.0889705	0.111327	0.139428	0.161428	0.209216
a61	0.0949531	0.090924	0.0776958	0.0854074	0.110561	0.156986	0.180273	0.2032
a62	0.043751	0.0436921	0.0418311	0.0576239	0.0972508	0.168827	0.2386	0.308424
a66	0.0162085	0.0194756	0.0226887	0.0370217	0.075732	0.173045	0.276653	0.379176
a75	0.0101163	0.0136967	0.0160235	0.0245498	0.0422377	0.103169	0.265418	0.524788
a47	0.0195208	0.0199988	0.0245273	0.0306081	0.0496795	0.124893	0.275154	0.455619
a2	0.00775543	0.00770953	0.0114319	0.018198	0.0382852	0.110957	0.280762	0.524901
a57	0.00479626	0.00457285	0.0082935	0.0171754	0.0389293	0.0988056	0.276808	0.550619
a87	0.0118541	0.00959148	0.0123006	0.0182889	0.0345024	0.0901966	0.271052	0.552213
a23	0.0801058	0.0417419	0.0366207	0.0460602	0.0625766	0.127503	0.257085	0.348307
a87	0.0759124	0.0395755	0.0311576	0.0380193	0.0556603	0.133959	0.263854	0.361862
a23	0.0351439	0.0214024	0.021825	0.0280991	0.048841	0.138798	0.281443	0.424447
a99	0.0174154	0.0131811	0.01609	0.0238748	0.04332	0.150505	0.302234	0.433379
a97	0.0188749	0.0108978	0.0144327	0.0199085	0.0378835	0.127016	0.29956	0.471426
</S>	0.012608	0.00939834	0.0143661	0.0233458	0.0461309	0.129032	0.271679	0.49344
