 	on	m'	a	dit	que	c'	est	vous	qui	êtes	le	chef	de	ce	village	</S>
a66	0.213361	0.16955	0.133429	0.0711521	0.054783	0.0394626	0.0368476	0.0343693	0.0457815	0.0566386	0.043299	0.0324617	0.0251854	0.0161969	0.0138629	0.0136198
a87	0.221205	0.160758	0.118756	0.0751644	0.0522234	0.0312818	0.0302519	0.0294019	0.0346227	0.0503921	0.0380944	0.0314946	0.0273795	0.0274566	0.0318858	0.0396325
a40	0.235974	0.157174	0.116235	0.0628052	0.0356095	0.0266577	0.023576	0.0237161	0.0352057	0.0844756	0.0561625	0.0470682	0.0327335	0.0205145	0.0188512	0.0232416
a6	0.162632	0.114672	0.0847384	0.051972	0.0437102	0.0440453	0.0466611	0.0522648	0.088844	0.0872302	0.045761	0.0465596	0.0428595	0.0291501	0.0251663	0.033733
a0	0.161406	0.17069	0.168707	0.104641	0.0633972	0.0453032	0.0399512	0.0365707	0.0428602	0.0387463	0.0281916	0.019963	0.018542	0.0168873	0.0178391	0.0263032
a21	0.146671	0.219333	0.253972	0.178729	0.0743461	0.0393236	0.0261227	0.020476	0.0145966	0.00598507	0.00402108	0.00287867	0.00275337	0.00278427	0.00292066	0.00508582
a5	0.111824	0.143722	0.202746	0.203439	0.0981057	0.0505454	0.0408203	0.0355812	0.035663	0.0215492	0.012485	0.0097765	0.00842858	0.0073191	0.00709694	0.0108971
a85	0.0872889	0.107947	0.14271	0.163181	0.0971228	0.0586301	0.0526626	0.0488474	0.0547201	0.045793	0.030452	0.0278872	0.0222635	0.017992	0.0179318	0.0245702
a6	0.0403807	0.0608993	0.0826122	0.1099	0.089279	0.0607017	0.0709975	0.073598	0.0792853	0.0687753	0.0511766	0.0476383	0.0386898	0.0364754	0.0360961	0.0534943
a37	0.0584639	0.0774769	0.0931619	0.144365	0.108353	0.0611546	0.0576797	0.0549388	0.062288	0.0588595	0.0433405	0.0430934	0.0327392	0.0309686	0.0331977	0.0399191
a75	0.0364319	0.0465138	0.0543861	0.102617	0.0902248	0.057633	0.056524	0.0533511	0.06497	0.0801812	0.0756086	0.0727225	0.055868	0.0476643	0.0502101	0.0550939
a25	0.00862327	0.0110406	0.0133664	0.0366917	0.061864	0.0639654	0.0747243	0.0820142	0.100023	0.114894	0.0888264	0.0954554	0.0713917	0.0586556	0.0521218	0.0663417
a92	0.00376804	0.00468913	0.00639846	0.0241391	0.0561408	0.0636771	0.0754416	0.0718799	0.080587	0.114514	0.0980623	0.09898	0.0765651	0.0646329	0.0685411	0.0919832
a37	0.00341488	0.00381826	0.00471866	0.0148517	0.0393277	0.0547658	0.0653735	0.0677708	0.0855679	0.14774	0.132965	0.122656	0.0781775	0.0568068	0.0550547	0.0669905
a92	0.00629484	0.00670444	0.00776942	0.0191109	0.0453608	0.0665017	0.0819704	0.0725639	0.0840381	0.13138	0.129504	0.108728	0.0700839	0.050758	0.0525486	0.0666832
a94	0.00134961	0.00139178	0.00171477	0.00549158	0.0200453	0.0461219	0.0720243	0.086339	0.0933952	0.144037	0.121141	0.115619	0.0815652	0.0745152	0.0618436	0.0734057
a90	0.00279703	0.00293412	0.00342862	0.00732072	0.0188157	0.0394364	0.0643079	0.0652256	0.0796245	0.125372	0.140958	0.127184	0.0845012	0.0632748	0.0713918	0.103427
a96	0.00266024	0.00250986	0.00281398	0.00556443	0.0147855	0.034141	0.0571645	0.0618654	0.0785326	0.120216	0.145316	0.137792	0.0960525	0.0707009	0.0714862	0.0983985
a12	0.00148783	0.00145822	0.00163921	0.00334177	0.00892684	0.0224381	0.0436367	0.0526635	0.0651163	0.102261	0.138724	0.137227	0.105978	0.0891589	0.0947382	0.131204
a88	0.0017009	0.0017391	0.00190672	0.0033432	0.00677104	0.0149719	0.0297444	0.0378366	0.044103	0.0868521	0.131473	0.129131	0.107112	0.106534	0.125609	0.171172
a62	0.00123083	0.00134325	0.00165267	0.00336163	0.00680482	0.0149428	0.0265309	0.0312291	0.0353979	0.0639455	0.104679	0.11686	0.10815	0.119006	0.151521	0.213344
a93	0.000839601	0.000883211	0.0010827	0.00223778	0.00474629	0.0112707	0.0198414	0.0235415	0.0269296	0.0423643	0.0738896	0.0916266	0.0978843	0.131891	0.192704	0.278267
a94	0.000618587	0.000586753	0.000674096	0.00137283	0.0031578	0.00850548	0.0159134	0.0206309	0.0249907	0.0389955	0.0715391	0.0883992	0.0941577	0.140328	0.202385	0.287744
a13	0.000559653	0.000501232	0.000577688	0.00108114	0.00243798	0.00657782	0.00950389	0.00937148	0.0108688	0.0119111	0.0292939	0.0542834	0.0800493	0.15401	0.270484	0.358489
a58	0.00218462	0.00197225	0.00213901	0.0029737	0.00526526	0.010965	0.0142153	0.013981	0.0112323	0.010959	0.0271055	0.0517132	0.0839373	0.17072	0.290947	0.299689
a4	0.00499796	0.00446199	0.00463177	0.00516642	0.00671823	0.0109146	0.0134534	0.0139572	0.011701	0.0140928	0.0276003	0.0589302	0.104125	0.181731	0.277827	0.259692
a13	0.000479985	0.000424894	0.0004671	0.000950211	0.00223928	0.00570859	0.0076383	0.00700641	0.00657408	0.00583108	0.0126432	0.028404	0.0566945	0.142419	0.310637	0.411882
a54	0.000934289	0.00088599	0.00109374	0.00237605	0.00542584	0.0122617	0.0156414	0.015309	0.0128782	0.00904685	0.0203806	0.0416534	0.0721597	0.150821	0.303572	0.335561
a44	0.000372614	0.00037098	0.000418126	0.0010274	0.00254868	0.00644113	0.00869552	0.00812948	0.00687392	0.00743206	0.0126382	0.0256577	0.0513313	0.132623	0.30127	0.43417
a57	0.00026052	0.000279368	0.000373304	0.00092771	0.00234694	0.00615451	0.00752684	0.00659163	0.00561107	0.00416663	0.00908879	0.0208495	0.044117	0.119978	0.336851	0.434876
a13	0.00274445	0.00257039	0.00322365	0.00518411	0.00851316	0.0134702	0.0146994	0.0149999	0.0135013	0.0127644	0.0187093	0.034851	0.0584553	0.120272	0.312467	0.363575
a71	0.00478539	0.00450344	0.00515276	0.00816235	0.0131778	0.0215006	0.0246388	0.0236071	0.0206091	0.0186368	0.0282611	0.049358	0.0745236	0.125916	0.265728	0.311439
a9	0.00753982	0.00658197	0.00706036	0.00964957	0.0143187	0.0205995	0.0231631	0.0232291	0.0206084	0.0241756	0.0280007	0.0425784	0.0621939	0.110989	0.266908	0.332404
a87	0.079785	0.048933	0.0382195	0.0306138	0.0321362	0.0334573	0.0341896	0.035454	0.0356459	0.0688757	0.0564229	0.0655047	0.0766346	0.0893909	0.133537	0.1412
a23	0.141314	0.113572	0.0929003	0.0591128	0.0442718	0.0386762	0.0389652	0.0409923	0.0403307	0.0508799	0.0441509	0.0509208	0.0559085	0.0593817	0.0640385	0.0645842
a87	0.0351091	0.0211671	0.0150901	0.0124225	0.018282	0.0314375	0.0453886	0.0563286	0.066318	0.0601224	0.0449087	0.0590331	0.0758762	0.128031	0.14599	0.184495
a10	0.00781807	0.00582397	0.00517025	0.00620876	0.0119714	0.0232297	0.0375062	0.049495	0.067192	0.0754789	0.0654531	0.0788921	0.0816462	0.122417	0.149618	0.212079
</S>	0.00929686	0.00710298	0.0061946	0.00624017	0.00963051	0.020643	0.0394654	0.0553842	0.0823251	0.109706	0.0952069	0.0979877	0.0860772	0.101583	0.114903	0.158253
