 	elle	se	prépara	deux	jours	en	avance	</S>
a87	0.438825	0.178627	0.0457139	0.0438222	0.071264	0.0796112	0.0897619	0.0523747
a10	0.279962	0.120652	0.119855	0.108163	0.115542	0.097629	0.0905571	0.0676402
a87	0.176567	0.0916167	0.127038	0.139212	0.113585	0.10932	0.131681	0.110981
a79	0.177765	0.0835611	0.116174	0.136364	0.138073	0.12261	0.142458	0.0829938
a20	0.385808	0.205404	0.162201	0.0629647	0.0438213	0.0442722	0.0416944	0.0538345
a58	0.494335	0.188196	0.170084	0.0629852	0.0350233	0.0219493	0.0145564	0.01287
a73	0.270255	0.170681	0.22691	0.10105	0.078483	0.0598223	0.044651	0.0481484
a44	0.117057	0.15155	0.204388	0.142093	0.129256	0.103097	0.0765934	0.0759666
a15	0.0965963	0.133845	0.18877	0.156082	0.140572	0.113666	0.0833896	0.0870782
a56	0.102091	0.125769	0.157244	0.15484	0.142476	0.129581	0.0995095	0.0884893
a94	0.055211	0.0673857	0.154641	0.171039	0.167857	0.147047	0.110461	0.126357
a11	0.0512298	0.0573298	0.126368	0.145238	0.163058	0.153883	0.125751	0.177141
a24	0.0407561	0.051973	0.139387	0.133915	0.160649	0.164433	0.133463	0.175425
a41	0.0545354	0.0565104	0.160478	0.144685	0.155962	0.152549	0.126576	0.148704
a94	0.063095	0.0755704	0.148236	0.133293	0.139853	0.150431	0.139596	0.149925
a75	0.0441402	0.053261	0.107734	0.115446	0.14445	0.170412	0.177153	0.187405
a41	0.0299005	0.0388586	0.0700704	0.121326	0.129836	0.158454	0.190404	0.261151
a94	0.0460326	0.0549723	0.0940211	0.13104	0.120865	0.141939	0.170052	0.241077
a75	0.0369095	0.0362353	0.072793	0.0971207	0.123159	0.156171	0.197505	0.280107
a41	0.0415919	0.0418804	0.0771504	0.0928156	0.112976	0.140459	0.181917	0.31121
a84	0.0344632	0.0408708	0.0830055	0.107478	0.116231	0.139691	0.171231	0.307029
a87	0.0101935	0.0181418	0.0646653	0.100122	0.15268	0.181542	0.197934	0.274723
a38	0.0171728	0.0179282	0.0587167	0.121631	0.124334	0.14474	0.157794	0.357683
a70	0.0366675	0.019606	0.0727735	0.0780746	0.109635	0.130803	0.141687	0.410754
a9	0.0290668	0.0213458	0.0720309	0.0822775	0.103842	0.127439	0.150438	0.41356
a53	0.0197489	0.0161669	0.049831	0.0660089	0.110545	0.12515	0.156575	0.455974
a93	0.0127563	0.0146737	0.0550121	0.0632308	0.105763	0.145948	0.171974	0.430643
a12	0.0149223	0.0176337	0.0557274	0.0648672	0.109338	0.158521	0.194466	0.384524
a13	0.0166588	0.015554	0.0358603	0.0476905	0.0791286	0.111977	0.162696	0.530435
a54	0.00902746	0.0109366	0.0365764	0.0494594	0.081327	0.116177	0.178696	0.5178
a98	0.0196824	0.0264929	0.0714842	0.0615539	0.0815199	0.119645	0.157371	0.462251
a73	0.012191	0.0187822	0.0419932	0.0493234	0.0770266	0.117993	0.177311	0.50538
a84	0.0045626	0.00778217	0.037216	0.051433	0.0749979	0.120797	0.164549	0.538662
a58	0.00140599	0.00168807	0.00954824	0.0213504	0.032973	0.062561	0.138108	0.732365
a53	0.00271625	0.00186369	0.00534499	0.0133478	0.023795	0.0445754	0.117433	0.790924
a4	0.00243199	0.00224878	0.0119123	0.0252732	0.0596543	0.111435	0.178755	0.608289
a57	0.00276996	0.00205332	0.00654155	0.0118305	0.0239269	0.0507126	0.142678	0.759487
a53	0.00166957	0.00141554	0.00490919	0.0103195	0.0224651	0.0516971	0.179086	0.728438
a90	0.00177456	0.00155677	0.00508842	0.00979267	0.0241488	0.0546431	0.16644	0.736556
a32	0.00264218	0.00200964	0.00698303	0.0140536	0.0299088	0.0630999	0.168569	0.712734
a90	0.00699544	0.00460266	0.00937792	0.0148199	0.0253354	0.0533046	0.182139	0.703425
a4	0.00316735	0.00228133	0.00717115	0.0138113	0.0278311	0.0565432	0.154993	0.734201
a57	0.00351261	0.00284866	0.00822513	0.0145285	0.0279575	0.0542203	0.132854	0.755854
a82	0.00407541	0.00255115	0.00690588	0.0141051	0.0253403	0.054784	0.206922	0.685316
a87	0.00608511	0.00323715	0.00646828	0.0177344	0.027083	0.0637705	0.229673	0.645949
a23	0.0138765	0.00387765	0.00811144	0.0243385	0.0471103	0.100078	0.265265	0.537343
a87	0.0391528	0.00915403	0.0143066	0.034612	0.0595596	0.115281	0.255316	0.472618
</S>	0.0220643	0.00923763	0.0209913	0.0526986	0.0741104	0.129274	0.252017	0.439607
