 	il	n'	y	a	personne	pour	pleurer	ce	voleur	</S>
a66	0.226079	0.173077	0.137827	0.124961	0.121532	0.0943959	0.0604532	0.027361	0.0182451	0.0160685
a87	0.182547	0.137402	0.147354	0.134509	0.115379	0.113171	0.0894496	0.0361131	0.024393	0.0196822
a23	0.196954	0.154963	0.157249	0.118338	0.0689287	0.0641897	0.073806	0.0560527	0.0560649	0.0534536
a50	0.138629	0.15206	0.19653	0.156383	0.0824006	0.0544949	0.0558749	0.0446147	0.0552739	0.063739
a88	0.19796	0.181736	0.170282	0.11698	0.0562733	0.0392984	0.0472847	0.0458794	0.064363	0.0799433
a62	0.221562	0.235401	0.191328	0.138685	0.0691705	0.0408034	0.0395415	0.024878	0.0220539	0.0165767
a47	0.174747	0.216649	0.204648	0.168459	0.0877672	0.0445383	0.0376313	0.0234335	0.0233164	0.0188106
a96	0.146437	0.203013	0.205552	0.177797	0.0957739	0.0457553	0.0370959	0.026172	0.0332204	0.0291835
a75	0.12881	0.176983	0.195517	0.182654	0.117419	0.0588235	0.0433929	0.0312814	0.0352089	0.0299106
a79	0.102634	0.12803	0.144044	0.151784	0.146623	0.0978336	0.0678234	0.0518895	0.0573349	0.0520034
a56	0.0920141	0.123127	0.14392	0.167591	0.181173	0.116893	0.0620344	0.0372556	0.038172	0.0378191
a94	0.104711	0.121827	0.138462	0.15646	0.166828	0.109506	0.0648406	0.039442	0.0472108	0.0507124
a62	0.108807	0.10512	0.114719	0.138886	0.162555	0.119665	0.0729365	0.0467268	0.0597905	0.0707948
a47	0.0735101	0.0618285	0.0669783	0.0948083	0.143037	0.151636	0.117377	0.0786033	0.0940494	0.118172
a62	0.0536476	0.0465624	0.0501106	0.072974	0.125109	0.153751	0.117121	0.0929414	0.121207	0.166576
a88	0.037738	0.0305292	0.0303773	0.0440805	0.0858068	0.132208	0.137911	0.142309	0.168155	0.190885
a75	0.0173315	0.0147489	0.0156965	0.0231144	0.0474763	0.0842802	0.111534	0.151806	0.237877	0.296136
a98	0.0040803	0.00312385	0.00315249	0.00500898	0.0131056	0.0332622	0.06852	0.169686	0.289388	0.410672
a47	0.00140664	0.00113465	0.00124315	0.00207228	0.00561881	0.0155435	0.0340973	0.124568	0.308358	0.505958
a85	0.00118797	0.000743017	0.000746254	0.00116428	0.00300664	0.00914499	0.0237564	0.117461	0.297997	0.544792
a5	0.000494457	0.000355747	0.000400124	0.000610074	0.00155971	0.00522427	0.0179766	0.103891	0.278271	0.591216
a61	0.00217241	0.00139516	0.00137331	0.002022	0.00513015	0.0168611	0.0385253	0.117357	0.247437	0.567726
a62	0.00129073	0.000926228	0.00107094	0.00170437	0.00440124	0.0165843	0.0420813	0.116	0.246603	0.569338
a88	0.00269111	0.00193618	0.00222769	0.00340196	0.00803059	0.0258491	0.0591161	0.135804	0.246628	0.514315
a71	0.00177845	0.00113447	0.00121908	0.00179591	0.00385094	0.0120039	0.0326831	0.103384	0.252081	0.590069
a9	0.0286461	0.0161773	0.0134358	0.0155265	0.0232936	0.0388708	0.0541783	0.115437	0.217576	0.476858
a87	0.102172	0.0612122	0.0407382	0.0393068	0.0455997	0.0536024	0.0579904	0.100101	0.170693	0.328584
a23	0.145778	0.0995336	0.0996619	0.0870727	0.0784862	0.0819078	0.0803284	0.0957123	0.106597	0.124922
a87	0.0343192	0.0206556	0.0193444	0.0154822	0.0150633	0.0240965	0.0409402	0.126038	0.274575	0.429485
</S>	0.00494518	0.00326867	0.00343138	0.00334005	0.00508573	0.0122127	0.0279697	0.0970415	0.290994	0.551711
