 	la	lune	apparaît	à	l'	horizon	</S>
a23	0.387514	0.198841	0.14311	0.1109	0.0774736	0.0356339	0.0465276
a10	0.226836	0.131337	0.0867723	0.11955	0.116995	0.133046	0.185463
a11	0.386931	0.2485	0.143246	0.0744007	0.0483968	0.0450987	0.0534271
a35	0.480148	0.269022	0.141215	0.0645122	0.0218565	0.012445	0.0108017
a41	0.44649	0.278666	0.145939	0.0800047	0.0274885	0.0136908	0.00772145
a35	0.360037	0.288987	0.175864	0.109648	0.0413252	0.0161826	0.00795599
a38	0.345531	0.295	0.174154	0.112997	0.0433034	0.0191409	0.00987338
a24	0.298638	0.265018	0.16346	0.14361	0.07509	0.0348032	0.0193812
a41	0.31976	0.266738	0.14152	0.122096	0.0830307	0.0424947	0.0243599
a25	0.205001	0.209941	0.124796	0.184045	0.135569	0.0828792	0.0577673
a57	0.0805791	0.0841038	0.057273	0.119298	0.201087	0.22687	0.23079
a40	0.0470036	0.0423939	0.0333309	0.0942027	0.194759	0.257926	0.330384
a30	0.0580141	0.0611721	0.0565145	0.117706	0.214587	0.25197	0.240037
a44	0.0768517	0.0756196	0.067802	0.1619	0.215077	0.220935	0.181814
a57	0.0389127	0.0391417	0.0383353	0.0860075	0.181276	0.294731	0.321597
a10	0.0105867	0.00907215	0.00811417	0.0383759	0.159793	0.356488	0.417569
a66	0.00450104	0.00366732	0.00322785	0.0133807	0.0723476	0.298572	0.604304
a35	0.00405254	0.00358396	0.00383269	0.0162071	0.0718938	0.302158	0.598272
a24	0.00851432	0.0078621	0.00856832	0.0400293	0.125239	0.334986	0.474801
a25	0.00703583	0.00816098	0.00952215	0.02821	0.0817949	0.252159	0.613117
a40	0.00201538	0.00160482	0.00156959	0.00677815	0.0457944	0.232128	0.71011
a58	0.00396852	0.00343026	0.00398522	0.0121133	0.0527974	0.240443	0.683262
a93	0.00153218	0.00135123	0.00142526	0.00563887	0.0310256	0.178347	0.78068
a90	0.00258736	0.00228368	0.00219557	0.00589793	0.0276698	0.161623	0.797743
a4	0.0036346	0.00271103	0.00270591	0.00571709	0.0209595	0.135514	0.828758
a13	0.00336117	0.00251189	0.0022355	0.00546734	0.0186217	0.110607	0.857195
a9	0.0125007	0.00868971	0.00813136	0.0159975	0.0397161	0.149979	0.764985
a87	0.0413845	0.0239426	0.0170393	0.0352477	0.0700025	0.187867	0.624517
</S>	0.093678	0.054934	0.0230304	0.026244	0.0529093	0.18695	0.562254
