 	il	viendra	cet	après-midi	</S>
a23	0.686519	0.264473	0.028174	0.0106826	0.0101512
a85	0.591677	0.208032	0.0713413	0.0497649	0.0791846
a87	0.496631	0.264496	0.0888735	0.0679553	0.0820441
a23	0.424576	0.353483	0.151005	0.0397711	0.0311649
a20	0.224136	0.288999	0.211641	0.129161	0.146064
a73	0.203961	0.343161	0.233211	0.166233	0.0534344
a20	0.130513	0.325252	0.359418	0.157198	0.0276189
a41	0.1348	0.271763	0.374725	0.177135	0.0415769
a73	0.0906749	0.129863	0.298103	0.321635	0.159725
a2	0.0812523	0.0707755	0.125822	0.350506	0.371644
a20	0.0316509	0.0411847	0.0871479	0.298691	0.541326
a73	0.0253775	0.0260235	0.0502007	0.286078	0.61232
a41	0.0041338	0.00958831	0.056638	0.342722	0.586918
a18	0.00315953	0.00767321	0.0467862	0.270109	0.672272
a27	0.0024882	0.00473049	0.0292705	0.236368	0.727143
a76	0.00218726	0.00274567	0.0127919	0.134277	0.847999
a69	0.00275451	0.00447526	0.0280336	0.174699	0.790037
a58	0.000816034	0.00157668	0.015682	0.15513	0.826795
a53	0.00079373	0.00135124	0.00833015	0.0661873	0.923338
a76	0.00614983	0.00530824	0.0184972	0.104466	0.865579
a69	0.00844477	0.0115027	0.0400514	0.120619	0.819382
a58	0.001838	0.00208927	0.0126658	0.0902132	0.893194
a82	0.00374036	0.00723434	0.0274719	0.0903908	0.871163
a87	0.0202796	0.0699884	0.0927511	0.116051	0.70093
a23	0.0297664	0.186254	0.242085	0.174782	0.367112
a87	0.10971	0.336588	0.255773	0.156555	0.141375
</S>	0.0510399	0.0910685	0.135641	0.208328	0.513922
