 	la	manière	de	gratifier	des	riches	est	différente	de	celle	des	pauvres	</S>
a15	0.154785	0.0927152	0.0750841	0.102842	0.135042	0.192055	0.133909	0.0553427	0.0236528	0.0116053	0.00777709	0.00770532	0.0074852
a66	0.230787	0.104326	0.0656211	0.0977529	0.111616	0.110464	0.0789827	0.0435599	0.0314445	0.0239851	0.0265755	0.0337568	0.0411294
a87	0.37192	0.205537	0.107419	0.102658	0.0651608	0.0439746	0.0253288	0.0132129	0.00796216	0.00618298	0.00883489	0.0149499	0.0268586
a23	0.267863	0.215349	0.162631	0.139548	0.0879815	0.0435882	0.0202662	0.0135276	0.0100029	0.00732465	0.00746661	0.00958664	0.0148641
a97	0.185353	0.2038	0.174423	0.177543	0.132336	0.053629	0.0129405	0.00699731	0.00613433	0.0065683	0.00817931	0.0117366	0.0203608
a87	0.191956	0.150154	0.153161	0.177883	0.157599	0.0746515	0.0288815	0.0133454	0.00933576	0.00879156	0.00955672	0.0110522	0.0136316
a23	0.207942	0.13945	0.134693	0.158249	0.149043	0.0873481	0.0351277	0.0160501	0.0120701	0.0121856	0.0135091	0.0154371	0.0188957
a50	0.208642	0.135476	0.146152	0.202928	0.144675	0.072552	0.0173406	0.00732245	0.00836861	0.00992996	0.0133032	0.014479	0.0188308
a83	0.179268	0.132592	0.142672	0.213437	0.136216	0.0973484	0.0286611	0.0100366	0.00862379	0.00972628	0.0113483	0.0129899	0.0170813
a71	0.160442	0.179539	0.192223	0.201657	0.12474	0.0971274	0.0144777	0.00430534	0.00395789	0.00395053	0.00479536	0.00547791	0.00730749
a53	0.0813494	0.116925	0.163191	0.21821	0.167579	0.12754	0.0373711	0.0182102	0.0139798	0.0125651	0.0128472	0.0139219	0.0163105
a90	0.141843	0.150108	0.161969	0.194541	0.144422	0.122787	0.0289361	0.0102967	0.00781235	0.00666291	0.00788019	0.00953981	0.0132017
a56	0.0881874	0.101327	0.118558	0.156902	0.161748	0.180612	0.0635623	0.0237862	0.0163635	0.0132905	0.0181289	0.0242257	0.0333095
a61	0.0717427	0.0782616	0.0995585	0.13745	0.199286	0.241466	0.0656487	0.0246548	0.0148956	0.0126038	0.0142188	0.0173821	0.0228316
a12	0.0625514	0.0587366	0.073193	0.110827	0.209784	0.293512	0.0889091	0.0348455	0.0168168	0.012194	0.0106051	0.0120835	0.0159422
a62	0.0320582	0.0282857	0.0401457	0.0919438	0.198641	0.308795	0.120307	0.056672	0.0294419	0.0199592	0.0192485	0.022367	0.0321344
a47	0.0376415	0.0333887	0.0436362	0.0816895	0.168366	0.267832	0.144383	0.0906535	0.0432526	0.0234502	0.0180666	0.019761	0.0278792
a12	0.0199617	0.020952	0.0287667	0.0530664	0.115614	0.239223	0.163392	0.142254	0.0789941	0.0417282	0.0300731	0.0285218	0.037452
a21	0.0085527	0.00903268	0.0116206	0.021623	0.0731994	0.213541	0.179936	0.185389	0.106532	0.05368	0.0372767	0.0397708	0.0598462
a5	0.00382175	0.00431542	0.0062067	0.0130774	0.0465085	0.163807	0.187663	0.217656	0.143772	0.0676539	0.0428697	0.0424583	0.0601898
a18	0.00222352	0.0024488	0.00364936	0.0106473	0.0306779	0.114232	0.185112	0.216568	0.140755	0.078215	0.0593213	0.0619935	0.0941564
a38	0.00345028	0.00292945	0.00377797	0.010126	0.0172913	0.0548944	0.119652	0.218508	0.179314	0.0943984	0.0728497	0.0850463	0.137763
a12	0.00436465	0.00363055	0.00453029	0.00915006	0.0140025	0.041219	0.086966	0.182444	0.195169	0.11796	0.09219	0.0991228	0.149252
a62	0.00149117	0.00123625	0.00156898	0.00385538	0.00860709	0.0285347	0.0905114	0.205009	0.18833	0.109163	0.0876931	0.0990723	0.174928
a88	0.000995901	0.000881668	0.00115208	0.0030087	0.00715541	0.0249077	0.0779736	0.18524	0.193411	0.118861	0.0901998	0.104111	0.192101
