 	com-	ment	tu	t'	appelles	</S>
a87	0.651523	0.240367	0.0521794	0.0203519	0.0189399	0.0166387
a23	0.489844	0.302333	0.085914	0.0436987	0.0351842	0.0430254
a53	0.256237	0.124773	0.088257	0.0727149	0.158818	0.299201
a94	0.705702	0.229835	0.0284449	0.00791535	0.0124374	0.0156661
a90	0.31562	0.337996	0.140158	0.0576695	0.0992763	0.0492797
a98	0.0973053	0.152025	0.143911	0.147994	0.327043	0.131722
a6	0.0432779	0.0565036	0.0763906	0.130386	0.439919	0.253522
a92	0.00343549	0.00573972	0.0174974	0.0681357	0.358954	0.546238
a44	0.000453447	0.00108343	0.00566278	0.0335802	0.255632	0.703589
a37	0.000336133	0.000819912	0.00386049	0.0216512	0.164953	0.808379
a26	0.000383449	0.00098087	0.00386872	0.0184315	0.137903	0.838432
a82	0.00543842	0.00482757	0.00687891	0.0268595	0.188479	0.767517
a87	0.107606	0.0881513	0.0400512	0.0799277	0.205722	0.478542
a23	0.252916	0.24468	0.157029	0.149466	0.12277	0.073138
a87	0.104497	0.134641	0.0912169	0.148512	0.239391	0.281742
</S>	0.0230178	0.0373191	0.0748833	0.160254	0.26293	0.441596
