 	ossoa	a	été	ordonné	prêtre	à	boundji	</S>
a66	0.360689	0.229574	0.162232	0.0637569	0.0626775	0.062074	0.0329367	0.0260606
a87	0.348959	0.191607	0.199963	0.0713226	0.0444646	0.0434736	0.0442581	0.0559517
a23	0.577472	0.209397	0.094872	0.0319844	0.0129995	0.018063	0.0224536	0.0327582
a30	0.575597	0.23285	0.0742207	0.0147437	0.00751245	0.0185698	0.0306684	0.0458387
a4	0.639418	0.18325	0.0885157	0.0245738	0.010345	0.0136443	0.0159947	0.0242584
a0	0.524606	0.216266	0.184806	0.0519103	0.0110957	0.00515656	0.00291873	0.00324016
a90	0.386842	0.178548	0.204802	0.136909	0.0386459	0.0224987	0.0144352	0.0173192
a98	0.264339	0.159279	0.254291	0.195964	0.0671058	0.030902	0.0146634	0.0134548
a92	0.0680337	0.119592	0.309561	0.301032	0.129842	0.0446464	0.0153164	0.0119767
a21	0.0571289	0.0904688	0.243961	0.326875	0.181007	0.0570337	0.0228075	0.0207178
a75	0.0630725	0.0826705	0.211178	0.291119	0.169655	0.0877527	0.0519515	0.0426017
a25	0.0201513	0.0242534	0.0704288	0.153538	0.238836	0.190652	0.156333	0.145808
a69	0.00698773	0.0124315	0.0573403	0.169305	0.297362	0.21867	0.133038	0.104865
a75	0.00480065	0.00427008	0.0113518	0.0532566	0.212696	0.281607	0.225505	0.206513
a92	0.00375051	0.00316931	0.00651972	0.0199355	0.130241	0.268887	0.27898	0.288517
a56	0.00194165	0.00229768	0.00416637	0.0121058	0.0865163	0.254711	0.313623	0.324638
a94	0.000461829	0.000562585	0.0010696	0.00339634	0.0339113	0.181404	0.362332	0.416863
a70	0.00014157	0.000138433	0.000333215	0.00141667	0.0157617	0.0964169	0.33744	0.548351
a4	0.000126536	0.000114606	0.000316025	0.00129586	0.0153313	0.0719421	0.284717	0.626156
a70	5.88881e-05	6.54497e-05	0.000272469	0.00116927	0.01135	0.0551355	0.259901	0.672047
a66	6.80034e-05	9.08023e-05	0.000460924	0.00213679	0.0192932	0.0841771	0.297927	0.595846
a38	0.000371205	0.000343245	0.00110216	0.00427923	0.0191635	0.0813499	0.300812	0.592579
a9	0.000764395	0.000790923	0.00215885	0.00736034	0.0204987	0.073998	0.28581	0.608619
a10	0.0395695	0.0292048	0.0269835	0.0301702	0.0575535	0.10416	0.240346	0.472013
a87	0.126885	0.103524	0.0655786	0.0382467	0.0465273	0.0783484	0.180341	0.360549
a23	0.180155	0.180415	0.138726	0.066133	0.063311	0.0801914	0.126017	0.165051
a87	0.0583879	0.048408	0.0322553	0.0191536	0.0550455	0.109272	0.245704	0.431774
</S>	0.00530657	0.00387158	0.00400719	0.00762781	0.0306738	0.0792058	0.272106	0.597202
