 	je	me	suis	servi	de	ta	pirogue	pour	traverser	la	rivière	</S>
a82	0.217354	0.110877	0.0732176	0.0830781	0.113643	0.128194	0.114258	0.0644977	0.0453379	0.0278793	0.0133424	0.00832039
a10	0.0840978	0.0482454	0.0452474	0.0662384	0.110074	0.106554	0.0883862	0.0761243	0.0988462	0.100981	0.0931722	0.082033
a87	0.255909	0.188395	0.170235	0.0873876	0.0708339	0.0457771	0.0282186	0.0243079	0.0336032	0.0331957	0.030783	0.0313538
a99	0.230813	0.167738	0.166053	0.0935382	0.0746759	0.049337	0.0347534	0.0315192	0.0428256	0.0432591	0.0350714	0.0304158
a50	0.360629	0.220993	0.161932	0.056332	0.0371733	0.0263009	0.0211846	0.0206795	0.0296162	0.0280843	0.0199255	0.0171496
a31	0.321165	0.221946	0.148646	0.0514742	0.0355676	0.0317475	0.0284513	0.0317693	0.0338726	0.033824	0.0334285	0.0281073
a0	0.277505	0.232787	0.185366	0.0797902	0.048319	0.0303925	0.0227041	0.0246918	0.0237736	0.0252203	0.0273172	0.0221333
a47	0.162637	0.171758	0.186901	0.121803	0.0786098	0.0504321	0.0358151	0.03564	0.0329173	0.0374089	0.044238	0.0418404
a62	0.167613	0.154742	0.162811	0.131712	0.101818	0.071872	0.0430275	0.035269	0.0313926	0.0333089	0.0349517	0.0314822
a83	0.087907	0.11389	0.148833	0.155468	0.128344	0.0958199	0.0638704	0.0509439	0.0410664	0.0416121	0.0378975	0.0343471
a90	0.0720289	0.0979096	0.132532	0.1537	0.138727	0.108995	0.0728386	0.0545976	0.043501	0.0449589	0.0412032	0.0390076
a98	0.060144	0.0862165	0.106408	0.137799	0.157048	0.139306	0.0967801	0.0635055	0.0460372	0.040246	0.0342579	0.0322528
a85	0.030125	0.0485144	0.0621941	0.0972752	0.140021	0.149509	0.125517	0.0889925	0.0679531	0.0602138	0.0595285	0.0701564
a37	0.0220988	0.0319321	0.0380721	0.0707804	0.122051	0.147166	0.149876	0.103851	0.0791204	0.0714318	0.0728819	0.090739
a79	0.0195959	0.0237272	0.0265608	0.0536991	0.10253	0.138118	0.15192	0.114475	0.0889843	0.0873296	0.0819605	0.111099
a37	0.0129285	0.0147526	0.016679	0.0358907	0.0756733	0.11039	0.14072	0.124135	0.110475	0.11577	0.108799	0.133787
a70	0.0101293	0.0102034	0.0106244	0.0209538	0.0513181	0.0917824	0.129936	0.120225	0.112965	0.131633	0.134551	0.175679
a88	0.00720586	0.00691668	0.00629456	0.0124877	0.0332809	0.066314	0.0958023	0.0971513	0.105014	0.146375	0.192482	0.230675
a71	0.00398257	0.00396422	0.0038054	0.00759334	0.0205365	0.0434399	0.06417	0.0675652	0.0817023	0.133606	0.227485	0.342149
a11	0.00248826	0.00215616	0.00191398	0.00365202	0.00981989	0.0246967	0.0464324	0.0527344	0.0613633	0.114335	0.221438	0.45897
a21	0.00158626	0.00129426	0.00133646	0.00246422	0.00591213	0.0146098	0.0295614	0.0401917	0.0503446	0.107331	0.223667	0.521701
a12	0.00139066	0.00139125	0.00144979	0.00285386	0.00671864	0.0143411	0.0259988	0.0355445	0.0563766	0.114951	0.271524	0.46746
a5	0.000432158	0.00046535	0.000506216	0.0010882	0.00253655	0.00535258	0.0108718	0.016638	0.0272982	0.0713557	0.22606	0.637396
a37	0.000529359	0.000555394	0.000596818	0.00129871	0.00326338	0.00724842	0.013967	0.0194417	0.0332877	0.0778801	0.228975	0.612957
a75	0.000311575	0.00027932	0.000256187	0.000583703	0.00149312	0.00342024	0.00710772	0.0127026	0.0197489	0.0573622	0.206126	0.690609
a5	0.00032241	0.00033041	0.000327869	0.00072958	0.0016383	0.00313463	0.00619015	0.0111648	0.0177401	0.0486599	0.188747	0.721015
a18	0.000426831	0.000415022	0.000373302	0.0009271	0.00246242	0.00524862	0.00940228	0.0148128	0.02496	0.057942	0.196586	0.686444
a82	0.00367072	0.00304326	0.00199233	0.00471247	0.00877714	0.0146839	0.0268985	0.0387641	0.0526467	0.124811	0.238208	0.481792
a10	0.0770806	0.0374159	0.0192931	0.0256834	0.0349855	0.038347	0.052155	0.053975	0.077797	0.131843	0.175667	0.275757
a87	0.132427	0.0654493	0.0391758	0.0356818	0.0437899	0.039381	0.0421593	0.0397877	0.0687441	0.121549	0.16042	0.211435
a23	0.0927978	0.0511094	0.0346963	0.0325409	0.0452227	0.0478065	0.0548711	0.0504499	0.0772452	0.135381	0.169112	0.208767
a87	0.0225212	0.0133925	0.00984453	0.0106153	0.0166491	0.0162247	0.0193284	0.0232762	0.0444503	0.105065	0.229466	0.489168
</S>	0.00747006	0.00590731	0.00642397	0.00988335	0.018908	0.0175242	0.0168239	0.0189642	0.0378747	0.0824052	0.212142	0.565673
