 	l'	oiseau	s'	est	envolé	loin	dans	les	air	</S>
a23	0.286945	0.219469	0.13987	0.111911	0.0887986	0.0522716	0.0293513	0.0206646	0.0287586	0.0219598
a83	0.30952	0.23982	0.121086	0.0579166	0.0643146	0.0544952	0.0376402	0.0338795	0.0389595	0.0423685
a50	0.21572	0.238973	0.177487	0.112835	0.0786883	0.0585007	0.0331884	0.0265064	0.0321982	0.0259034
a75	0.185905	0.261647	0.207396	0.150569	0.101898	0.0585913	0.0187956	0.00731862	0.00498711	0.00289341
a14	0.136127	0.242115	0.250941	0.194908	0.114031	0.0414276	0.00977067	0.0043095	0.00365629	0.00271408
a35	0.158168	0.211265	0.207147	0.176812	0.124722	0.0718191	0.026251	0.0111739	0.00729829	0.0053449
a43	0.18166	0.16602	0.163542	0.157232	0.121283	0.104653	0.0489165	0.0255981	0.0184284	0.0126679
a75	0.155267	0.114035	0.123231	0.133711	0.115252	0.150764	0.0853829	0.0521426	0.0406912	0.0295231
a35	0.154067	0.116492	0.126165	0.139035	0.111254	0.116502	0.0898862	0.0668061	0.0462673	0.0335259
a24	0.111699	0.0849937	0.0944057	0.108009	0.0980764	0.140504	0.123045	0.100054	0.0811581	0.058055
a32	0.0623469	0.0517223	0.0602379	0.072542	0.0673563	0.121581	0.147694	0.158936	0.152142	0.105441
a11	0.0469618	0.0431881	0.0509789	0.0615334	0.0539153	0.0964272	0.144992	0.191364	0.188992	0.121647
a10	0.0315592	0.0280476	0.0306058	0.0377334	0.0320429	0.0554093	0.0863577	0.183761	0.301809	0.212674
a94	0.0142053	0.0138291	0.016121	0.0195407	0.0181489	0.0349224	0.0605304	0.159484	0.320222	0.342997
a35	0.0273171	0.0234277	0.0259368	0.0326688	0.0266005	0.0473321	0.0830907	0.165292	0.316778	0.251557
a26	0.0328576	0.0310158	0.0383303	0.0483704	0.0400021	0.0759054	0.121022	0.171682	0.238922	0.201892
a24	0.0195089	0.0217442	0.0264816	0.033161	0.0308754	0.0631654	0.110468	0.181109	0.269969	0.243518
a25	0.0088779	0.0112064	0.0170333	0.0239873	0.0232376	0.0419507	0.0652889	0.118669	0.293943	0.395806
a40	0.00709042	0.00715383	0.00859824	0.010949	0.01015	0.0175407	0.0426752	0.125987	0.312516	0.457339
a93	0.00487197	0.00336098	0.00328918	0.00429744	0.00300348	0.00706556	0.020914	0.100496	0.347262	0.50544
a90	0.00363109	0.00319563	0.00368549	0.00486697	0.00536801	0.0117238	0.0247445	0.0775537	0.265787	0.599444
a4	0.00572983	0.00429892	0.00490887	0.00649976	0.00540513	0.0105329	0.0184474	0.0584978	0.236222	0.649457
a13	0.00396357	0.00355126	0.00451064	0.00582259	0.00823298	0.0163538	0.0274486	0.0710543	0.224854	0.634208
a9	0.0102376	0.00796422	0.00783046	0.00783018	0.0127965	0.0244446	0.0434715	0.102477	0.234015	0.548933
a87	0.032291	0.0223855	0.0154223	0.0134091	0.0147013	0.0293642	0.0556038	0.122927	0.223347	0.470549
a23	0.029302	0.0150503	0.00855582	0.00626614	0.00681079	0.0185696	0.0427273	0.123159	0.240999	0.50856
a10	0.0122659	0.00824639	0.00533905	0.00377526	0.00463799	0.0137852	0.0381806	0.11226	0.242174	0.559335
</S>	0.0033885	0.00219212	0.00161863	0.00131692	0.0015816	0.00714558	0.0308149	0.109162	0.22722	0.61556
