 	nous	nous	acharnons	à	écrire	des	livres	en	mbochi	</S>
a87	0.0982411	0.0541953	0.121046	0.156531	0.307014	0.132939	0.0766643	0.0260789	0.0153284	0.0119623
a23	0.133969	0.109535	0.203202	0.156488	0.178409	0.0815201	0.0455177	0.0252231	0.0310416	0.035095
a18	0.167788	0.148661	0.19286	0.111453	0.110088	0.0572747	0.0438442	0.0348969	0.0446271	0.088507
a34	0.237606	0.151402	0.115087	0.0967099	0.0717705	0.0342206	0.0290832	0.0465486	0.0736665	0.143905
a0	0.521904	0.194261	0.0834229	0.0819912	0.0374881	0.0224697	0.016792	0.0119757	0.0127662	0.0169296
a75	0.409595	0.264605	0.147185	0.0887028	0.0338271	0.0141128	0.0106377	0.00812846	0.0096397	0.0135659
a70	0.391699	0.234448	0.136324	0.0928532	0.041778	0.0241583	0.0215022	0.014892	0.0172668	0.0250781
a90	0.272317	0.239054	0.211935	0.117819	0.053062	0.0258016	0.0237291	0.0168448	0.0164638	0.0229728
a25	0.142448	0.210019	0.249367	0.157827	0.0835399	0.0495632	0.043395	0.0209579	0.0190811	0.023802
a92	0.0986777	0.178053	0.259802	0.181448	0.110465	0.0629805	0.0522143	0.0209165	0.0167282	0.0187139
a21	0.0878202	0.160332	0.24739	0.166919	0.10162	0.0800397	0.068025	0.0280156	0.0265158	0.0333226
a66	0.0852625	0.142748	0.257167	0.190025	0.12797	0.0796873	0.0578214	0.0209767	0.0178166	0.0205254
a11	0.0217333	0.0545571	0.301473	0.202694	0.161372	0.0834645	0.0530598	0.03237	0.0377679	0.0515081
a75	0.0150524	0.0322901	0.236739	0.163191	0.145025	0.0998466	0.0665367	0.0517463	0.0749416	0.11463
a85	0.0350767	0.0423406	0.162577	0.118722	0.116234	0.120504	0.118942	0.0812103	0.090775	0.113618
a37	0.0382857	0.0452709	0.140038	0.124582	0.13862	0.131648	0.121819	0.0712961	0.0806041	0.107836
a26	0.0187773	0.0327023	0.15218	0.122586	0.164506	0.17198	0.128074	0.0621234	0.0626113	0.0844592
a38	0.0139789	0.0265438	0.143802	0.106811	0.140296	0.170488	0.147739	0.0784376	0.0740166	0.097888
a21	0.0175856	0.0264388	0.122518	0.090218	0.126794	0.146976	0.141177	0.101618	0.100894	0.125781
a5	0.0331318	0.0362654	0.109037	0.0885192	0.12275	0.130322	0.126827	0.0918907	0.114437	0.146818
a66	0.0358609	0.037018	0.0956426	0.0788444	0.102786	0.118461	0.124096	0.0985671	0.13292	0.175805
a75	0.00867575	0.0131492	0.0487008	0.0335466	0.0518863	0.0893501	0.12505	0.157553	0.192948	0.27914
a5	0.019323	0.0233578	0.0500316	0.0351264	0.0452694	0.0900699	0.130782	0.129852	0.189288	0.286901
a18	0.0280696	0.0266198	0.0800611	0.0579598	0.078813	0.126886	0.162733	0.122205	0.137092	0.17956
a25	0.00531149	0.00783594	0.0306412	0.017256	0.0222047	0.0484222	0.084898	0.16924	0.258411	0.35578
a75	0.00670814	0.00961994	0.0368711	0.0171597	0.0251585	0.0404813	0.0673052	0.123098	0.228	0.445598
a41	0.0114085	0.0123374	0.0310327	0.0219501	0.0292305	0.075777	0.125433	0.143334	0.198723	0.350774
a11	0.00957924	0.0103054	0.0226476	0.01653	0.019338	0.0664039	0.117123	0.135647	0.20955	0.392876
a50	0.00121554	0.00193303	0.00765877	0.00372656	0.00534038	0.0156749	0.0297826	0.0839074	0.246765	0.603996
a75	0.00130402	0.00243787	0.0118522	0.0054594	0.00757554	0.0182749	0.0332034	0.0969884	0.266228	0.556677
a92	0.00257803	0.00376877	0.0121985	0.00701286	0.00821068	0.0275235	0.0579717	0.120896	0.23894	0.5209
a96	0.00108382	0.0017411	0.00691516	0.00345207	0.00401887	0.0141128	0.0298944	0.0948006	0.261723	0.582259
a66	0.000370588	0.000872342	0.00402552	0.00190114	0.00253368	0.00732011	0.0150004	0.0642111	0.246795	0.65697
a90	0.000650635	0.000879851	0.00329527	0.00144698	0.00177267	0.00528761	0.013366	0.0763682	0.283188	0.613745
a44	0.000210857	0.000494127	0.00186426	0.0008484	0.00108916	0.00337231	0.00894871	0.0548793	0.226397	0.701896
a11	0.000139982	0.000365664	0.00159214	0.000654646	0.000767883	0.00280572	0.0071973	0.0517493	0.231291	0.703436
a24	0.000270899	0.000524537	0.00267495	0.00110123	0.00135418	0.00436848	0.0102318	0.061963	0.255286	0.662224
a9	0.000218848	0.00042276	0.00228604	0.0010693	0.00123067	0.00461771	0.0100688	0.0604321	0.250477	0.669177
a87	0.00310267	0.00296046	0.00738564	0.00422582	0.00472326	0.0177113	0.0326862	0.103427	0.272511	0.551267
a23	0.0307302	0.0294275	0.0453241	0.0349209	0.0530017	0.0803989	0.0784885	0.0979354	0.196687	0.353086
a87	0.0132095	0.0196426	0.0606676	0.0395854	0.0686709	0.093414	0.0852334	0.0910474	0.195818	0.332712
</S>	0.00957421	0.0164565	0.0501845	0.0336634	0.0395914	0.0559231	0.0505003	0.0674664	0.20681	0.46983
