 	je	fends	du	bois	à	l'	aide	d'	une	hache	</S>
a66	0.384964	0.24352	0.0810875	0.0397175	0.0286115	0.0460509	0.0500759	0.0474147	0.0289629	0.0245753	0.0250195
a87	0.635005	0.198166	0.0437722	0.0224592	0.0201022	0.0232274	0.021386	0.0120019	0.00848169	0.00696014	0.00843869
a23	0.512647	0.276102	0.0981031	0.0427974	0.0248785	0.0174169	0.00890127	0.00534779	0.00431828	0.00420817	0.00527955
a38	0.3759	0.265706	0.135995	0.0778104	0.0539586	0.0313358	0.0126448	0.00993487	0.0115939	0.0114581	0.0136625
a83	0.310486	0.228558	0.125789	0.0887403	0.0697408	0.040144	0.017917	0.0140198	0.0219511	0.0361129	0.0465412
a75	0.278576	0.187963	0.142556	0.109499	0.0829971	0.0614176	0.0313937	0.0207657	0.0257798	0.0273752	0.0316766
a5	0.252809	0.109542	0.100536	0.127284	0.118387	0.12389	0.0636929	0.0271514	0.0288269	0.0228473	0.0250346
a61	0.109896	0.0767597	0.0855368	0.163475	0.210047	0.1707	0.0771742	0.0293295	0.0256571	0.0233217	0.0281031
a18	0.0879218	0.0704065	0.0897847	0.192103	0.228133	0.175882	0.0689547	0.0243978	0.0191147	0.0195602	0.023743
a54	0.0396333	0.0366614	0.0516522	0.14007	0.210226	0.227702	0.115618	0.045342	0.0364989	0.0418844	0.054712
a47	0.0200433	0.00936385	0.0148628	0.0623789	0.126767	0.234858	0.163728	0.0981009	0.087141	0.0798844	0.102872
a0	0.0173567	0.0084101	0.0121616	0.0442444	0.094145	0.211847	0.18889	0.110761	0.103329	0.0856234	0.123232
a75	0.0266555	0.0214318	0.0226524	0.0413671	0.0596083	0.155402	0.174579	0.117972	0.10967	0.106521	0.164141
a47	0.0115732	0.0097677	0.0108405	0.0252499	0.0380141	0.112244	0.201091	0.183901	0.144697	0.112583	0.150038
a36	0.00354208	0.00340026	0.00438235	0.0108925	0.0168907	0.0493611	0.126424	0.208799	0.187712	0.14962	0.238976
a90	0.011243	0.0136453	0.0170866	0.0215125	0.0221808	0.0344038	0.0553679	0.132023	0.171485	0.187215	0.333838
a56	0.00403389	0.0069112	0.00804628	0.0109243	0.0131629	0.0260097	0.0622339	0.181997	0.217918	0.176946	0.291816
a96	0.00540263	0.00503326	0.00636492	0.011619	0.0130445	0.0273853	0.0548281	0.158112	0.225179	0.207026	0.286005
a93	0.00318658	0.00299424	0.00432973	0.00706842	0.00661641	0.0132412	0.0260147	0.0914165	0.175202	0.250205	0.419726
a43	0.00150002	0.00151317	0.00223777	0.00408721	0.00402279	0.00884336	0.0208311	0.087269	0.193183	0.253266	0.423247
a90	0.00106999	0.00084797	0.00144005	0.00244812	0.00216387	0.0040164	0.00933111	0.036064	0.0987753	0.273607	0.570236
a4	0.00045167	0.000546339	0.000783632	0.00137594	0.0013696	0.00331188	0.0108853	0.0540756	0.141909	0.269898	0.515393
a44	0.000559945	0.000435299	0.000759885	0.00148737	0.00124936	0.0027385	0.007423	0.0337933	0.100397	0.265892	0.585264
a26	0.000387746	0.000267982	0.000502833	0.000985324	0.000833653	0.00181669	0.00593659	0.0285725	0.0956861	0.274266	0.590745
a57	0.00704376	0.00410538	0.00624425	0.00785332	0.00594515	0.0101345	0.0235989	0.0756468	0.1674	0.255561	0.436467
a87	0.0851885	0.0684695	0.0542318	0.038532	0.0268043	0.0334337	0.0528206	0.0835264	0.118353	0.168039	0.270601
a23	0.238399	0.196189	0.108212	0.0611443	0.0415016	0.0457207	0.0503752	0.0502367	0.0564435	0.0667628	0.0850154
a87	0.222985	0.225953	0.0837556	0.0372117	0.0274627	0.0266484	0.0358851	0.0541785	0.0720266	0.0804336	0.133459
</S>	0.0354512	0.0515979	0.0406098	0.0343142	0.0277102	0.0270889	0.0409174	0.090701	0.156995	0.185379	0.309235
