 	on	lui	a	exigé	un	dédommagement	pour	ce	qu'	il	a	volé	</S>
a15	0.254315	0.170501	0.114783	0.103674	0.0682856	0.0636557	0.0478669	0.0446527	0.0347075	0.0281012	0.0284439	0.0230398	0.0179733
a66	0.13114	0.0678384	0.0622942	0.0829944	0.0536455	0.0558292	0.0677413	0.0749476	0.0763661	0.0728472	0.0863443	0.0928863	0.075125
a87	0.283019	0.0874062	0.0414792	0.0405792	0.0304161	0.0361089	0.0523732	0.0574577	0.0626413	0.0651384	0.077691	0.0822077	0.083482
a40	0.298848	0.161683	0.0708008	0.044094	0.0229996	0.0217649	0.0346483	0.0468482	0.0506443	0.0505489	0.0621538	0.0731974	0.0617691
a47	0.272529	0.162641	0.099205	0.0892206	0.0667942	0.0713743	0.0373896	0.0331798	0.0309951	0.0338131	0.0412043	0.0377304	0.0239236
a15	0.252247	0.295458	0.181229	0.114802	0.0433091	0.025136	0.00918806	0.00821494	0.00807985	0.00972475	0.0140324	0.0198642	0.0187156
a73	0.184491	0.270828	0.205107	0.145333	0.0618546	0.0480953	0.0139593	0.0108772	0.00816693	0.00846082	0.0108771	0.0152529	0.0166969
a56	0.17656	0.281686	0.217449	0.14459	0.0601027	0.0407353	0.0168828	0.0126248	0.00885719	0.00845408	0.00920688	0.0107457	0.012105
a93	0.135645	0.215549	0.225159	0.174336	0.0741443	0.0537009	0.023376	0.01751	0.0126133	0.0125298	0.0140691	0.0178676	0.0235005
a56	0.146728	0.199312	0.220264	0.174856	0.0836527	0.0582538	0.0253736	0.0183648	0.0123478	0.011945	0.0130956	0.0155181	0.0202884
a43	0.142735	0.170355	0.202721	0.16069	0.093576	0.0749833	0.034095	0.0249651	0.0164759	0.0154942	0.01702	0.0206975	0.0261926
a11	0.0742453	0.0828578	0.133025	0.141586	0.129177	0.0944514	0.0562795	0.0567484	0.0425954	0.0400183	0.0427724	0.0485485	0.0576954
a93	0.0549536	0.0550407	0.0918978	0.105903	0.140514	0.109853	0.0739802	0.0773697	0.0589546	0.0529526	0.0555616	0.0572751	0.065745
a25	0.0495161	0.0511492	0.0861842	0.105692	0.141615	0.134646	0.0825929	0.0797136	0.0585728	0.050255	0.0491153	0.0511723	0.0597763
a92	0.0207778	0.0215396	0.0368834	0.0519733	0.115897	0.151117	0.125232	0.116884	0.0804218	0.0649927	0.0622677	0.0664533	0.0855602
a90	0.023426	0.0236831	0.0336775	0.0447028	0.119781	0.167336	0.126542	0.101584	0.0811481	0.074196	0.0654854	0.0649273	0.073511
a44	0.0141335	0.0143803	0.0216272	0.0289706	0.0757765	0.122216	0.135241	0.135355	0.111444	0.0931466	0.0826661	0.076921	0.0881222
a75	0.00734689	0.00747673	0.0116097	0.0159492	0.0494532	0.0853171	0.110469	0.129781	0.118892	0.109472	0.109498	0.109612	0.135124
a21	0.0112374	0.00950224	0.0122256	0.0163302	0.0461468	0.084542	0.101846	0.113807	0.122662	0.12956	0.117257	0.106814	0.128069
a92	0.0253156	0.0237464	0.0261444	0.0278009	0.0675121	0.102076	0.115604	0.114704	0.109776	0.11071	0.0980912	0.0830734	0.0954471
a21	0.00780484	0.00774162	0.0115271	0.0148251	0.0412772	0.0696059	0.0824509	0.0949308	0.11894	0.145003	0.13923	0.115856	0.150808
a24	0.00670227	0.00633889	0.0092089	0.0117868	0.0331388	0.0569277	0.0723354	0.0865314	0.114559	0.151605	0.154349	0.132749	0.163768
a31	0.00224824	0.00197495	0.00284401	0.00431186	0.0144767	0.0279656	0.0389425	0.053046	0.0891038	0.137113	0.165362	0.182151	0.28046
a24	0.00148503	0.00126666	0.00188513	0.00310286	0.0114252	0.0238909	0.0352115	0.0501993	0.0837502	0.127381	0.158547	0.196687	0.305169
a75	0.000523275	0.00043903	0.000608874	0.000885438	0.00269726	0.00529097	0.0115364	0.0226201	0.0549432	0.103859	0.161031	0.22908	0.406486
a56	0.00069258	0.000582686	0.00107787	0.00197012	0.00801647	0.0176648	0.0207782	0.0232523	0.0465364	0.0954624	0.147403	0.218026	0.418537
a90	0.000249836	0.000217955	0.000393174	0.000735977	0.00360253	0.00778616	0.0140095	0.0226394	0.0471544	0.0939646	0.151507	0.227042	0.430697
a79	0.000261637	0.000189576	0.000328838	0.000635898	0.0029773	0.00901149	0.0173612	0.0263519	0.0508876	0.100776	0.150852	0.213833	0.426533
a7	0.000166835	0.000103734	0.000165145	0.000367167	0.00170344	0.0058435	0.0136081	0.0202962	0.0397785	0.083075	0.134003	0.215935	0.484954
a84	7.29616e-05	4.55533e-05	6.84985e-05	0.00014091	0.000525308	0.00174246	0.00559389	0.0110345	0.0289136	0.0718952	0.140714	0.239225	0.500028
a82	0.00119014	0.00068609	0.000961591	0.00195632	0.00434236	0.00961092	0.0220452	0.0309663	0.0619219	0.109399	0.165982	0.22716	0.363777
a87	0.0242238	0.00938842	0.00948622	0.0137528	0.0185155	0.0347574	0.0542914	0.0660479	0.0994252	0.122221	0.151848	0.180435	0.215607
a97	0.0931184	0.0292456	0.0198157	0.0222718	0.0244256	0.0430063	0.0638073	0.0887504	0.125703	0.124971	0.128501	0.124646	0.111738
a87	0.0541351	0.0228401	0.0144747	0.0184053	0.0243296	0.054812	0.0768076	0.104046	0.128677	0.126969	0.128722	0.124944	0.120837
a23	0.0490032	0.0201301	0.0128498	0.0162606	0.0208198	0.0524889	0.0764711	0.0998179	0.122513	0.126054	0.132923	0.130577	0.140091
a99	0.0155517	0.0057751	0.00454826	0.00635969	0.00751849	0.0185669	0.0451303	0.0584003	0.0967481	0.131551	0.164672	0.190191	0.254988
</S>	0.0137224	0.00663899	0.00592373	0.00822272	0.00915933	0.0214804	0.0469544	0.0617319	0.103367	0.133371	0.16242	0.183326	0.243682
