 	les	chasseurs	sont	revenus	bredouilles	parce	que	l'	un	d'	eux	portait	la	malchance	à	cause	de	sa	soeur	qui	était	enceinte	</S>
a66	0.0449677	0.0461484	0.0616249	0.0727601	0.105063	0.126102	0.130246	0.0952552	0.0899799	0.0838912	0.0503447	0.0415865	0.0150285	0.0133927	0.00630185	0.00407368	0.00363206	0.00210849	0.00195152	0.0016842	0.00135478	0.00115697	0.00134581
a87	0.0959582	0.0574133	0.0648394	0.0604996	0.0903103	0.125105	0.103744	0.0631099	0.0524833	0.0469918	0.0336366	0.0391516	0.0193453	0.0245611	0.0132398	0.0123995	0.0130933	0.0125074	0.0130159	0.0138892	0.0141601	0.0147575	0.0157873
a23	0.139998	0.0874222	0.0825722	0.0679313	0.084011	0.0658231	0.0477759	0.0415917	0.0343039	0.042431	0.0396975	0.0692766	0.0490799	0.0365704	0.0173941	0.015307	0.0130497	0.0105652	0.00999842	0.0100323	0.0104808	0.0112039	0.0134839
a40	0.119406	0.0931387	0.0685308	0.058276	0.0662822	0.045418	0.0408539	0.0369965	0.036716	0.0452018	0.0544741	0.0634598	0.0539888	0.0465228	0.0294548	0.0303604	0.0255004	0.018559	0.0150226	0.0143402	0.0132614	0.0112514	0.0129842
a7	0.0616517	0.0569138	0.0546033	0.0520969	0.0496885	0.0467322	0.0518692	0.0454664	0.0413993	0.0508243	0.0496724	0.0647751	0.0639388	0.0762197	0.0682074	0.0460954	0.0390994	0.0203893	0.0158557	0.012577	0.0108892	0.0105447	0.0104902
a75	0.133043	0.13422	0.113952	0.0838609	0.0568114	0.0313342	0.0285425	0.0267174	0.0297365	0.0363097	0.0361682	0.0590009	0.0594987	0.0476288	0.0413219	0.0206457	0.020824	0.0092874	0.0075299	0.00607893	0.00571123	0.00481522	0.00696158
a62	0.0923744	0.0827022	0.07923	0.0694483	0.0471741	0.0327521	0.0335854	0.0307288	0.0378197	0.044893	0.0414792	0.0537233	0.0815438	0.0678683	0.0694429	0.0348315	0.0321905	0.0158493	0.0141473	0.0110773	0.00963976	0.0072453	0.0102537
a75	0.0692953	0.0876167	0.091547	0.0934962	0.0506441	0.0275887	0.0218305	0.0215532	0.0257566	0.02752	0.030616	0.051401	0.0968666	0.0766544	0.071413	0.0395454	0.0288399	0.0166964	0.0156539	0.0153515	0.0138274	0.0114762	0.0148101
a85	0.0465542	0.0593449	0.0782149	0.0931206	0.0526156	0.0368938	0.0266626	0.0210703	0.0243454	0.0267168	0.0284208	0.0414832	0.0917183	0.0782288	0.0731008	0.0454471	0.0331395	0.0217892	0.0233303	0.0269215	0.0237738	0.0197287	0.0273788
a47	0.0535108	0.0725146	0.092089	0.109548	0.0791605	0.0489974	0.0265239	0.0187748	0.0209478	0.0208788	0.0207331	0.0235465	0.0457711	0.0441422	0.0429548	0.0362874	0.0294852	0.0257345	0.0306225	0.038129	0.0358343	0.0345395	0.0492746
a0	0.0470755	0.0719168	0.107252	0.142301	0.103044	0.0592333	0.0320881	0.0215033	0.0230865	0.0236103	0.0206754	0.0237145	0.0398892	0.0336566	0.0275436	0.0273447	0.0220084	0.0202609	0.0234574	0.0298412	0.0289375	0.027979	0.0435797
a37	0.0372107	0.0601055	0.0972219	0.135264	0.120697	0.0727578	0.0494043	0.0361124	0.0387415	0.0386043	0.0265203	0.0271657	0.0374845	0.0337717	0.0233332	0.0206657	0.0165978	0.0149122	0.0177662	0.0223226	0.0221831	0.021939	0.0292188
a93	0.0223723	0.0387318	0.0729322	0.109451	0.130538	0.0841016	0.0561868	0.0411953	0.045167	0.0424145	0.0276446	0.0230186	0.0388799	0.0365593	0.0276047	0.0262431	0.0211481	0.0187811	0.0217749	0.0257278	0.0264495	0.0278352	0.0352424
a4	0.0167142	0.0303657	0.0611935	0.105749	0.140699	0.0998061	0.0608448	0.0388026	0.0427861	0.0403084	0.0253483	0.0206651	0.0346979	0.0339328	0.0276435	0.0267302	0.0214652	0.0193936	0.0224268	0.0281932	0.0297592	0.0311368	0.0413383
