 	ekoko	a	tué	une	antilope	noire	avec	le	fusil	</S>
a66	0.371447	0.15918	0.134402	0.103343	0.0815077	0.0547621	0.0409104	0.0249146	0.0168571	0.0126757
a87	0.486061	0.18225	0.111485	0.0618816	0.0486656	0.0241778	0.0224396	0.0193583	0.0194572	0.0242239
a97	0.432643	0.241195	0.125445	0.0706773	0.0357911	0.022151	0.0195292	0.0161754	0.0153866	0.0210063
a9	0.452101	0.21999	0.132141	0.0763344	0.0331273	0.0202201	0.0132326	0.0130038	0.0148127	0.0250379
a97	0.515318	0.213304	0.113144	0.0585501	0.0249468	0.0162086	0.0127817	0.013142	0.0138023	0.0188024
a3	0.486954	0.224093	0.122341	0.0591987	0.026654	0.0156988	0.014584	0.0150848	0.0155932	0.0197986
a62	0.478937	0.221264	0.122916	0.0610469	0.0289494	0.0176062	0.0157745	0.0161803	0.0167407	0.0205857
a88	0.340689	0.19768	0.162901	0.122214	0.0614245	0.0343208	0.0289587	0.0212869	0.015789	0.0147368
a90	0.242429	0.218379	0.191881	0.148937	0.0708192	0.0411891	0.0311437	0.0230773	0.0161029	0.0160414
a4	0.207009	0.219806	0.181938	0.140614	0.0841211	0.0533486	0.0398783	0.0287145	0.0234245	0.0211447
a53	0.181682	0.205571	0.173472	0.148481	0.0983248	0.0641915	0.0449194	0.0319806	0.0265646	0.0248133
a98	0.172396	0.219268	0.183671	0.156005	0.101623	0.0591806	0.0382208	0.026166	0.0224571	0.021011
a79	0.133801	0.21657	0.193031	0.155033	0.126955	0.0710087	0.0396487	0.0235846	0.0210763	0.0192926
a93	0.110576	0.189425	0.187678	0.166295	0.146358	0.0822313	0.042063	0.0274953	0.0252361	0.0226427
a62	0.110218	0.172177	0.170843	0.168456	0.157765	0.0913386	0.0416657	0.0284175	0.0300681	0.029052
a61	0.0731839	0.0910826	0.121569	0.149715	0.16844	0.135399	0.0702007	0.0502529	0.0639854	0.0761721
a21	0.0502354	0.062398	0.0963854	0.131439	0.161253	0.172357	0.116388	0.0680647	0.0683696	0.0731096
a12	0.0243495	0.0292541	0.0620005	0.107192	0.145098	0.186083	0.157686	0.100823	0.0927543	0.0947595
a62	0.0128182	0.0143747	0.0328748	0.0709876	0.115394	0.179149	0.169865	0.126418	0.133421	0.144698
a93	0.00787743	0.00919529	0.0201739	0.0490921	0.0896579	0.161699	0.180992	0.163542	0.156527	0.161244
a90	0.00857401	0.00943844	0.0200622	0.0485039	0.0853196	0.152812	0.183629	0.177511	0.159981	0.15417
a25	0.00324297	0.00443814	0.011526	0.0292512	0.0587985	0.121057	0.157955	0.2091	0.209167	0.195465
a94	0.00166117	0.00274269	0.00719203	0.0173961	0.0343789	0.0782471	0.105643	0.202098	0.264181	0.28646
a90	0.000437467	0.000605998	0.00117511	0.0024279	0.00569573	0.0194366	0.0467627	0.162542	0.284714	0.476202
a79	0.000399398	0.000594902	0.00141489	0.00319831	0.00787158	0.024939	0.052906	0.169248	0.293986	0.445441
a7	0.000238091	0.000536215	0.00125072	0.00250089	0.00537259	0.0160859	0.0364446	0.148308	0.298332	0.490931
a75	6.15103e-05	0.000217925	0.000504345	0.000900133	0.00222532	0.00743762	0.0210591	0.109902	0.25069	0.607002
a6	0.000122367	0.00042315	0.000968238	0.00162738	0.00342261	0.0099319	0.02318	0.104323	0.255554	0.600447
a36	8.79838e-05	0.000378101	0.00095216	0.0015595	0.00356469	0.00993305	0.0253783	0.11358	0.262297	0.582269
a26	0.000241742	0.00106226	0.00213159	0.00291666	0.00666067	0.0123267	0.0321291	0.124986	0.246057	0.571488
a9	0.0101892	0.0218471	0.0324748	0.0387418	0.0562858	0.0670769	0.0678314	0.107276	0.203139	0.395138
a3	0.0575222	0.0522271	0.0448357	0.0444914	0.0546236	0.0714205	0.0750779	0.110187	0.174542	0.315072
a97	0.117331	0.10057	0.062608	0.050206	0.044415	0.0482076	0.0769617	0.137821	0.153807	0.208073
a99	0.0621255	0.056761	0.0381387	0.0370737	0.0416387	0.0542121	0.0955597	0.170583	0.195671	0.248237
</S>	0.0259164	0.0302041	0.0273372	0.0331243	0.0379146	0.0473909	0.0695021	0.149928	0.228934	0.349749
