 	lève	la	main	en	l'	air	</S>
a23	0.464984	0.213271	0.149386	0.0769899	0.0418898	0.0296939	0.0237857
a10	0.328914	0.131763	0.103669	0.0898793	0.0977684	0.11122	0.136787
a87	0.30418	0.18912	0.1161	0.0758416	0.0711782	0.0958929	0.147687
a23	0.244052	0.194759	0.134619	0.0969233	0.084678	0.100309	0.14466
a99	0.466037	0.231691	0.100111	0.0533872	0.039264	0.0475182	0.0619918
a50	0.512671	0.279131	0.0999614	0.0396224	0.0217076	0.0203255	0.0265808
a24	0.442605	0.379853	0.120029	0.0305188	0.0105079	0.0072354	0.00925043
a41	0.322846	0.383275	0.175933	0.0533764	0.0237354	0.0183893	0.0224452
a35	0.288108	0.329738	0.22411	0.0826282	0.0321393	0.0218771	0.0213997
a41	0.241345	0.301726	0.255026	0.105604	0.0404028	0.0282382	0.0276583
a66	0.204684	0.232687	0.233348	0.125942	0.0653064	0.0653901	0.0726423
a76	0.0733147	0.105209	0.142567	0.135334	0.130818	0.190204	0.222553
a35	0.15023	0.176419	0.211018	0.14755	0.101008	0.104437	0.109338
a26	0.159233	0.155482	0.17785	0.146973	0.119159	0.122461	0.118842
a24	0.0514882	0.0599222	0.0959018	0.140661	0.171183	0.231867	0.248977
a25	0.0289436	0.0301404	0.0425472	0.0767006	0.149574	0.299311	0.372783
a87	0.0212999	0.0209857	0.0320533	0.0691464	0.142222	0.294214	0.420079
a40	0.00931414	0.00979193	0.01631	0.0324455	0.0870119	0.28842	0.556707
a38	0.0339065	0.0225745	0.0287241	0.0567021	0.138981	0.300373	0.418739
a93	0.018034	0.0174201	0.0295413	0.0575843	0.134075	0.296999	0.446346
a4	0.0159308	0.0151922	0.0209447	0.0440691	0.115836	0.284743	0.503285
a13	0.0111326	0.00859282	0.0101254	0.0225596	0.0848721	0.276754	0.585963
a9	0.0173768	0.0114374	0.0131738	0.0276413	0.0882482	0.266635	0.575488
a87	0.0211105	0.00926819	0.010777	0.0280166	0.084774	0.2657	0.580354
</S>	0.015357	0.0085095	0.00843946	0.0219547	0.084554	0.279881	0.581304
