 	la	manière	dont	il	continue	cette	affaire	exprime	le	mépris	</S>
a66	0.306182	0.124553	0.0766611	0.0880371	0.0906274	0.0671702	0.0909722	0.0745954	0.0368998	0.0271277	0.0171735
a87	0.258625	0.140882	0.0650114	0.0675166	0.075546	0.061031	0.0791232	0.0782403	0.0640037	0.0534385	0.0565828
a23	0.485096	0.204844	0.0649831	0.0409315	0.0402609	0.0267203	0.0293764	0.0271086	0.0221167	0.0226466	0.0359159
a87	0.36189	0.230872	0.181424	0.069491	0.0415412	0.0198689	0.0220739	0.0193613	0.0164658	0.0150815	0.0219304
a10	0.320098	0.223802	0.214103	0.0780793	0.0421967	0.0178356	0.0201873	0.0224564	0.0215495	0.0190192	0.020672
a87	0.318493	0.239063	0.245702	0.055873	0.0280337	0.0136956	0.0147982	0.0183502	0.0216484	0.0191507	0.0251925
a23	0.321181	0.218189	0.219742	0.0613437	0.0382371	0.018986	0.0203184	0.0229641	0.0270238	0.0238664	0.0281482
a12	0.293431	0.205979	0.26785	0.0483126	0.0260571	0.018586	0.0198174	0.0252232	0.0329969	0.0276592	0.0340871
a61	0.376563	0.257604	0.255729	0.0395313	0.0138914	0.00667907	0.00888523	0.0105056	0.0112501	0.00771242	0.0116487
a37	0.256503	0.319734	0.307784	0.0557672	0.0152681	0.00569135	0.00962122	0.00980939	0.00923546	0.00524966	0.00533634
a61	0.195713	0.291058	0.326274	0.0823926	0.0260928	0.0102182	0.016096	0.0160871	0.0156634	0.0103277	0.0100767
a0	0.144471	0.236765	0.300835	0.124429	0.064724	0.0249157	0.034001	0.0297936	0.0199193	0.0119956	0.00814993
a31	0.0963816	0.161926	0.257332	0.14453	0.115007	0.0483963	0.0515919	0.0439768	0.0313785	0.0281646	0.021316
a21	0.103508	0.161137	0.211199	0.15303	0.13715	0.0670215	0.0701346	0.0478494	0.0230151	0.0156834	0.0102724
a75	0.0674957	0.119031	0.19169	0.17636	0.162914	0.0833844	0.089596	0.0566317	0.024141	0.0165834	0.0121733
a92	0.0256823	0.0566355	0.145963	0.181169	0.212936	0.117087	0.112796	0.0747751	0.0311124	0.0226061	0.0192384
a56	0.0194512	0.0385765	0.109077	0.187272	0.242093	0.120509	0.107928	0.0809	0.0367998	0.0269613	0.0304321
a92	0.0209264	0.0400886	0.0843912	0.190881	0.250665	0.137977	0.119817	0.0785297	0.0329725	0.0224806	0.0212709
a56	0.0151304	0.0280066	0.0589181	0.156301	0.248069	0.14838	0.129601	0.0951786	0.0505137	0.0345998	0.0353019
a43	0.0138174	0.0272513	0.0548216	0.14475	0.238822	0.167579	0.147869	0.0970009	0.0480479	0.0299473	0.0300942
a93	0.00993251	0.0182074	0.0376348	0.109299	0.222989	0.199118	0.167753	0.111154	0.0515841	0.0338527	0.038475
a62	0.00970759	0.0152662	0.0288415	0.08583	0.190228	0.208647	0.165371	0.117945	0.068324	0.0486032	0.0612354
a34	0.00539529	0.00983709	0.0269346	0.0728359	0.136888	0.225116	0.189402	0.138334	0.0786093	0.0532468	0.0634017
a90	0.00543101	0.0101772	0.0234583	0.0620579	0.115047	0.212869	0.195474	0.159883	0.0994249	0.0576089	0.0585684
