 	le	jour	baisse	</S>
a23	0.608237	0.241274	0.0834754	0.0670135
a98	0.643284	0.208939	0.0813936	0.0663826
a9	0.664666	0.261324	0.0441897	0.0298211
a79	0.478043	0.371514	0.094878	0.0555651
a75	0.375754	0.394443	0.149021	0.0807829
a73	0.39148	0.383279	0.158162	0.0670792
a94	0.365447	0.356863	0.196763	0.0809274
a12	0.326452	0.345512	0.23286	0.0951754
a94	0.176905	0.238584	0.327817	0.256694
a62	0.110895	0.160339	0.329313	0.399453
a31	0.0941589	0.126614	0.315374	0.463853
a43	0.097442	0.117246	0.291986	0.493326
a24	0.0846197	0.101236	0.259448	0.554697
a98	0.0618058	0.084648	0.227792	0.625754
a71	0.0390205	0.0540681	0.183973	0.722938
a38	0.0355792	0.0574912	0.197612	0.709318
a90	0.030541	0.0496316	0.172746	0.747081
a25	0.0177897	0.0283112	0.121883	0.832016
a69	0.0095824	0.018487	0.109149	0.862782
a58	0.0147898	0.0220306	0.104425	0.858755
a38	0.0308141	0.0379917	0.11429	0.816904
a20	0.0631172	0.0669914	0.151076	0.718815
a84	0.0680092	0.0887859	0.15967	0.683535
a87	0.159663	0.16288	0.205794	0.471663
</S>	0.168128	0.206794	0.182722	0.442357
