 	hier	j'	ai	mangé	les	légumes	epfuula	aux	poissons	</S>
a87	0.10507	0.0637763	0.0515608	0.0491971	0.0842268	0.170015	0.387253	0.0561828	0.019472	0.0132467
a23	0.238951	0.0898088	0.0549639	0.0264513	0.0319462	0.0548728	0.179718	0.115373	0.0946559	0.113259
a87	0.186431	0.141814	0.109223	0.0617305	0.0550395	0.0686285	0.117226	0.0734165	0.0782118	0.108279
a10	0.195915	0.147616	0.110575	0.0778783	0.0859189	0.103254	0.116843	0.0455815	0.0497407	0.0666778
a87	0.189113	0.163262	0.118502	0.0723309	0.0748921	0.0803697	0.0892944	0.05583	0.0670198	0.0893856
a23	0.170317	0.14244	0.110331	0.0711964	0.0656475	0.0721441	0.108546	0.0749168	0.0816755	0.102786
a87	0.159475	0.132728	0.0941571	0.0467035	0.0430027	0.0484059	0.0836523	0.0871504	0.12553	0.179194
a23	0.162721	0.118599	0.0811518	0.048406	0.0505443	0.0616158	0.0986902	0.0843213	0.117674	0.176277
a83	0.167335	0.131443	0.0866554	0.0372339	0.0313517	0.0385464	0.0737444	0.0815248	0.132693	0.219473
a36	0.283898	0.28108	0.194483	0.0934006	0.0454764	0.032442	0.0231794	0.0125193	0.0152364	0.018285
a30	0.214855	0.255616	0.212754	0.11129	0.0665929	0.0558145	0.0359765	0.014017	0.0159817	0.0171018
a7	0.135417	0.157675	0.150454	0.128724	0.112981	0.103846	0.0741224	0.0464139	0.0463863	0.0439796
a26	0.102982	0.143857	0.158651	0.153702	0.135031	0.11737	0.0719876	0.0393572	0.037559	0.039503
a57	0.0787245	0.119918	0.145857	0.150779	0.142498	0.12216	0.0727021	0.0444792	0.0527411	0.0701404
a53	0.0571386	0.0753928	0.0907433	0.0990323	0.114671	0.114635	0.0763645	0.064903	0.110219	0.196901
a15	0.0576648	0.0735425	0.103017	0.135341	0.153359	0.16458	0.120674	0.0483499	0.0570339	0.0864378
a94	0.0733629	0.089831	0.129249	0.159025	0.172871	0.166348	0.110359	0.0289305	0.0294079	0.0406165
a88	0.0391573	0.0389053	0.0590764	0.0992198	0.179087	0.226655	0.185726	0.0481659	0.0504565	0.0735509
a31	0.0366499	0.035989	0.0530558	0.0864306	0.168968	0.23469	0.198043	0.0502369	0.0545661	0.0813704
a24	0.0480304	0.0488806	0.0702554	0.108424	0.176164	0.237468	0.193827	0.0455498	0.0336763	0.0377236
a71	0.0570293	0.0543398	0.0692973	0.0849829	0.157643	0.209744	0.193555	0.0649695	0.0492955	0.0591442
a0	0.0209864	0.0186604	0.0231524	0.0335111	0.0751837	0.131394	0.194907	0.154141	0.153615	0.194448
a47	0.0212782	0.0189313	0.0212137	0.0248166	0.049332	0.0955357	0.14862	0.133861	0.173621	0.312791
a88	0.0448172	0.038254	0.0413291	0.0455064	0.0768301	0.129856	0.184778	0.10825	0.124087	0.206292
a0	0.045131	0.0397684	0.0446357	0.0467921	0.0771532	0.11906	0.154518	0.14248	0.153468	0.176994
a11	0.025522	0.0225558	0.0250945	0.0278285	0.0509871	0.087158	0.139642	0.155435	0.19761	0.268167
a93	0.0161459	0.0141025	0.0157339	0.016798	0.0295265	0.0493237	0.0821534	0.13176	0.242734	0.401722
a75	0.0170264	0.0153776	0.0163392	0.0173126	0.0275525	0.0450806	0.0784661	0.134027	0.272103	0.376715
a5	0.0183766	0.0140913	0.0140402	0.0133482	0.0163639	0.0196317	0.0286313	0.103789	0.242567	0.52916
a43	0.0202948	0.0161761	0.0172112	0.0155424	0.0183489	0.0225482	0.0373877	0.108242	0.263147	0.481101
a75	0.00215524	0.00154631	0.00156082	0.00154067	0.00255398	0.00449633	0.00949286	0.0563962	0.248555	0.671702
a47	0.00462492	0.00314017	0.00290613	0.00271644	0.00316902	0.00368706	0.00669515	0.0637299	0.247753	0.661578
a6	0.00325162	0.00207583	0.00199738	0.00209137	0.00274592	0.004047	0.00901945	0.0744767	0.276766	0.623529
a37	0.0017217	0.00113364	0.00106905	0.00115574	0.0017617	0.00273485	0.00659985	0.0644303	0.248244	0.671149
a11	0.000681588	0.000424839	0.000387977	0.000380785	0.000605296	0.0011565	0.00257263	0.035483	0.208921	0.749387
a62	0.00172536	0.00085971	0.000714922	0.000606984	0.000683456	0.00108532	0.00238986	0.0330036	0.210072	0.748859
a83	0.00140995	0.000779611	0.000754849	0.00079392	0.00105615	0.00173909	0.00354015	0.0344356	0.208246	0.747244
a9	0.000846557	0.000474172	0.000452778	0.000499321	0.000685326	0.00114574	0.00243221	0.0297006	0.199459	0.764304
a87	0.0136028	0.00580413	0.00433009	0.00311378	0.00220556	0.00287426	0.00576844	0.0547093	0.239548	0.668043
a23	0.111842	0.0500827	0.0313105	0.0221288	0.0231688	0.0296908	0.0631299	0.129711	0.212141	0.326795
a87	0.0509285	0.0277764	0.0195085	0.0152376	0.0194342	0.0295456	0.0708051	0.151301	0.246015	0.369448
a23	0.0152317	0.00840902	0.0073104	0.00673499	0.0095124	0.0150848	0.0426334	0.11348	0.250906	0.530697
a97	0.0225198	0.0141728	0.0098189	0.00656865	0.00989089	0.0172541	0.0558687	0.128234	0.238208	0.497465
a87	0.0121535	0.00616978	0.00480818	0.00528353	0.00869779	0.0135381	0.0380381	0.109104	0.234399	0.567808
</S>	0.0198874	0.0094633	0.00679948	0.00556944	0.00788738	0.0126731	0.0482868	0.121159	0.231972	0.536302
