 	je	m'	en	vais	assister	à	la	danse	</S>
a66	0.373371	0.151849	0.109849	0.110405	0.103235	0.0755084	0.0393282	0.0215261	0.014928
a87	0.181039	0.106237	0.0868333	0.116149	0.115337	0.12093	0.0973052	0.0950778	0.0810922
a23	0.374288	0.190355	0.095459	0.0854138	0.0713215	0.0547257	0.0454025	0.0412669	0.0417684
a87	0.376846	0.235649	0.121972	0.107275	0.072142	0.0360009	0.0203974	0.0144644	0.0152528
a23	0.333332	0.210502	0.122186	0.119251	0.091587	0.0513849	0.0300451	0.0203431	0.0213688
a99	0.301448	0.188603	0.125818	0.123643	0.0932598	0.0537169	0.0395154	0.032453	0.0415423
a50	0.24158	0.166921	0.119609	0.117786	0.108845	0.0695062	0.0633404	0.0512033	0.0612084
a96	0.266886	0.218516	0.149779	0.11679	0.0908883	0.0554346	0.0409459	0.0310702	0.0296905
a90	0.316952	0.252081	0.139502	0.0974578	0.0726706	0.0415282	0.0291737	0.0257088	0.0249254
a44	0.159194	0.18467	0.156027	0.122513	0.0976349	0.0772078	0.0669997	0.069307	0.0664469
a90	0.0955429	0.134523	0.15169	0.136228	0.110135	0.0990131	0.0850414	0.0937048	0.094122
a44	0.0969533	0.129248	0.154672	0.146515	0.1227	0.105947	0.0803054	0.0841925	0.0794668
a94	0.0981871	0.111135	0.125841	0.140158	0.131364	0.123645	0.0875076	0.0889545	0.093208
a62	0.0847904	0.0880759	0.0984977	0.125771	0.130736	0.134979	0.102938	0.110356	0.123856
a88	0.0336215	0.0325875	0.0396862	0.0671674	0.0964928	0.151666	0.16608	0.192772	0.219927
a50	0.0147073	0.0137738	0.0172471	0.0334829	0.052809	0.110099	0.171657	0.263321	0.322903
a62	0.00539466	0.00515034	0.00704173	0.0137853	0.0240539	0.071618	0.163396	0.31019	0.39937
a96	0.00327974	0.00316674	0.00438251	0.00802967	0.0142907	0.0504907	0.151208	0.313684	0.451468
a18	0.00302447	0.00298738	0.00421965	0.00774929	0.0130446	0.0428082	0.136243	0.294263	0.49566
a71	0.00287789	0.00259592	0.00487305	0.0088858	0.0147144	0.0393149	0.116126	0.258599	0.552013
a9	0.0126658	0.00858502	0.0123499	0.021275	0.0337034	0.0575239	0.125035	0.219859	0.509002
a99	0.0839183	0.0389438	0.0361932	0.0477413	0.0580699	0.077755	0.1359	0.181911	0.339568
a87	0.150822	0.0707278	0.0591558	0.0724841	0.0801006	0.0920968	0.133188	0.154905	0.18652
a23	0.184324	0.088411	0.0624992	0.0701258	0.0776981	0.0840677	0.126352	0.146611	0.159911
a87	0.0375217	0.0208513	0.0201812	0.0284578	0.0350086	0.0492653	0.122926	0.252976	0.432812
</S>	0.0108561	0.0075897	0.00871136	0.0153745	0.0207231	0.0382867	0.114629	0.27134	0.51249
